sampleid	diet	vendor	location	experiment	mouse_id	colony_count	Genus	rel_abund
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Acinetobacter	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Aerococcus	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Akkermansia	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Arthrobacter	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Bacillus	4.9999999999999996e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Bacteroides	3e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Bifidobacterium	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Blautia	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Brachybacterium	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Brevibacterium	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Chryseobacterium	2e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Clostridia_UCG-014	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Clostridia_vadinBB60_group	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Corynebacterium	3e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Cutibacterium	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Dietzia	2e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Dorea	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Dubosiella	1e-6
CDD02.CR.HFHF.1.Liver	HF/HF	charles_river	liver	CDD02	CDD02.CR.HFHF.1	1	Dysgonomonas	1e-6
