"MouseID","Diet","Treatment","Measure","Value","Units","MeasureLabel"
"CDD02.CR.HFHF.4","HFHF","CR","BUN",285.6716667,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFHF.4","HFHF","CR","sCD14",231873.1792,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IFN-y",0.479684175,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-1B",10.86832383,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-2",0.068923416,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-4",0.026325606,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-5",0.102317971,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-6",132.8201411,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","KC-GRO",240.5946898,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-10",53.00003186,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFHF.4","HFHF","CR","TNF-a",19.46711551,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","BUN",111.7542036,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFLF.1","HFLF","CR","sCD14",150140.8696,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IFN-y",0.954924605,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-1B",6.09792519,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-2",2.400465496,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-4",0.676941229,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-5",4.110112894,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-6",1459.81394,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","KC-GRO",516.5075141,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-10",12.97711838,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","IL-12p70",8.099873665,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFLF.1","HFLF","CR","TNF-a",27.5927854,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","BUN",135.3647719,"mg/dL","BUN (mg/dL)"
"CDD02.CR.LFLF.3","LFLF","CR","sCD14",175909.3148,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IFN-y",0.96675191,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-1B",3.581191719,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-2",0.720491263,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-4",0.445342712,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-5",3.587030027,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-6",236.5155744,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","KC-GRO",229.3771412,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-10",15.64569647,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","IL-12p70",0.007661293,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.LFLF.3","LFLF","CR","TNF-a",28.20406158,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","BUN",46.41085385,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFLF.5","HFLF","CR","sCD14",97830.85385,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IFN-y",1.139622382,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-1B",5.050715962,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-2",1.247436359,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-4",1.263808503,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-5",8.497112869,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-6",133.8303942,"pg/mL","IL-6 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","KC-GRO",689.5926687,"pg/mL","KC-GRO (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-10",23.73808499,"pg/mL","IL-10 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","IL-12p70",1.374305707,"pg/mL","IL-12p70 (pg/mL)"
"CDD02.CR.HFLF.5","HFLF","CR","TNF-a",27.10327346,"pg/mL","TNF-a (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","BUN",181.187676,"mg/dL","BUN (mg/dL)"
"CDD02.CR.HFLF.4","HFLF","CR","sCD14",250909.566,"pg/mL","sCD14 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IFN-y",0.383589796,"pg/mL","IFN-y (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-1B",9.1370758,"pg/mL","IL-1B (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-2",0.153471113,"pg/mL","IL-2 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-4",0.185845301,"pg/mL","IL-4 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-5",0.677331289,"pg/mL","IL-5 (pg/mL)"
"CDD02.CR.HFLF.4","HFLF","CR","IL-6",466.673396,"pg/mL","IL-6 (pg/mL)"
