SampleID,sampleType,MouseID,MouseSex,Diet,Date,Time,Vendor,ExperimentID,ExperimentDay,StoolCollected,Sacrificed,BaseWeight,DayWeight,PercChange,Temperature,,,,,,,,,
CDD01.Tc.Chow.1.00,stool,,Male,Chow,1/9/24,11:30,Taconic,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.Tc.Chow.2.00,stool,,Male,Chow,1/9/24,11:30,Taconic,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.Tc.LFLF.1.00,stool,,Male,LFLF,1/9/24,11:30,Taconic,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.Tc.LFLF.2.00,stool,,Male,LFLF,1/9/24,11:30,Taconic,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.Tc.LFLF.3.00,stool,,Male,LFLF,1/9/24,11:30,Taconic,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.CR.Chow.1.00,stool,,Male,Chow,1/9/24,11:30,CharlesRiver,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.CR.Chow.2.00,stool,,Male,Chow,1/9/24,11:30,CharlesRiver,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.CR.LFLF.1.00,stool,,Male,LFLF,1/9/24,11:30,CharlesRiver,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.CR.LFLF.2.00,stool,,Male,LFLF,1/9/24,11:30,CharlesRiver,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.CR.LFLF.3.00,stool,,Male,LFLF,1/9/24,11:30,CharlesRiver,CDD01,0,T,F,,,,,,,,,,,,,
CDD01.Tc.Chow.1.07,stool,,Male,Chow,1/16/24,12:30,Taconic,CDD01,7,T,F,,,,,,,,,,,,,
CDD01.Tc.Chow.2.07,stool,,Male,Chow,1/16/24,12:30,Taconic,CDD01,7,T,F,,,,,,,,,,,,,
CDD01.Tc.LFLF.1.07,stool,,Male,LFLF,1/16/24,12:30,Taconic,CDD01,7,T,F,,,,,,,,,,,,,
