mouse_id	sac_exptDay	sack_status
CDD03.CR.Chow.3	18	sick
CDD03.CR.LFHF.3	18	sick
CDD03.CR.LFHF.5	18	sick
CDD03.CR.LFLF.3	19	sick
CDD03.CR.Chow.1	20	sick
CDD03.CR.LFLF.4	20	sick
CDD03.CR.LFHF.2	20	sick
CDD03.Tc.LFLF.5	20	sick
CDD03.CR.HFLF.4	21	sick
CDD03.CR.HFLF.3	21	sick
CDD03.CR.LFLF.5	21	sick
CDD03.CR.LFLF.1	21	sick
CDD03.Tc.LFLF.1	21	sick
CDD03.Tc.LFLF.3	21	sick
CDD03.CR.LFLF.2	21	sick
CDD03.CR.HFLF.5	21	sick
CDD03.CR.HFLF.2	22	sick
CDD03.Tc.HFLF.2	22	sick
CDD03.Tc.Chow.4	29	end_time_course
CDD03.Tc.Chow.2	29	end_time_course
CDD03.Tc.HFLF.1	29	end_time_course
CDD03.Tc.LFLF.2	29	end_time_course
CDD03.Tc.LFLF.4	29	end_time_course
CDD03.Tc.HFLF.4	29	end_time_course
CDD03.Tc.HFHF.5	29	end_time_course
CDD03.Tc.HFHF.3	29	end_time_course
CDD03.Tc.LFHF.5	29	end_time_course
CDD03.Tc.LFHF.2	29	end_time_course
CDD03.CR.Chow.5	29	end_time_course
CDD03.CR.Chow.4	29	end_time_course
CDD03.CR.HFHF.1	29	end_time_course
CDD03.CR.HFHF.3	29	end_time_course
CDD03.CR.LFHF.1	29	end_time_course
CDD03.CR.LFHF.4	29	end_time_course
CDD03.CR.HFHF.5	30	end_time_course
CDD03.CR.HFHF.4	30	end_time_course
CDD03.Tc.HFLF.5	30	end_time_course
CDD03.Tc.HFLF.3	30	end_time_course
CDD03.CR.HFHF.2	30	end_time_course
CDD03.Tc.Chow.5	30	end_time_course
CDD03.CR.Chow.2	30	end_time_course
CDD03.Tc.LFHF.3	30	end_time_course
CDD03.Tc.LFHF.1	30	end_time_course
CDD03.Tc.HFHF.1	30	end_time_course
CDD03.Tc.Chow.3	30	end_time_course
CDD03.Tc.Chow.1	30	end_time_course
CDD03.Tc.LFHF.4	30	end_time_course
CDD03.Tc.HFHF.2	30	end_time_course
CDD03.Tc.HFHF.4	30	end_time_course
CDD02.Tc.Chow.3	17	sick
CDD02.Tc.Chow.1	18	sick
CDD02.Tc.Chow.2	18	sick
CDD02.Tc.Chow.4	18	sick
CDD02.CR.Chow.3	18	sick
CDD02.CR.LFHF.2	20	sick
CDD02.CR.HFHF.1	20	sick
CDD02.CR.HFHF.2	20	sick
CDD02.Tc.HFLF.4	20	sick
CDD02.CR.HFHF.4	20	sick
CDD02.Tc.LFLF.5	20	sick
CDD02.Tc.HFHF.3	20	sick
CDD02.CR.LFLF.5	20	sick
CDD02.CR.LFLF.2	20	sick
CDD02.Tc.LFLF.3	21	sick
CDD02.Tc.LFLF.2	21	sick
CDD02.CR.LFLF.4	21	sick
CDD02.Tc.HFLF.5	21	sick
CDD02.CR.LFLF.1	21	sick
CDD02.Tc.LFLF.1	21	sick
CDD02.Tc.HFLF.2	21	sick
CDD02.Tc.LFLF.4	21	sick
CDD02.CR.HFLF.1	22	sick
CDD02.CR.LFLF.3	22	sick
CDD02.CR.HFLF.4	23	sick
CDD02.CR.HFLF.5	23	sick
CDD02.Tc.Chow.5	30	end_time_course
CDD02.Tc.HFLF.3	30	end_time_course
CDD02.Tc.HFHF.2	30	end_time_course
CDD02.Tc.HFHF.4	30	end_time_course
CDD02.Tc.HFHF.5	30	end_time_course
CDD02.Tc.LFHF.1	30	end_time_course
CDD02.Tc.LFHF.2	30	end_time_course
CDD02.Tc.LFHF.3	30	end_time_course
CDD02.Tc.LFHF.4	30	end_time_course
CDD02.Tc.LFHF.5	30	end_time_course
CDD02.CR.Chow.1	30	end_time_course
CDD02.CR.Chow.2	30	end_time_course
CDD02.CR.Chow.4	30	end_time_course
CDD02.CR.Chow.5	30	end_time_course
CDD02.CR.HFLF.2	30	end_time_course
CDD02.CR.HFLF.3	30	end_time_course
CDD02.CR.HFHF.3	30	end_time_course
CDD02.CR.HFHF.5	30	end_time_course
CDD02.CR.LFHF.1	30	end_time_course
CDD02.CR.LFHF.3	30	end_time_course
CDD02.CR.LFHF.4	30	end_time_course
CDD02.CR.LFHF.5	30	end_time_course
