mouse_id	pos_culture
CDD03.CR.Chow.3	1
CDD03.CR.LFHF.3	0
CDD03.CR.LFHF.5	0
CDD03.CR.LFLF.3	1
CDD03.CR.Chow.1	1
CDD03.CR.LFLF.4	0
CDD03.CR.LFHF.2	1
CDD03.Tc.LFLF.5	0
CDD03.CR.HFLF.4	1
CDD03.CR.HFLF.3	1
CDD03.CR.LFLF.5	1
CDD03.CR.LFLF.1	1
CDD03.Tc.LFLF.1	1
CDD03.Tc.LFLF.3	1
CDD03.CR.LFLF.2	1
CDD03.CR.HFLF.5	0
CDD03.CR.HFLF.2	1
CDD03.Tc.HFLF.2	1
CDD03.Tc.Chow.4	1
CDD03.Tc.Chow.2	0
CDD03.Tc.HFLF.1	0
CDD03.Tc.LFLF.2	1
CDD03.Tc.LFLF.4	0
CDD03.Tc.HFLF.4	0
CDD03.Tc.HFHF.5	0
CDD03.Tc.HFHF.3	0
CDD03.Tc.LFHF.5	1
CDD03.Tc.LFHF.2	1
CDD03.CR.Chow.5	1
CDD03.CR.Chow.4	0
CDD03.CR.HFHF.1	0
CDD03.CR.HFHF.3	0
CDD03.CR.LFHF.1	0
CDD03.CR.LFHF.4	0
CDD03.CR.HFHF.5	0
CDD03.CR.HFHF.4	0
CDD03.Tc.HFLF.5	1
CDD03.Tc.HFLF.3	0
CDD03.CR.HFHF.2	1
CDD03.Tc.Chow.5	0
CDD03.CR.Chow.2	0
CDD03.Tc.LFHF.3	0
CDD03.Tc.LFHF.1	0
CDD03.Tc.HFHF.1	1
CDD03.Tc.Chow.3	0
CDD03.Tc.Chow.1	0
CDD03.Tc.LFHF.4	0
CDD03.Tc.HFHF.2	0
CDD03.Tc.HFHF.4	1
CDD02.Tc.Chow.3	0
CDD02.Tc.Chow.1	0
CDD02.Tc.Chow.2	0
CDD02.Tc.Chow.4	0
CDD02.CR.Chow.3	0
CDD02.CR.LFHF.2	0
CDD02.CR.HFHF.1	1
CDD02.CR.HFHF.2	1
CDD02.Tc.HFLF.4	1
CDD02.CR.HFHF.4	1
CDD02.Tc.LFLF.5	1
CDD02.Tc.HFHF.3	1
CDD02.CR.LFLF.5	1
CDD02.CR.LFLF.2	1
CDD02.Tc.LFLF.3	1
CDD02.Tc.LFLF.2	1
CDD02.CR.LFLF.4	0
CDD02.Tc.HFLF.5	0
CDD02.CR.LFLF.1	0
CDD02.Tc.LFLF.1	1
CDD02.Tc.HFLF.2	1
CDD02.Tc.LFLF.4	0
CDD02.CR.HFLF.1	0
CDD02.CR.LFLF.3	0
CDD02.CR.HFLF.4	0
CDD02.CR.HFLF.5	0
CDD02.Tc.Chow.5	0
CDD02.Tc.HFLF.3	1
CDD02.Tc.HFHF.2	1
CDD02.Tc.HFHF.4	0
CDD02.Tc.HFHF.5	0
CDD02.Tc.LFHF.1	0
CDD02.Tc.LFHF.2	0
CDD02.Tc.LFHF.3	0
CDD02.Tc.LFHF.4	0
CDD02.Tc.LFHF.5	0
CDD02.CR.Chow.1	0
CDD02.CR.Chow.2	0
CDD02.CR.Chow.4	0
CDD02.CR.Chow.5	0
CDD02.CR.HFLF.2	0
CDD02.CR.HFLF.3	0
CDD02.CR.HFHF.3	0
CDD02.CR.HFHF.5	1
CDD02.CR.LFHF.1	0
CDD02.CR.LFHF.3	0
CDD02.CR.LFHF.4	0
CDD02.CR.LFHF.5	0
CDD01.Tc.LFLF.1	1
CDD01.Tc.LFLF.2	1
CDD01.CR.LFLF.1	1
CDD01.CR.LFLF.2	1
CDD01.CR.LFLF.3	1
