sampleid	sample_type	mouse_id	diet	vendor	experiment	location	colony_count
CDD03.CR.HFLF.4.Liver	culture	CDD03.CR.HFLF.4	HF/LF	charles_river	CDD03	liver	592
CDD03.CR.LFLF.2.Spleen	culture	CDD03.CR.LFLF.2	LF/LF	charles_river	CDD03	spleen	5
CDD03.CR.HFLF.2.Blood	culture	CDD03.CR.HFLF.2	HF/LF	charles_river	CDD03	blood	5
CDD02.CR.LFLF.5.Liver	culture	CDD02.CR.LFLF.5	LF/LF	charles_river	CDD02	liver	32
CDD02.CR.LFLF.5.Spleen	culture	CDD02.CR.LFLF.5	LF/LF	charles_river	CDD02	spleen	1
CDD03.Tc.Chow.4.Liver	culture	CDD03.Tc.Chow.4	Chow	taconic	CDD03	liver	167
CDD02.CR.LFLF.2.Liver	culture	CDD02.CR.LFLF.2	LF/LF	charles_river	CDD02	liver	1000
CDD03.CR.Chow.3.Blood	culture	CDD03.CR.Chow.3	Chow	charles_river	CDD03	blood	8
CDD02.Tc.LFLF.3.Spleen	culture	CDD02.Tc.LFLF.3	LF/LF	taconic	CDD02	spleen	4
CDD03.Tc.HFHF.1.Spleen	culture	CDD03.Tc.HFHF.1	HF/HF	taconic	CDD03	spleen	2
CDD03.CR.HFLF.3.Liver	culture	CDD03.CR.HFLF.3	HF/LF	charles_river	CDD03	liver	5
CDD03.CR.HFLF.3.Spleen	culture	CDD03.CR.HFLF.3	HF/LF	charles_river	CDD03	spleen	9
CDD02.CR.LFLF.2.Spleen	culture	CDD02.CR.LFLF.2	LF/LF	charles_river	CDD02	spleen	1000
CDD03.Tc.LFLF.2.Blood	culture	CDD03.Tc.LFLF.2	LF/LF	taconic	CDD03	blood	8
CDD03.CR.Chow.2.Spleen	culture	CDD03.CR.Chow.2	Chow	charles_river	CDD03	spleen	2000
CDD03.CR.HFHF.2.Liver	culture	CDD03.CR.HFHF.2	HF/HF	charles_river	CDD03	liver	1
CDD03.CR.Chow.1.Spleen	culture	CDD03.CR.Chow.1	Chow	charles_river	CDD03	spleen	2000
CDD03.Tc.HFLF.5.Liver	culture	CDD03.Tc.HFLF.5	HF/LF	taconic	CDD03	liver	1
CDD03.Tc.LFHF.2.Liver	culture	CDD03.Tc.LFHF.2	LF/HF	taconic	CDD03	liver	1
CDD03.Tc.Chow.4.Spleen	culture	CDD03.Tc.Chow.4	Chow	taconic	CDD03	spleen	2000
CDD03.CR.Chow.5.Liver	culture	CDD03.CR.Chow.5	Chow	charles_river	CDD03	liver	1
CDD02.CR.HFHF.2.Blood	culture	CDD02.CR.HFHF.2	HF/HF	charles_river	CDD02	blood	2
CDD02.CR.HFHF.4.Liver	culture	CDD02.CR.HFHF.4	HF/HF	charles_river	CDD02	liver	309
CDD02.Tc.HFLF.2.Spleen	culture	CDD02.Tc.HFLF.2	HF/LF	taconic	CDD02	spleen	1000
CDD03.CR.LFLF.5.Blood	culture	CDD03.CR.LFLF.5	LF/LF	charles_river	CDD03	blood	2
CDD03.CR.Chow.1.Liver	culture	CDD03.CR.Chow.1	Chow	charles_river	CDD03	liver	2000
CDD02.CR.HFHF.4.Spleen	culture	CDD02.CR.HFHF.4	HF/HF	charles_river	CDD02	spleen	50
CDD02.CR.HFHF.2.Spleen	culture	CDD02.CR.HFHF.2	HF/HF	charles_river	CDD02	spleen	75
CDD02.Tc.LFLF.1.Spleen	culture	CDD02.Tc.LFLF.1	LF/LF	taconic	CDD02	spleen	2
CDD02.Tc.HFLF.3.Blood	culture	CDD02.Tc.HFLF.3	HF/LF	taconic	CDD02	blood	1
CDD03.CR.HFLF.2.Reproductive	culture	CDD03.CR.HFLF.2	HF/LF	charles_river	CDD03	reproductive	198
CDD02.Tc.HFLF.2.Liver	culture	CDD02.Tc.HFLF.2	HF/LF	taconic	CDD02	liver	1000
CDD03.CR.LFLF.2.Blood	culture	CDD03.CR.LFLF.2	LF/LF	charles_river	CDD03	blood	423
CDD03.CR.LFLF.1.Liver	culture	CDD03.CR.LFLF.1	LF/LF	charles_river	CDD03	liver	2000
CDD03.CR.HFLF.4.Spleen	culture	CDD03.CR.HFLF.4	HF/LF	charles_river	CDD03	spleen	149
CDD02.CR.HFHF.4.Blood	culture	CDD02.CR.HFHF.4	HF/HF	charles_river	CDD02	blood	23
CDD02.Tc.LFLF.5.Blood	culture	CDD02.Tc.LFLF.5	LF/LF	taconic	CDD02	blood	9
CDD02.Tc.LFLF.2.Spleen	culture	CDD02.Tc.LFLF.2	LF/LF	taconic	CDD02	spleen	1000
CDD03.CR.LFHF.2.Liver	culture	CDD03.CR.LFHF.2	LF/HF	charles_river	CDD03	liver	2000
CDD02.CR.HFHF.2.Liver	culture	CDD02.CR.HFHF.2	HF/HF	charles_river	CDD02	liver	2
CDD03.Tc.LFLF.2.Spleen	culture	CDD03.Tc.LFLF.2	LF/LF	taconic	CDD03	spleen	153
CDD03.CR.LFLF.5.Liver	culture	CDD03.CR.LFLF.5	LF/LF	charles_river	CDD03	liver	28
CDD02.Tc.LFLF.2.Liver	culture	CDD02.Tc.LFLF.2	LF/LF	taconic	CDD02	liver	491
CDD03.Tc.HFLF.2.Blood	culture	CDD03.Tc.HFLF.2	HF/LF	taconic	CDD03	blood	2000
CDD02.CR.LFLF.5.Blood	culture	CDD02.CR.LFLF.5	LF/LF	charles_river	CDD02	blood	1000
CDD03.Tc.LFLF.3.Liver	culture	CDD03.Tc.LFLF.3	LF/LF	taconic	CDD03	liver	3
CDD03.Tc.LFHF.5.Spleen	culture	CDD03.Tc.LFHF.5	LF/HF	taconic	CDD03	spleen	102
CDD03.CR.HFLF.4.Blood	culture	CDD03.CR.HFLF.4	HF/LF	charles_river	CDD03	blood	138
CDD02.Tc.LFLF.5.Liver	culture	CDD02.Tc.LFLF.5	LF/LF	taconic	CDD02	liver	2
CDD03.Tc.LFLF.1.Liver	culture	CDD03.Tc.LFLF.1	LF/LF	taconic	CDD03	liver	2
CDD02.CR.HFHF.1.Spleen	culture	CDD02.CR.HFHF.1	HF/HF	charles_river	CDD02	spleen	1
CDD03.CR.HFLF.5.Liver	culture	CDD03.CR.HFLF.5	HF/LF	charles_river	CDD03	liver	0
CDD02.Tc.HFLF.4.Liver	culture	CDD02.Tc.HFLF.4	HF/LF	taconic	CDD02	liver	61
CDD02.Tc.HFHF.3.Liver	culture	CDD02.Tc.HFHF.3	HF/HF	taconic	CDD02	liver	1
CDD02.Tc.LFLF.5.Spleen	culture	CDD02.Tc.LFLF.5	LF/LF	taconic	CDD02	spleen	2
CDD03.Tc.HFHF.4.Liver	culture	CDD03.Tc.HFHF.4	HF/HF	taconic	CDD03	liver	1
CDD02.CR.HFHF.1.Liver	culture	CDD02.CR.HFHF.1	HF/HF	charles_river	CDD02	liver	1
CDD03.CR.LFLF.3.Liver	culture	CDD03.CR.LFLF.3	LF/LF	charles_river	CDD03	liver	1
CDD02.Tc.HFLF.3.Liver	culture	CDD02.Tc.HFLF.3	HF/LF	taconic	CDD02	liver	1
CDD03.CR.LFLF.5.Spleen	culture	CDD03.CR.LFLF.5	LF/LF	charles_river	CDD03	spleen	3
CDD02.Tc.HFLF.3.Spleen	culture	CDD02.Tc.HFLF.3	HF/LF	taconic	CDD02	spleen	1
CDD02.Tc.HFHF.2.Liver	culture	CDD02.Tc.HFHF.2	HF/HF	taconic	CDD02	liver	1
CDD02.CR.HFHF.5.Blood	culture	CDD02.CR.HFHF.5	HF/HF	charles_river	CDD02	blood	3
CDD02.CR.LFHF.2.Liver	culture	CDD02.CR.LFHF.2	LF/HF	charles_river	CDD02	liver	0
