sampleid	media	oxygen_tol	cultured_from	colony_count	experiment	vendor	diet
CDD01.Tc.LFLF.1	BHI	aerobic	blood	110	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.2	BHI	aerobic	blood	2000	CDD01	taconic	LF/LF
CDD01.CR.LFLF.1	BHI	aerobic	blood	190	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.2	BHI	aerobic	blood	650	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.3	BHI	aerobic	blood	280	CDD01	charles_river	LF/LF
CDD01.CR.Chow.1	BHI	aerobic	blood	0	CDD01	charles_river	Chow
CDD01.CR.Chow.2	BHI	aerobic	blood	0	CDD01	charles_river	Chow
CDD01.Tc.Chow.1	BHI	aerobic	blood	0	CDD01	taconic	Chow
CDD01.Tc.Chow.2	BHI	aerobic	blood	0	CDD01	taconic	Chow
CDD01.Tc.LFLF.3	BHI	aerobic	blood	0	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.1	BHI	anaerobic	blood	30	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.2	BHI	anaerobic	blood	2000	CDD01	taconic	LF/LF
CDD01.CR.LFLF.1	BHI	anaerobic	blood	60	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.2	BHI	anaerobic	blood	750	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.3	BHI	anaerobic	blood	280	CDD01	charles_river	LF/LF
CDD01.CR.Chow.1	BHI	anaerobic	blood	0	CDD01	charles_river	Chow
CDD01.CR.Chow.2	BHI	anaerobic	blood	130	CDD01	charles_river	Chow
CDD01.Tc.Chow.1	BHI	anaerobic	blood	0	CDD01	taconic	Chow
CDD01.Tc.Chow.2	BHI	anaerobic	blood	0	CDD01	taconic	Chow
CDD01.Tc.LFLF.3	BHI	anaerobic	blood	0	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.1	PYG	aerobic	blood	0	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.2	PYG	aerobic	blood	0	CDD01	taconic	LF/LF
CDD01.CR.LFLF.1	PYG	aerobic	blood	180	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.2	PYG	aerobic	blood	670	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.3	PYG	aerobic	blood	170	CDD01	charles_river	LF/LF
CDD01.CR.Chow.1	PYG	aerobic	blood	0	CDD01	charles_river	Chow
CDD01.CR.Chow.2	PYG	aerobic	blood	40	CDD01	charles_river	Chow
CDD01.Tc.Chow.1	PYG	aerobic	blood	0	CDD01	taconic	Chow
CDD01.Tc.Chow.2	PYG	aerobic	blood	0	CDD01	taconic	Chow
CDD01.Tc.LFLF.3	PYG	aerobic	blood	0	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.1	PYG	anaerobic	blood	20	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.2	PYG	anaerobic	blood	2200	CDD01	taconic	LF/LF
CDD01.CR.LFLF.1	PYG	anaerobic	blood	180	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.2	PYG	anaerobic	blood	720	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.3	PYG	anaerobic	blood	220	CDD01	charles_river	LF/LF
CDD01.CR.Chow.1	PYG	anaerobic	blood	0	CDD01	charles_river	Chow
CDD01.CR.Chow.2	PYG	anaerobic	blood	100	CDD01	charles_river	Chow
CDD01.Tc.Chow.1	PYG	anaerobic	blood	0	CDD01	taconic	Chow
CDD01.Tc.Chow.2	PYG	anaerobic	blood	0	CDD01	taconic	Chow
CDD01.Tc.LFLF.3	PYG	anaerobic	blood	0	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.1	BHI	aerobic	spleen	0	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.2	BHI	aerobic	spleen	0	CDD01	taconic	LF/LF
CDD01.CR.LFLF.1	BHI	aerobic	spleen	0	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.2	BHI	aerobic	spleen	0	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.3	BHI	aerobic	spleen	0	CDD01	charles_river	LF/LF
CDD01.CR.Chow.1	BHI	aerobic	spleen	14	CDD01	charles_river	Chow
CDD01.CR.Chow.2	BHI	aerobic	spleen	20	CDD01	charles_river	Chow
CDD01.Tc.Chow.1	BHI	aerobic	spleen	0	CDD01	taconic	Chow
CDD01.Tc.Chow.2	BHI	aerobic	spleen	0	CDD01	taconic	Chow
CDD01.Tc.LFLF.3	BHI	aerobic	spleen	0	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.1	PYG	aerobic	spleen	0	CDD01	taconic	LF/LF
CDD01.Tc.LFLF.2	PYG	aerobic	spleen	0	CDD01	taconic	LF/LF
CDD01.CR.LFLF.1	PYG	aerobic	spleen	0	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.2	PYG	aerobic	spleen	0	CDD01	charles_river	LF/LF
CDD01.CR.LFLF.3	PYG	aerobic	spleen	0	CDD01	charles_river	LF/LF
CDD01.CR.Chow.1	PYG	aerobic	spleen	7	CDD01	charles_river	Chow
CDD01.CR.Chow.2	PYG	aerobic	spleen	20	CDD01	charles_river	Chow
CDD01.Tc.Chow.1	PYG	aerobic	spleen	0	CDD01	taconic	Chow
CDD01.Tc.Chow.2	PYG	aerobic	spleen	0	CDD01	taconic	Chow
CDD01.Tc.LFLF.3	PYG	aerobic	spleen	10	CDD01	taconic	LF/LF
