#SampleID	study	mouse_sex	diet	vendor	experiment	experiment_day	mouse_id	experiment_set	day_post_inf	sample_type	high_fat	high_fiber	purified_diet	seq_depth
CDD02.Tc.HFLF.3.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.3	new_exp_anschutz	-15	colon	1	0	1	62859
CDD02.Tc.LFLF.4.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.4	new_exp_anschutz	-15	colon	0	0	1	75937
CDD02.Tc.Chow.4.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.4	new_exp_anschutz	-15	colon	0	0	0	55839
CDD02.Tc.Chow.2.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.2	new_exp_anschutz	-15	colon	0	0	0	45329
CDD02.Tc.Chow.1.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.1	new_exp_anschutz	-15	colon	0	0	0	84825
CDD02.CR.LFLF.5.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.5	new_exp_anschutz	-15	colon	0	0	1	43404
CDD02.CR.Chow.1.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.1	new_exp_anschutz	-15	colon	0	0	0	52927
CDD02.CR.LFLF.1.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.1	new_exp_anschutz	-15	colon	0	0	1	53356
CDD02.CR.Chow.4.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.4	new_exp_anschutz	-15	colon	0	0	0	57656
CDD02.CR.Chow.3.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.3	new_exp_anschutz	-15	colon	0	0	0	38827
CDD02.CR.Chow.5.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.5	new_exp_anschutz	-15	colon	0	0	0	29768
CDD02.Tc.HFHF.5.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.5	new_exp_anschutz	-15	colon	1	1	1	72549
CDD02.CR.LFLF.2.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.2	new_exp_anschutz	-15	colon	0	0	1	46843
CDD02.CR.HFLF.3.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.3	new_exp_anschutz	-15	colon	1	0	1	51291
CDD02.Tc.HFLF.2.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.2	new_exp_anschutz	-15	colon	1	0	1	45775
CDD02.CR.Chow.2.00	2	Female	Chow	charles_river	CDD02	0	CDD02.CR.Chow.2	new_exp_anschutz	-15	colon	0	0	0	41773
CDD02.Tc.HFHF.1.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.1	new_exp_anschutz	-15	colon	1	1	1	87743
CDD02.CR.LFLF.3.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.3	new_exp_anschutz	-15	colon	0	0	1	67280
CDD02.Tc.LFHF.2.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.2	new_exp_anschutz	-15	colon	0	1	1	73611
CDD02.Tc.HFLF.4.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.4	new_exp_anschutz	-15	colon	1	0	1	52843
CDD02.Tc.HFLF.5.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.5	new_exp_anschutz	-15	colon	1	0	1	41708
CDD02.CR.LFLF.4.00	2	Female	LF/LF	charles_river	CDD02	0	CDD02.CR.LFLF.4	new_exp_anschutz	-15	colon	0	0	1	46336
CDD02.Tc.LFHF.3.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.3	new_exp_anschutz	-15	colon	0	1	1	55243
CDD02.Tc.HFHF.4.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.4	new_exp_anschutz	-15	colon	1	1	1	42595
CDD02.Tc.LFLF.5.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.5	new_exp_anschutz	-15	colon	0	0	1	24245
CDD02.Tc.Chow.5.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.5	new_exp_anschutz	-15	colon	0	0	0	39419
CDD02.Tc.HFLF.1.00	2	Female	HF/LF	taconic	CDD02	0	CDD02.Tc.HFLF.1	new_exp_anschutz	-15	colon	1	0	1	47410
CDD02.CR.HFLF.2.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.2	new_exp_anschutz	-15	colon	1	0	1	53788
CDD02.Tc.Chow.3.00	2	Female	Chow	taconic	CDD02	0	CDD02.Tc.Chow.3	new_exp_anschutz	-15	colon	0	0	0	28490
CDD02.Tc.LFHF.4.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.4	new_exp_anschutz	-15	colon	0	1	1	49475
CDD02.Tc.LFHF.5.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.5	new_exp_anschutz	-15	colon	0	1	1	30759
CDD02.Tc.HFHF.3.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.3	new_exp_anschutz	-15	colon	1	1	1	59529
CDD02.CR.HFLF.1.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.1	new_exp_anschutz	-15	colon	1	0	1	78937
CDD02.Tc.LFLF.1.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.1	new_exp_anschutz	-15	colon	0	0	1	58550
CDD02.Tc.LFLF.2.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.2	new_exp_anschutz	-15	colon	0	0	1	102011
CDD02.Tc.LFLF.3.00	2	Female	LF/LF	taconic	CDD02	0	CDD02.Tc.LFLF.3	new_exp_anschutz	-15	colon	0	0	1	41523
CDD02.Tc.HFHF.2.00	2	Female	HF/HF	taconic	CDD02	0	CDD02.Tc.HFHF.2	new_exp_anschutz	-15	colon	1	1	1	52066
CDD02.Tc.LFHF.1.00	2	Female	LF/HF	taconic	CDD02	0	CDD02.Tc.LFHF.1	new_exp_anschutz	-15	colon	0	1	1	38985
CDD02.CR.HFHF.1.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.1	new_exp_anschutz	-15	colon	1	1	1	70530
CDD02.Tc.LFHF.2.18	2	Female	LF/HF	taconic	CDD02	18	CDD02.Tc.LFHF.2	new_exp_anschutz	3	colon	0	1	1	61615
CDD02.Tc.LFLF.5.18	2	Female	LF/LF	taconic	CDD02	18	CDD02.Tc.LFLF.5	new_exp_anschutz	3	colon	0	0	1	110884
CDD02.CR.LFHF.2.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.2	new_exp_anschutz	-15	colon	0	1	1	67551
CDD02.CR.HFLF.5.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.5	new_exp_anschutz	-15	colon	1	0	1	58436
CDD02.CR.Chow.2.18	2	Female	Chow	charles_river	CDD02	18	CDD02.CR.Chow.2	new_exp_anschutz	3	colon	0	0	0	38539
CDD02.Tc.LFHF.1.18	2	Female	LF/HF	taconic	CDD02	18	CDD02.Tc.LFHF.1	new_exp_anschutz	3	colon	0	1	1	73245
CDD02.CR.HFHF.3.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.3	new_exp_anschutz	-15	colon	1	1	1	53938
CDD02.CR.Chow.1.18	2	Female	Chow	charles_river	CDD02	18	CDD02.CR.Chow.1	new_exp_anschutz	3	colon	0	0	0	70727
CDD02.Tc.LFLF.4.18	2	Female	LF/LF	taconic	CDD02	18	CDD02.Tc.LFLF.4	new_exp_anschutz	3	colon	0	0	1	63271
CDD02.CR.LFHF.5.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.5	new_exp_anschutz	-15	colon	0	1	1	51698
CDD02.CR.HFHF.4.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.4	new_exp_anschutz	-15	colon	1	1	1	58457
CDD02.CR.HFHF.5.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.5	new_exp_anschutz	-15	colon	1	1	1	58097
CDD02.Tc.LFLF.1.18	2	Female	LF/LF	taconic	CDD02	18	CDD02.Tc.LFLF.1	new_exp_anschutz	3	colon	0	0	1	63827
CDD02.CR.LFHF.1.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.1	new_exp_anschutz	-15	colon	0	1	1	62331
CDD02.CR.LFHF.3.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.3	new_exp_anschutz	-15	colon	0	1	1	41007
CDD02.CR.Chow.3.18	2	Female	Chow	charles_river	CDD02	18	CDD02.CR.Chow.3	new_exp_anschutz	3	colon	0	0	0	24290
CDD02.CR.HFLF.4.00	2	Female	HF/LF	charles_river	CDD02	0	CDD02.CR.HFLF.4	new_exp_anschutz	-15	colon	1	0	1	69016
CDD02.Tc.HFLF.3.18	2	Female	HF/LF	taconic	CDD02	18	CDD02.Tc.HFLF.3	new_exp_anschutz	3	colon	1	0	1	48011
CDD02.Tc.Chow.5.18	2	Female	Chow	taconic	CDD02	18	CDD02.Tc.Chow.5	new_exp_anschutz	3	colon	0	0	0	55631
CDD02.Tc.LFLF.3.18	2	Female	LF/LF	taconic	CDD02	18	CDD02.Tc.LFLF.3	new_exp_anschutz	3	colon	0	0	1	53111
CDD02.CR.LFHF.4.00	2	Female	LF/HF	charles_river	CDD02	0	CDD02.CR.LFHF.4	new_exp_anschutz	-15	colon	0	1	1	40920
CDD02.CR.HFHF.2.00	2	Female	HF/HF	charles_river	CDD02	0	CDD02.CR.HFHF.2	new_exp_anschutz	-15	colon	1	1	1	56580
CDD02.Tc.HFHF.4.18	2	Female	HF/HF	taconic	CDD02	18	CDD02.Tc.HFHF.4	new_exp_anschutz	3	colon	1	1	1	25126
CDD02.Tc.HFHF.3.18	2	Female	HF/HF	taconic	CDD02	18	CDD02.Tc.HFHF.3	new_exp_anschutz	3	colon	1	1	1	31960
CDD02.Tc.HFLF.5.18	2	Female	HF/LF	taconic	CDD02	18	CDD02.Tc.HFLF.5	new_exp_anschutz	3	colon	1	0	1	51050
CDD02.Tc.LFHF.4.18	2	Female	LF/HF	taconic	CDD02	18	CDD02.Tc.LFHF.4	new_exp_anschutz	3	colon	0	1	1	41964
