mouse_id	status
CDD01.CR.Chow.1	survived
CDD01.CR.Chow.2	survived
CDD01.CR.LFLF.1	didnt_survive
CDD01.CR.LFLF.2	didnt_survive
CDD01.CR.LFLF.3	didnt_survive
CDD02.CR.Chow.1	survived
CDD02.CR.Chow.2	survived
CDD02.CR.Chow.3	didnt_survive
CDD02.CR.Chow.4	survived
CDD02.CR.Chow.5	survived
CDD02.CR.HFHF.1	didnt_survive
CDD02.CR.HFHF.2	didnt_survive
CDD02.CR.HFHF.3	survived
CDD02.CR.HFHF.4	didnt_survive
CDD02.CR.HFHF.5	survived
CDD02.CR.HFLF.1	didnt_survive
CDD02.CR.HFLF.2	survived
CDD02.CR.HFLF.3	survived
CDD02.CR.HFLF.4	didnt_survive
CDD02.CR.HFLF.5	didnt_survive
CDD02.CR.LFHF.1	survived
CDD02.CR.LFHF.2	didnt_survive
CDD02.CR.LFHF.3	survived
CDD02.CR.LFHF.4	survived
CDD02.CR.LFHF.5	survived
CDD02.CR.LFLF.1	didnt_survive
CDD02.CR.LFLF.2	didnt_survive
CDD02.CR.LFLF.3	didnt_survive
CDD02.CR.LFLF.4	didnt_survive
CDD02.CR.LFLF.5	didnt_survive
CDD03.CR.Chow.1	didnt_survive
CDD03.CR.Chow.2	survived
CDD03.CR.Chow.3	didnt_survive
CDD03.CR.Chow.4	survived
CDD03.CR.Chow.5	survived
CDD03.CR.HFHF.1	survived
CDD03.CR.HFHF.2	survived
CDD03.CR.HFHF.3	survived
CDD03.CR.HFHF.4	survived
CDD03.CR.HFHF.5	survived
CDD03.CR.HFLF.1	didnt_survive
CDD03.CR.HFLF.2	didnt_survive
CDD03.CR.HFLF.3	didnt_survive
CDD03.CR.HFLF.4	didnt_survive
CDD03.CR.HFLF.5	didnt_survive
CDD03.CR.LFHF.1	survived
CDD03.CR.LFHF.2	didnt_survive
CDD03.CR.LFHF.3	didnt_survive
CDD03.CR.LFHF.4	survived
CDD03.CR.LFHF.5	didnt_survive
CDD03.CR.LFLF.1	didnt_survive
CDD03.CR.LFLF.2	didnt_survive
CDD03.CR.LFLF.3	didnt_survive
CDD03.CR.LFLF.4	didnt_survive
CDD03.CR.LFLF.5	didnt_survive
CDD01.Tc.Chow.1	survived
CDD01.Tc.Chow.2	survived
CDD01.Tc.LFLF.1	didnt_survive
CDD01.Tc.LFLF.2	didnt_survive
CDD01.Tc.LFLF.3	survived
CDD02.Tc.Chow.1	didnt_survive
CDD02.Tc.Chow.2	didnt_survive
CDD02.Tc.Chow.3	didnt_survive
CDD02.Tc.Chow.4	didnt_survive
CDD02.Tc.Chow.5	survived
CDD02.Tc.HFHF.2	survived
CDD02.Tc.HFHF.3	didnt_survive
CDD02.Tc.HFHF.4	survived
CDD02.Tc.HFHF.5	survived
CDD02.Tc.HFLF.1	didnt_survive
CDD02.Tc.HFLF.2	didnt_survive
CDD02.Tc.HFLF.3	survived
CDD02.Tc.HFLF.4	didnt_survive
CDD02.Tc.HFLF.5	didnt_survive
CDD02.Tc.LFHF.1	survived
CDD02.Tc.LFHF.2	survived
CDD02.Tc.LFHF.3	survived
CDD02.Tc.LFHF.4	survived
CDD02.Tc.LFHF.5	survived
CDD02.Tc.LFLF.1	didnt_survive
CDD02.Tc.LFLF.2	didnt_survive
CDD02.Tc.LFLF.3	didnt_survive
CDD02.Tc.LFLF.4	didnt_survive
CDD02.Tc.LFLF.5	didnt_survive
CDD03.Tc.Chow.1	survived
CDD03.Tc.Chow.2	survived
CDD03.Tc.Chow.3	survived
CDD03.Tc.Chow.4	survived
CDD03.Tc.Chow.5	survived
CDD03.Tc.HFHF.1	survived
CDD03.Tc.HFHF.2	survived
CDD03.Tc.HFHF.3	survived
CDD03.Tc.HFHF.4	survived
CDD03.Tc.HFHF.5	survived
CDD03.Tc.HFLF.1	survived
CDD03.Tc.HFLF.2	didnt_survive
CDD03.Tc.HFLF.3	survived
CDD03.Tc.HFLF.4	survived
CDD03.Tc.HFLF.5	survived
CDD03.Tc.LFHF.1	survived
CDD03.Tc.LFHF.2	survived
CDD03.Tc.LFHF.3	survived
CDD03.Tc.LFHF.4	survived
CDD03.Tc.LFHF.5	survived
CDD03.Tc.LFLF.1	didnt_survive
CDD03.Tc.LFLF.2	survived
CDD03.Tc.LFLF.3	didnt_survive
CDD03.Tc.LFLF.4	survived
CDD03.Tc.LFLF.5	didnt_survive
