	shannon_entropy
CDD02.CR.Chow.1.00	4.616082287480874
CDD02.CR.Chow.1.18	2.904431858490306
CDD02.CR.Chow.2.00	4.114232740545344
CDD02.CR.Chow.2.18	2.86351277605354
CDD02.CR.Chow.3.00	4.759475362952707
CDD02.CR.Chow.3.18	2.612503690334643
CDD02.CR.Chow.4.00	4.693777925362394
CDD02.CR.Chow.4.18	2.7594228240343903
CDD02.CR.Chow.5.00	4.435810450402681
CDD02.CR.Chow.5.18	3.0681759080289654
CDD02.CR.HFHF.1.00	5.6217495754149285
CDD02.CR.HFHF.1.18	2.5088130905732067
CDD02.CR.HFHF.2.00	5.550529954467504
CDD02.CR.HFHF.2.18	2.3466833795578865
CDD02.CR.HFHF.3.00	4.740034338666846
CDD02.CR.HFHF.3.18	2.7976906315853656
CDD02.CR.HFHF.4.00	4.202946287620976
CDD02.CR.HFHF.4.18	2.3692190505797375
CDD02.CR.HFHF.5.00	4.394335524547721
CDD02.CR.HFHF.5.18	2.394499668631638
CDD02.CR.HFLF.1.00	4.593453452922363
CDD02.CR.HFLF.1.18	1.6279009404649953
CDD02.CR.HFLF.2.00	4.233130472897454
CDD02.CR.HFLF.2.18	1.4916912781579494
CDD02.CR.HFLF.3.00	4.4530434227655515
CDD02.CR.HFLF.3.18	1.4534669523702874
CDD02.CR.HFLF.4.00	4.898206913169956
CDD02.CR.HFLF.4.18	1.32460025711091
CDD02.CR.HFLF.5.00	5.465233481591548
CDD02.CR.HFLF.5.18	1.4940436602711396
CDD02.CR.LFHF.1.00	4.186189337578184
CDD02.CR.LFHF.1.18	2.2042097138258114
CDD02.CR.LFHF.2.00	5.560178908574553
CDD02.CR.LFHF.2.18	2.3513488966734037
CDD02.CR.LFHF.3.00	3.97548453909289
CDD02.CR.LFHF.3.18	2.1022740597775296
CDD02.CR.LFHF.4.00	4.2705202833411455
CDD02.CR.LFHF.4.18	2.205250742574375
CDD02.CR.LFHF.5.00	4.490190982218571
CDD02.CR.LFHF.5.18	2.291508720852439
CDD02.CR.LFLF.1.00	4.508858837865754
CDD02.CR.LFLF.1.18	1.652439343739088
CDD02.CR.LFLF.2.00	6.0141466508178505
CDD02.CR.LFLF.2.18	1.5931521950233232
CDD02.CR.LFLF.3.00	3.9779007386839162
CDD02.CR.LFLF.3.18	1.7613628774840975
CDD02.CR.LFLF.4.00	4.49684578212919
CDD02.CR.LFLF.4.18	1.8697346940175514
CDD02.CR.LFLF.5.00	4.064810189263219
CDD02.CR.LFLF.5.18	1.7730691806110566
CDD02.Tc.Chow.1.00	6.524816841085234
CDD02.Tc.Chow.1.18	2.4492319856916143
CDD02.Tc.Chow.2.00	6.612247484568915
CDD02.Tc.Chow.2.18	3.062520299672248
CDD02.Tc.Chow.3.00	4.689513789734884
CDD02.Tc.Chow.4.00	6.29926325139027
CDD02.Tc.Chow.4.18	2.755447121028178
CDD02.Tc.Chow.5.00	5.480870098207531
CDD02.Tc.Chow.5.18	3.024611218368249
CDD02.Tc.HFHF.1.00	6.608905476645845
CDD02.Tc.HFHF.2.00	6.469735660418578
CDD02.Tc.HFHF.2.18	1.5804282982157605
CDD02.Tc.HFHF.3.00	5.533285730564695
CDD02.Tc.HFHF.3.18	2.143201914807956
CDD02.Tc.HFHF.4.00	5.518494120383929
CDD02.Tc.HFHF.4.18	2.7282266730473794
CDD02.Tc.HFHF.5.00	6.26494486101575
CDD02.Tc.HFHF.5.18	2.6363273857136273
CDD02.Tc.HFLF.1.00	5.623111447127005
CDD02.Tc.HFLF.1.18	1.6675777980203221
CDD02.Tc.HFLF.2.00	5.712192416625559
CDD02.Tc.HFLF.2.18	1.5948416600370903
CDD02.Tc.HFLF.3.00	6.640194575471902
CDD02.Tc.HFLF.3.18	1.7813787747038832
CDD02.Tc.HFLF.4.00	6.260003034593793
CDD02.Tc.HFLF.4.18	1.6457216631470595
CDD02.Tc.HFLF.5.00	5.762651940407009
CDD02.Tc.HFLF.5.18	0.9875726777752276
CDD02.Tc.LFHF.1.00	4.961984906321125
CDD02.Tc.LFHF.1.18	3.0415315736620876
CDD02.Tc.LFHF.2.00	4.877624166498365
CDD02.Tc.LFHF.2.18	2.519803339872653
CDD02.Tc.LFHF.3.00	5.281900593810823
CDD02.Tc.LFHF.3.18	2.9138393994620735
CDD02.Tc.LFHF.4.00	6.046835151651531
CDD02.Tc.LFHF.4.18	2.5922715864891113
CDD02.Tc.LFHF.5.00	5.436411388874384
CDD02.Tc.LFHF.5.18	2.2909618887206578
CDD02.Tc.LFLF.1.00	6.390092247525061
CDD02.Tc.LFLF.1.18	2.041477036200335
CDD02.Tc.LFLF.2.00	5.302682803486746
CDD02.Tc.LFLF.2.18	1.5577108314566392
CDD02.Tc.LFLF.3.00	5.293320663565878
CDD02.Tc.LFLF.3.18	1.909953260519897
CDD02.Tc.LFLF.4.00	5.6887022323148
CDD02.Tc.LFLF.4.18	1.6792203125508642
CDD02.Tc.LFLF.5.00	4.7688977040330185
CDD02.Tc.LFLF.5.18	2.043620266237706
CDD03.CR.Chow.1.00	5.141283367264952
CDD03.CR.Chow.1.18	3.310721686983789
CDD03.CR.Chow.2.00	5.242187313684619
CDD03.CR.Chow.2.18	2.930498221966769
CDD03.CR.Chow.3.00	5.042502756316788
CDD03.CR.Chow.3.18	2.606490680489106
CDD03.CR.Chow.4.00	4.564955963649727
CDD03.CR.Chow.4.18	3.291919260389208
CDD03.CR.Chow.5.00	5.25088854634856
CDD03.CR.Chow.5.18	2.4612038613141425
CDD03.CR.HFHF.1.00	4.4696952795166585
CDD03.CR.HFHF.1.18	2.0842765960387277
CDD03.CR.HFHF.2.00	4.505558735565117
CDD03.CR.HFHF.2.18	2.846514278093016
CDD03.CR.HFHF.3.00	3.824207324466956
CDD03.CR.HFHF.3.18	2.0539886498656066
CDD03.CR.HFHF.4.00	3.9672093310756247
CDD03.CR.HFHF.4.18	2.1751206832222842
CDD03.CR.HFHF.5.00	4.6419888468281805
CDD03.CR.HFHF.5.18	2.069231559944553
CDD03.CR.HFLF.1.00	5.147952937345386
CDD03.CR.HFLF.1.18	1.3993331748323277
CDD03.CR.HFLF.2.00	4.621386079625509
CDD03.CR.HFLF.2.18	1.6424882882346838
CDD03.CR.HFLF.3.00	3.856992641707559
CDD03.CR.HFLF.3.18	1.1821184384025585
CDD03.CR.HFLF.4.00	5.234675500073364
CDD03.CR.HFLF.4.18	1.3732054295419533
CDD03.CR.HFLF.5.00	4.060613971683491
CDD03.CR.HFLF.5.18	1.3770262167863019
CDD03.CR.LFHF.1.00	4.648413414568052
CDD03.CR.LFHF.1.18	1.687945142943281
CDD03.CR.LFHF.2.00	5.142987247433949
CDD03.CR.LFHF.3.00	4.363761793656537
CDD03.CR.LFHF.3.18	2.118385322932134
CDD03.CR.LFHF.4.00	3.3742155141608228
CDD03.CR.LFHF.4.18	2.405733488114487
CDD03.CR.LFHF.5.00	4.074810267085055
CDD03.CR.LFLF.1.00	4.2652544641905665
CDD03.CR.LFLF.1.18	1.7006718110538999
CDD03.CR.LFLF.2.00	4.537689733819271
CDD03.CR.LFLF.2.18	1.5214068510392578
CDD03.CR.LFLF.3.00	4.54074370544734
CDD03.CR.LFLF.3.18	2.1109660827653336
CDD03.CR.LFLF.4.00	4.707785658970797
CDD03.CR.LFLF.4.18	1.234921908777296
CDD03.CR.LFLF.5.00	4.226103632948981
CDD03.CR.LFLF.5.18	1.6007684960691795
CDD03.Tc.Chow.1.00	4.394193480324407
CDD03.Tc.Chow.1.18	3.324757308162314
CDD03.Tc.Chow.2.00	4.669813928584782
CDD03.Tc.Chow.2.18	3.226498440427468
CDD03.Tc.Chow.3.00	5.116610140394193
CDD03.Tc.Chow.3.18	3.0282073560110643
CDD03.Tc.Chow.4.00	4.806273429685459
CDD03.Tc.Chow.4.18	2.7757878210051596
CDD03.Tc.Chow.5.00	3.0218836076037774
CDD03.Tc.Chow.5.18	3.5174012407622626
CDD03.Tc.HFHF.1.00	4.157140923993731
CDD03.Tc.HFHF.1.18	2.4395186900068153
CDD03.Tc.HFHF.2.00	5.426929091629859
CDD03.Tc.HFHF.2.18	3.362938403182361
CDD03.Tc.HFHF.3.00	5.830378593607091
CDD03.Tc.HFHF.3.18	3.1203895275780753
CDD03.Tc.HFHF.4.00	5.9991435031660325
CDD03.Tc.HFHF.4.18	3.0729053448129604
CDD03.Tc.HFHF.5.00	5.479849494045732
CDD03.Tc.HFHF.5.18	2.8664880539876463
CDD03.Tc.HFLF.1.00	5.178812503911236
CDD03.Tc.HFLF.1.18	2.3385510560734604
CDD03.Tc.HFLF.2.00	3.809697671147332
CDD03.Tc.HFLF.3.00	5.474033467671657
CDD03.Tc.HFLF.3.18	2.5870056415736604
CDD03.Tc.HFLF.4.18	1.9785473137349556
CDD03.Tc.HFLF.5.00	5.135539287379081
CDD03.Tc.HFLF.5.18	2.6114710844788767
CDD03.Tc.LFHF.1.00	5.1127420385425
CDD03.Tc.LFHF.1.18	1.5280150427564239
CDD03.Tc.LFHF.2.00	4.081025514836338
CDD03.Tc.LFHF.2.18	2.196448994822854
CDD03.Tc.LFHF.3.00	5.172285307302347
CDD03.Tc.LFHF.3.18	1.826615852739739
CDD03.Tc.LFHF.4.00	5.178803203654346
CDD03.Tc.LFHF.4.18	1.3746401466988933
CDD03.Tc.LFHF.5.00	4.19406944550324
CDD03.Tc.LFHF.5.18	2.0863904863121228
CDD03.Tc.LFLF.1.00	5.557760166695225
CDD03.Tc.LFLF.1.18	1.7408779728442925
CDD03.Tc.LFLF.2.00	4.220810283686857
CDD03.Tc.LFLF.2.18	1.764176036761786
CDD03.Tc.LFLF.3.00	3.616172972025938
CDD03.Tc.LFLF.3.18	2.2032407977154334
CDD03.Tc.LFLF.4.00	4.919441893316031
CDD03.Tc.LFLF.4.18	2.2717235165632643
CDD03.Tc.LFLF.5.00	4.984821888455279
CDD03.Tc.LFLF.5.18	2.058373980932424
