tested_var	compared_to	exp_estimate	interpretable_estimate	more_likely_to	std_error	z_value	p_value
(Intercept)	none	0.13587669484114456	-7.359613811398008	get_sick	0.9323804016825429	-2.1407651388690128	0.03229298256657009
vendortaconic	vendorcharles_river	2.2576190372499974	2.2576190372499974	survive_to_end	0.5900902436567419	1.3799766109527107	0.16759384635376698
dietHF/HF	dietChow	1.7236105287678707	1.7236105287678707	survive_to_end	0.7682084344341293	0.7086894792207803	0.47851719504414403
dietHF/LF	dietChow	0.19573672593494898	-5.1089032741476395	get_sick	0.77664793720887	-2.100031017384388	0.03572611270228791
dietLF/HF	dietChow	1.4469904555768502	1.4469904555768502	survive_to_end	0.8328221595466122	0.4436551638119662	0.6572919162427521
dietLF/LF	dietChow	0.025543294224135756	-39.14921823415807	get_sick	1.0847534387856441	-3.380842431683663	7.226396950434364e-4
Proteus	none	0	-Inf	get_sick	1466.0948122315697	-1.1382268253528829	0.25502578006913273
Enterococcus	none	21429942956137723e127	21429942956137723e127	survive_to_end	370.10211803510305	0.8917319201114771	0.3725366400737921
`Escherichia-Shigella`	none	4903598218608863e3	4903598218608863e3	survive_to_end	101.65134993250818	0.42337362925749045	0.6720226818843567
Lactobacillus	none	586.0396944378518	586.0396944378518	survive_to_end	2.311398853813838	2.7573724520609164	0.005826794042684633
