tested_var	baseline_comp	Estimate	Std. Error	df	t value	Pr(>|t|)	signif
(Intercept)	NA	-0.9509372173619686	0.7644236644628277	55.66033518174888	-1.2439923848121668	0.218715871345443	ns
sack_statussick	sack_statusend_time_course	0.7729526266300619	0.4692677868484099	40.88914793608664	1.647146146172085	0.10719314067912299	ns
diet_fHF/HF	diet_fLF/HF	0.543953245414377	0.6464663868080716	43.22494946779015	0.8414254113042855	0.404740757970952	ns
diet_fHF/LF	diet_fLF/HF	1.0778512061616543	0.6717077110521966	43.69562413026183	1.6046431929049232	0.1157767286871708	ns
diet_fLF/LF	diet_fLF/HF	1.0781734431173078	0.6410201120806378	43.541628862826755	1.6819650784711695	0.09973521341285345	.
diet_fChow	diet_fLF/HF	2.2530296517073136	0.7243996945422284	41.68894317276481	3.1102023767846503	0.0033666504773056656	**
top_tax_fProteus	top_tax_fOther	2.050577488463484	0.6018335256514231	62.99258358094422	3.4072171141412304	0.0011481785413230083	**
top_tax_fenterococcus_escherichiaShigella_proteus	top_tax_fOther	1.2089103185436882	0.4131018870163092	62.55013854681226	2.9264216807994408	0.0047742489384502715	**
top_tax_fEnterococcus	top_tax_fOther	-0.1438513875272669	0.37951558502339666	62.12019347236362	-0.37903947348670447	0.7059510697663688	ns
top_tax_fEscherichia-Shigella	top_tax_fOther	-0.4425104897587871	0.5456893252766627	55.61430415370636	-0.81092018711276	0.42086835193428895	ns
top_tax_fLactobacillus	top_tax_fOther	-0.4106241461672755	0.8037337548331847	39.50727371570452	-0.5108957334416055	0.612267358571331	ns
locationliver	locationblood	-0.23218717937381117	0.3071052812694568	35.89202519466849	-0.7560507537155903	0.4545526051603779	ns
locationspleen	locationblood	0.02279559382746584	0.3208177552613479	28.761410557049466	0.07105465160086247	0.9438460431812126	ns
vendortaconic	vendorcharles_river	0.8864208011784023	0.42996113420874105	47.26880493706798	2.061630065260865	0.044765551974252575	*
