tested_var	compared_to	exp_estimate	interpretable_estimate	more_likely_to	std_error	z_value	p_value
(Intercept)	none	2.2816938245498197	2.2816938245498197	survive_to_end	1.1250641352276467	0.7332187088925762	0.46342504627709946
vendortaconic	vendorcharles_river	1.0305107257543542	1.0305107257543542	survive_to_end	1.1874425728158966	0.025310301553453617	0.979807457112992
dietHF/HF	dietChow	2.9274141159819416	2.9274141159819416	survive_to_end	1.0200884392639986	1.052967015145541	0.2923561098357737
dietHF/LF	dietChow	0.5933156085092492	-1.6854436081878519	get_sick	1.062817972723561	-0.4911742288019527	0.6233032246701391
dietLF/HF	dietChow	5.594333112997994	5.594333112997994	survive_to_end	1.0860452099715259	1.585342972340555	0.11288843051468063
dietLF/LF	dietChow	0.047254484460305356	-21.16201269405486	get_sick	1.112602228620948	-2.743305416632437	0.006082408445305626
Proteus	none	1.2190552803553759e-5	-82030.73446418956	get_sick	5.078711061092075	-2.2278978131369285	0.0258873300528164
Enterococcus	none	45.950081655060636	45.950081655060636	survive_to_end	3.333148286730274	1.1483304361464288	0.2508321790189199
`Escherichia-Shigella`	none	0.2581691777373834	-3.8734290776462355	get_sick	2.2998916414535087	-0.5887843396117078	0.5560059524714973
Lactobacillus	none	42.78614788534698	42.78614788534698	survive_to_end	5.869361898792751	0.6399698071840764	0.5221922286655782
