day_post_inf	term	estimate	std.error	statistic	p.value	signif
-15	purified_diet	-1.2261638739928435	3.775655833417447	-0.3247552022989897	0.7460879863048141	ns
-15	high_fat	1.848818126787244	3.825012906494733	0.48334951331746306	0.6299715596986218	ns
-15	high_fiber	-0.08328310691718815	3.775655833417446	-0.02205791803905135	0.9824485107581602	ns
-15	purified_diet:high_fat	NA	NA	NA	NA	
-15	purified_diet:high_fiber	NA	NA	NA	NA	
-15	high_fat:high_fiber	4.390484412223894	5.374597725157714	0.8168954472020616	0.41605373791584155	ns
-15	purified_diet:high_fat:high_fiber	NA	NA	NA	NA	
3	purified_diet	-5.357823685949589	0.6729753442053047	-7.9613967020983125	4.896395518659896e-12	****
3	high_fat	-0.18220398979848274	0.6729753442053046	-0.2707439304684211	0.7872079343849449	ns
3	high_fiber	0.8419181563093238	0.6824945630182772	1.233589543315933	0.22056783463358903	ns
3	purified_diet:high_fat	NA	NA	NA	NA	
3	purified_diet:high_fiber	NA	NA	NA	NA	
3	high_fat:high_fiber	1.5529307568453339	0.9645244194082863	1.6100481497379004	0.11088939924485298	ns
3	purified_diet:high_fat:high_fiber	NA	NA	NA	NA	
