Family	day_post_inf	term	estimate	std.error	statistic	p.value	signif
Bacteroidaceae	-15	purified_diet	0.019101445751394112	0.011811054384182437	1.6172515281087088	0.10913984398578763	ns
Bacteroidaceae	-15	high_fat	-0.016780567025085583	0.011811054384182439	-1.4207509744056719	0.15866314841729276	ns
Bacteroidaceae	-15	high_fiber	-0.01711797727744108	0.011811054384182437	-1.4493183013673836	0.15054182229274934	ns
Bacteroidaceae	-15	high_fat:high_fiber	0.010277595924137782	0.016703353296037008	0.6153013554814899	0.5398269234677535	ns
Bacteroidaceae	3	purified_diet	-0.021919186015719305	0.06782754964322987	-0.3231605170909656	0.7473150996794238	ns
Bacteroidaceae	3	high_fat	-0.1965577904774835	0.06782754964322986	-2.8979049296542403	0.004706311260675962	**
Bacteroidaceae	3	high_fiber	-0.17352555133992642	0.06782754964322985	-2.558334367858839	0.01216967183575072	*
Bacteroidaceae	3	high_fat:high_fiber	0.2677185047338677	0.09653557106563734	2.773262764995072	0.006732351309713175	**
Enterobacteriaceae	-15	purified_diet	6.448547143614686e-4	0.0014870740089322093	0.4336399604109181	0.6655330393346611	ns
Enterobacteriaceae	-15	high_fat	-0.0010953700391672693	0.0014870740089322095	-0.7365941658504257	0.463184306890842	ns
Enterobacteriaceae	-15	high_fiber	-0.0014282578546619305	0.0014870740089322093	-0.9604484014131135	0.3392677544469235	ns
Enterobacteriaceae	-15	high_fat:high_fiber	0.0032523250350269682	0.00210304023168446	1.546487312048221	0.12531183354130931	ns
Enterobacteriaceae	3	purified_diet	0.10515894292040047	0.06737550378388805	1.5607889665315988	0.12204469763525082	ns
Enterobacteriaceae	3	high_fat	0.08127815202268666	0.06737550378388805	1.2063457407812843	0.2308111111666918	ns
Enterobacteriaceae	3	high_fiber	0.04680355943624863	0.06737550378388804	0.6946673020267803	0.4890336718132946	ns
Enterobacteriaceae	3	high_fat:high_fiber	-0.13381278954770556	0.09589219672277881	-1.3954502464319798	0.16627609613468053	ns
Enterococcaceae	-15	purified_diet	-3.605499105901206e-4	3.059498688775779e-4	-1.1784607455883245	0.2415563551069194	ns
Enterococcaceae	-15	high_fat	3.700751152489892e-5	3.05949868877578e-4	0.1209593965856773	0.903978667130815	ns
Enterococcaceae	-15	high_fiber	1.515035721264592e-4	3.059498688775779e-4	0.4951908385588539	0.6216088605246237	ns
Enterococcaceae	-15	high_fat:high_fiber	8.648153031336957e-5	4.326784539729409e-4	0.19987482510228716	0.8420057043761942	ns
Enterococcaceae	3	purified_diet	0.03910878860980154	0.03456655248257763	1.1314055293629095	0.2608572516832843	ns
