baseline	diet	time_frame	coef	haz_ratio	se(coef)	z	p_value	p_adj	signif	weightLoss_haz_toBaseline
Chow	HFHF	days 0 to 3	-0.3421019991347462	0.71	0.315227280413448	-1.0852550537061694	0.27780870677393615	0.278	ns	less
Chow	HFLF	days 0 to 3	-1.2172598354972475	0.296	0.37573892029485895	-3.2396426607656452	0.001196795808384495	0.002	**	less
Chow	LFHF	days 0 to 3	-0.7034994054329928	0.495	0.3339644377448902	-2.106509933163555	0.03516008119301099	0.047	*	less
Chow	LFLF	days 0 to 3	-1.2977158108934908	0.273	0.37758712586552945	-3.4368645591895732	5.884897997180292e-4	0.002	**	less
Chow	HFHF	days 4 to 6	0.7378118430048151	2.091	0.29952607621672594	2.4632641415532777	0.01376784452577607	0.018	*	greater
Chow	HFLF	days 4 to 6	0.38048794453963275	1.463	0.3141753621280382	1.2110686909451853	0.22586907957101252	0.226	ns	greater
Chow	LFHF	days 4 to 6	0.828724701335995	2.29	0.2976437635084702	2.784283774561302	0.005364607629685804	0.011	*	greater
Chow	LFLF	days 4 to 6	1.1352702780954882	3.112	0.2924380075142374	3.8820886783679014	1.0356309493095734e-4	0	***	greater
Chow	HFHF	days 7 to 9	1.53209210876008	4.628	0.632512859310018	2.4222307676580295	0.015425551364648045	0.031	*	greater
Chow	HFLF	days 7 to 9	2.1023788643126466	8.186	0.6366015896146294	3.3025033217170163	9.582595298196099e-4	0.004	**	greater
Chow	LFHF	days 7 to 9	1.133890157745634	3.108	0.651371580218445	1.7407731503504817	0.08172335012179055	0.109	ns	greater
Chow	LFLF	days 7 to 9	0.7185127134543385	2.051	1.1547259672213956	0.6222365598855353	0.533786329328634	0.534	ns	greater
Chow	HFHF	days 10 to 12	1.2832474819767123	3.608	0.6455395828229326	1.9878680039496495	0.046826290240407575	0.187	ns	greater
Chow	HFLF	days 10 to 12	0.6312734835918516	1.88	0.8165085523184157	0.773137625808569	0.43944093551970387	0.586	ns	greater
Chow	LFHF	days 10 to 12	0.7879730066126218	2.199	0.6770207062540636	1.1638831712732305	0.24447136038994244	0.489	ns	greater
Chow	LFLF	days 10 to 12	-16.358504030138132	0	5178.19072762359	-0.0031591157781948845	0.9974793944874026	0.997	ns	less
Chow	HFHF	days 13 to 15	1.6583182165567296	5.25	1.0801899244060722	1.5352098543860548	0.1247322885141478	0.249	ns	greater
Chow	HFLF	days 13 to 15	1.3522670279647462	3.866	1.2247732585698314	1.1040958140642205	0.2695515768970191	0.359	ns	greater
Chow	LFHF	days 13 to 15	1.825183317183701	6.204	1.0692007391276945	1.707053923917761	0.08781203009917987	0.249	ns	greater
Chow	LFLF	days 13 to 15	-15.73852836531152	0	8236.522337647168	-0.0019108220338788474	0.9984753855285153	0.998	ns	less
LFLF	Chow	days 0 to 3	1.2977158108934899	3.661	0.3775871258655295	3.43686455918957	5.884897997180362e-4	0.002	**	greater
LFLF	HFHF	days 0 to 3	0.9556138117587454	2.6	0.4048164855692154	2.360609920356998	0.01824491045194628	0.036	*	greater
LFLF	HFLF	days 0 to 3	0.08045597539624272	1.084	0.4475474933694997	0.17977080999941486	0.8573325004897713	0.857	ns	greater
