group1	group2	p.value	signif
diet=Chow, experiment=CDD03	diet=Chow, experiment=CDD02	0.26338488135792165	ns
diet=HF/HF, experiment=CDD02	diet=Chow, experiment=CDD02	0.5571392924063723	ns
diet=HF/HF, experiment=CDD03	diet=Chow, experiment=CDD02	0.05498997713923989	ns
diet=HF/LF, experiment=CDD02	diet=Chow, experiment=CDD02	0.9666220200998047	ns
diet=HF/LF, experiment=CDD03	diet=Chow, experiment=CDD02	0.9087907306758334	ns
diet=LF/HF, experiment=CDD02	diet=Chow, experiment=CDD02	0.13099663005443046	ns
diet=LF/HF, experiment=CDD03	diet=Chow, experiment=CDD02	0.44621790168222303	ns
diet=LF/LF, experiment=CDD02	diet=Chow, experiment=CDD02	0.42394154653537863	ns
diet=LF/LF, experiment=CDD03	diet=Chow, experiment=CDD02	0.8117056559120476	ns
diet=HF/HF, experiment=CDD02	diet=Chow, experiment=CDD03	0.46304075732505806	ns
diet=HF/HF, experiment=CDD03	diet=Chow, experiment=CDD03	0.2634847928265364	ns
diet=HF/LF, experiment=CDD02	diet=Chow, experiment=CDD03	0.20893337126366626	ns
diet=HF/LF, experiment=CDD03	diet=Chow, experiment=CDD03	0.23607212837806119	ns
diet=LF/HF, experiment=CDD02	diet=Chow, experiment=CDD03	0.6265103382513821	ns
diet=LF/HF, experiment=CDD03	diet=Chow, experiment=CDD03	0.7107224322344939	ns
diet=LF/LF, experiment=CDD02	diet=Chow, experiment=CDD03	0.018292094855906722	*
diet=LF/LF, experiment=CDD03	diet=Chow, experiment=CDD03	0.08484931971415001	ns
diet=HF/HF, experiment=CDD03	diet=HF/HF, experiment=CDD02	0.07242000693851793	ns
diet=HF/LF, experiment=CDD02	diet=HF/HF, experiment=CDD02	0.7107224322344939	ns
diet=HF/LF, experiment=CDD03	diet=HF/HF, experiment=CDD02	0.9087907306758334	ns
diet=LF/HF, experiment=CDD02	diet=HF/HF, experiment=CDD02	0.21940985771285	ns
diet=LF/HF, experiment=CDD03	diet=HF/HF, experiment=CDD02	0.8117056559120476	ns
diet=LF/LF, experiment=CDD02	diet=HF/HF, experiment=CDD02	0.16848547560192828	ns
diet=LF/LF, experiment=CDD03	diet=HF/HF, experiment=CDD02	0.42394154653537863	ns
diet=HF/LF, experiment=CDD02	diet=HF/HF, experiment=CDD03	0.018292094855906722	*
diet=HF/LF, experiment=CDD03	diet=HF/HF, experiment=CDD03	0.018292094855906722	*
diet=LF/HF, experiment=CDD02	diet=HF/HF, experiment=CDD03	0.44621790168222303	ns
diet=LF/HF, experiment=CDD03	diet=HF/HF, experiment=CDD03	0.16848547560192828	ns
diet=LF/LF, experiment=CDD02	diet=HF/HF, experiment=CDD03	3.2740881685004106e-4	***
diet=LF/LF, experiment=CDD03	diet=HF/HF, experiment=CDD03	0.00645696519941375	**
diet=HF/LF, experiment=CDD03	diet=HF/LF, experiment=CDD02	0.9956605591195243	ns
diet=LF/HF, experiment=CDD02	diet=HF/LF, experiment=CDD02	0.06705579483235859	ns
diet=LF/HF, experiment=CDD03	diet=HF/LF, experiment=CDD02	0.4161710326662665	ns
diet=LF/LF, experiment=CDD02	diet=HF/LF, experiment=CDD02	0.03266494775287039	*
diet=LF/LF, experiment=CDD03	diet=HF/LF, experiment=CDD02	0.3926029967263375	ns
diet=LF/HF, experiment=CDD02	diet=HF/LF, experiment=CDD03	0.07598819536155892	ns
diet=LF/HF, experiment=CDD03	diet=HF/LF, experiment=CDD03	0.455065745756202	ns
diet=LF/LF, experiment=CDD02	diet=HF/LF, experiment=CDD03	0.03266494775287039	*
diet=LF/LF, experiment=CDD03	diet=HF/LF, experiment=CDD03	0.25079044077437274	ns
diet=LF/HF, experiment=CDD03	diet=LF/HF, experiment=CDD02	0.4161710326662665	ns
diet=LF/LF, experiment=CDD02	diet=LF/HF, experiment=CDD02	0.00312172884936189	**
diet=LF/LF, experiment=CDD03	diet=LF/HF, experiment=CDD02	0.025020166387868213	*
diet=LF/LF, experiment=CDD02	diet=LF/HF, experiment=CDD03	0.06705579483235859	ns
diet=LF/LF, experiment=CDD03	diet=LF/HF, experiment=CDD03	0.23607212837806119	ns
diet=LF/LF, experiment=CDD03	diet=LF/LF, experiment=CDD02	0.5906908625159939	ns
