term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
purified_diet	1	0.07290281381132069	0.005274625404386925	0.523381143593143	0.872	ns	-15
high_fat	1	0.13379439519607378	0.009680220542546575	0.9605316983416645	0.352	ns	-15
high_fiber	1	0.09180113444525051	0.00664194659412812	0.659055257502861	0.633	ns	-15
study	1	0.47152849092059107	0.03411577725297299	3.3851796372837035	0.011	*	-15
high_fat:high_fiber	1	0.09723596571566717	0.007035164600249095	0.6980727940949087	0.609	ns	-15
Residual	93	12.95415734297702	0.9372522656057163	NA	NA		-15
Total	98	13.821420143065923	1	NA	NA		-15
purified_diet	1	1.315631198797264	0.10080537505026967	12.227688003198857	0.001	***	3
high_fat	1	0.26629875213420573	0.020404157037966435	2.475023441003112	0.007	**	3
high_fiber	1	1.1720116974714094	0.08980106190467024	10.892865254245356	0.001	***	3
study	1	0.47652091628770155	0.0365116529081963	4.428862052443882	0.001	***	3
high_fat:high_fiber	1	0.2448334708753932	0.0187594592458859	2.2755216639294007	0.013	*	3
Residual	89	9.575904836819891	0.7337182938530113	NA	NA		3
Total	94	13.051200872385866	1	NA	NA		3
