day_post_inf	term	estimate	std.error	statistic	p.value	signif
-8	purified_diet	-8.008455720980695	8.375227732912975	-0.9562075177381817	0.3416791132699002	ns
-8	seq_depth	3.211412935761907e-4	2.0846888408225823e-4	1.5404759083829214	0.12715910769442332	ns
-8	high_fat	-5.335117140210157	2.0391958329020126	-2.6162848384295025	0.010518320020124814	*
-8	high_fiber	-3.421198706093054	2.1239669353870196	-1.6107589290083082	0.11093979210159989	ns
-8	study	-0.42338406952520885	0.47055725352412	-0.8997503839424014	0.37079510308733243	ns
-8	purified_diet:seq_depth	-4.699069749809551e-5	2.1966571646156837e-4	-0.21391912336177762	0.8311224416043552	ns
-8	high_fat:high_fiber	5.601254155472823	2.9783431130548403	1.8806611403908073	0.06344243007298953	+
-3	purified_diet	6.376280672583762	5.1081206327234145	1.248263526067947	0.21510200918142977	ns
-3	seq_depth	2.522870374192635e-4	1.1727313799297715e-4	2.1512772808583973	0.034074147484247454	*
-3	high_fat	6.873622352901733	1.7408949588302178	3.9483268752299767	1.538938862109476e-4	***
-3	high_fiber	-2.8804213346057614	2.271778817090055	-1.2679145139205599	0.20802793731578628	ns
-3	study	-0.07451836437007234	0.3758424803232877	-0.1982702016705882	0.8432711299857595	ns
-3	purified_diet:seq_depth	-2.1514281534098148e-4	1.2219044746534702e-4	-1.760717141182379	0.08160930821943506	+
-3	high_fat:high_fiber	-6.417442909817676	2.5700387882260443	-2.4970218111950295	0.014302646057964372	*
0	purified_diet	-3.2236265078465527	4.816963715276178	-0.6692237472379897	0.5050287314207578	ns
0	seq_depth	1.3453593448317498e-4	1.029879146254291e-4	1.3063273974668503	0.19469774220677158	ns
0	high_fat	1.0527970859487552	1.7988466247941568	0.585262284976201	0.5598041775408279	ns
0	high_fiber	1.9909415414857845	1.8019956501664804	1.104853688909764	0.27210413738521433	ns
0	study	-0.40643319800278155	0.34481626333294574	-1.1786949782305949	0.2415592035564575	ns
0	purified_diet:seq_depth	-1.505172699180676e-4	1.1145236865841039e-4	-1.3505075910893107	0.18016592290767938	ns
0	high_fat:high_fiber	-2.588603300427283	2.525004505610445	-1.0251875965668673	0.30796272546751996	ns
3	purified_diet	-24.337289223981955	6.408982114709308	-3.797371998920896	3.781611949489565e-4	***
3	seq_depth	-1.0223920437880188e-4	1.051408565369448e-4	-0.9724022396838347	0.33526768611529856	ns
3	high_fat	-4.743690262929894	1.9525477014446453	-2.4294875149120023	0.01854208066162075	*
3	high_fiber	-4.071164111868055	2.395669714991744	-1.699384554720259	0.09510971104705351	+
3	study	-1.9950527946045327	0.4872582542573337	-4.094446378636191	1.4527011366073355e-4	***
3	purified_diet:seq_depth	1.3772108467412954e-4	1.1311599271627164e-4	1.217520894853257	0.22879923044944137	ns
3	high_fat:high_fiber	5.360387329250366	3.6037415933662373	1.487450526174729	0.14282155669107577	ns
