group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	115	110	4.174689119714752	2.983932492496668e-5	7.45983123124167e-5	****	0.7853677082357727	0.8207024356639337	-0.03533472742816102	-0.03533472742816102
HF/HF	0	Chow	dist	115	110	5.503179141503488	3.730030621938479e-8	6.216717703230799e-8	****	0.7397426653991982	0.8000951559855476	-0.060352490586349394	-0.060352490586349394
HF/LF	-3	Chow	dist	115	195	-3.6012936453899127	3.166376933218741e-4	6.332753866437483e-4	***	0.7853677082357727	0.7533362551405972	0.03203145309517552	0.03203145309517552
HF/LF	-3	HF/HF	dist	110	195	-8.219994676828854	2.0351221385990785e-16	2.0351221385990783e-15	****	0.8207024356639337	0.7533362551405972	0.06736618052333654	0.06736618052333654
HF/LF	0	Chow	dist	115	195	14.88709408684058	3.9977077656190557e-50	3.997707765619056e-49	****	0.7397426653991982	0.8565191374626848	-0.11677647206348662	-0.11677647206348662
HF/LF	0	HF/HF	dist	110	195	8.52378961639085	1.5441599800527737e-17	3.8603999501319344e-17	****	0.8000951559855476	0.8565191374626848	-0.05642398147713723	-0.05642398147713723
LF/HF	-3	Chow	dist	115	128	1.8014581742104634	0.07163069403872424	0.0895383675484053	ns	0.7853677082357727	0.7873434502895542	-0.001975742053781482	0
LF/HF	-3	HF/HF	dist	110	128	-2.5020865396968195	0.0123463741636546	0.01763767737664943	*	0.8207024356639337	0.7873434502895542	0.033358985374379535	0.033358985374379535
LF/HF	-3	HF/LF	dist	195	128	5.756824860308187	8.571075357797846e-9	2.8570251192659488e-8	****	0.7533362551405972	0.7873434502895542	-0.034007195148957003	-0.034007195148957003
LF/HF	0	HF/HF	dist	110	116	-3.1352409984537557	0.0017171298188560042	0.0019079220209511159	**	0.8000951559855476	0.7578500041578422	0.042245151827705385	0.042245151827705385
LF/HF	0	HF/LF	dist	195	116	-12.22681464583139	2.235335451067755e-34	1.1176677255338774e-33	****	0.8565191374626848	0.7578500041578422	0.09866913330484262	0.09866913330484262
LF/HF	0	Chow	dist	115	116	2.406576083262731	0.01610284945234364	0.01610284945234364	*	0.7397426653991982	0.7578500041578422	-0.01810733875864401	-0.01810733875864401
LF/LF	-3	Chow	dist	115	170	1.6772121414280645	0.09350100566076523	0.10389000628973916	ns	0.7853677082357727	0.7985028283985434	-0.01313512016277063	0
LF/LF	-3	HF/LF	dist	195	170	5.96512104611235	2.444527537193776e-9	1.222263768596888e-8	****	0.7533362551405972	0.7985028283985434	-0.04516657325794615	-0.04516657325794615
LF/LF	-3	HF/HF	dist	110	170	-2.8950785512907187	0.003790636629228125	0.006317727715380209	**	0.8207024356639337	0.7985028283985434	0.022199607265390386	0.022199607265390386
LF/LF	-3	LF/HF	dist	128	170	-0.24740903961046287	0.804591679013543	0.804591679013543	ns	0.7873434502895542	0.7985028283985434	-0.011159378108989149	0
LF/LF	0	HF/HF	dist	110	154	3.5649732888265717	3.6389324640443815e-4	4.548665580055477e-4	***	0.8000951559855476	0.8239361098427543	-0.023840953857206748	-0.023840953857206748
LF/LF	0	Chow	dist	115	154	9.566210932412256	1.10895562917583e-21	3.696518763919434e-21	****	0.7397426653991982	0.8239361098427543	-0.08419344444355614	-0.08419344444355614
LF/LF	0	HF/LF	dist	195	154	-5.300057218790842	1.157663941482234e-7	1.6538056306889059e-7	****	0.8565191374626848	0.8239361098427543	0.03258302761993048	0.03258302761993048
LF/LF	0	LF/HF	dist	116	154	7.01396811124894	2.316522159661336e-12	4.633044319322672e-12	****	0.7578500041578422	0.8239361098427543	-0.06608610568491213	-0.06608610568491213
