group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	115	110	2.090959640248142	0.036531682059726005	0.040590757844140006	*	1.2332748940609117	1.3131937682658588	-0.07991887420494703	-0.07991887420494703
HF/HF	0	Chow	dist	115	110	-2.7961423518024446	0.005171661575448776	0.007388087964926822	**	1.2977049135176053	1.1812079416095997	0.11649697190800556	0.11649697190800556
HF/LF	-3	Chow	dist	115	195	11.251831188049676	2.2683313344663286e-29	1.1341656672331643e-28	****	1.2332748940609117	1.6424381052286523	-0.40916321116774057	-0.40916321116774057
HF/LF	-3	HF/HF	dist	110	195	8.755745272933213	2.0275918038096604e-18	6.758639346032201e-18	****	1.3131937682658588	1.6424381052286523	-0.32924433696279354	-0.32924433696279354
HF/LF	0	Chow	dist	115	195	7.645637306860739	2.0791295313581322e-14	1.0395647656790662e-13	****	1.2977049135176053	1.508213977436739	-0.2105090639191336	-0.2105090639191336
HF/LF	0	HF/HF	dist	110	195	10.665919383105862	1.469385605221573e-26	1.469385605221573e-25	****	1.1812079416095997	1.508213977436739	-0.32700603582713916	-0.32700603582713916
LF/HF	-3	Chow	dist	115	128	-1.311075374944369	0.1898322994076969	0.1898322994076969	ns	1.2332748940609117	1.17311166598779	0.06016322807312169	0
LF/HF	-3	HF/HF	dist	110	128	-3.440543477860387	5.805471555633397e-4	7.256839444541747e-4	***	1.3131937682658588	1.17311166598779	0.14008210227806872	0.14008210227806872
LF/HF	-3	HF/LF	dist	195	128	-13.110246663256639	2.8766131326751846e-39	2.8766131326751846e-38	****	1.6424381052286523	1.17311166598779	0.46932643924086226	0.46932643924086226
LF/HF	0	HF/HF	dist	110	116	7.150287701943689	8.659621247187385e-13	2.8865404157291283e-12	****	1.1812079416095997	1.413557446560126	-0.2323495049505262	-0.2323495049505262
LF/HF	0	HF/LF	dist	195	116	-2.7312158409833485	0.006310113040710583	0.007887641300888228	**	1.508213977436739	1.413557446560126	0.09465653087661297	0.09465653087661297
LF/HF	0	Chow	dist	115	116	4.397580065819024	1.0946450948067897e-5	1.8244084913446497e-5	****	1.2977049135176053	1.413557446560126	-0.11585253304252063	-0.11585253304252063
LF/LF	-3	Chow	dist	115	170	5.880419393712413	4.092282582746228e-9	8.184565165492456e-9	****	1.2332748940609117	1.4389921834612278	-0.20571728940031608	-0.20571728940031608
LF/LF	-3	HF/LF	dist	195	170	-5.841299164632177	5.179529437007905e-9	8.632549061679841e-9	****	1.6424381052286523	1.4389921834612278	0.2034459217674245	0.2034459217674245
LF/LF	-3	HF/HF	dist	110	170	3.523343234320834	4.261391062624502e-4	6.087701518035003e-4	***	1.3131937682658588	1.4389921834612278	-0.12579841519536905	-0.12579841519536905
LF/LF	-3	LF/HF	dist	128	170	7.506520598637215	6.07195868046793e-14	1.5179896701169825e-13	****	1.17311166598779	1.4389921834612278	-0.26588051747343777	-0.26588051747343777
LF/LF	0	HF/HF	dist	110	154	5.297644145631196	1.173062943402211e-7	2.346125886804422e-7	****	1.1812079416095997	1.351072980258684	-0.1698650386490843	-0.1698650386490843
LF/LF	0	Chow	dist	115	154	2.340342492078841	0.019266063030200932	0.019266063030200932	*	1.2977049135176053	1.351072980258684	-0.053368066741078746	-0.053368066741078746
LF/LF	0	HF/LF	dist	195	154	-5.663063734151188	1.486938991448042e-8	3.717347478620105e-8	****	1.508213977436739	1.351072980258684	0.15714099717805485	0.15714099717805485
LF/LF	0	LF/HF	dist	116	154	-2.360916269409451	0.018229846077978604	0.019266063030200932	*	1.413557446560126	1.351072980258684	0.06248446630144189	0.06248446630144189
