	shannon_entropy
Chow1.050622	5.138050831723215
Chow1.070122	3.0126425724271924
Chow1.081222	5.65662965255729
Chow2.050622	4.961119868281218
Chow2.070122	2.536857828547847
Chow2.071522	2.607586575366545
Chow2.081222	4.2635342812758426
Chow3.050622	5.161587952218774
Chow3.070122	2.798521575009174
Chow3.071522	5.088727022296446
Chow3.081222	4.024779250386023
Chow4.050622	5.271580127338974
Chow4.081222	3.7777544865490515
Ctrl1.061722	3.341049048900514
Ctrl1.070122	2.1621159137801578
Ctrl1.071522	1.9581050853048294
Ctrl1.081222	2.255142888624203
Ctrl2.060322	1.8415562676388657
Ctrl2.061722	2.9115286485897296
Ctrl2.070122	2.7500469453132017
Ctrl2.071522	2.108197844687706
Ctrl2.081222	2.175534065758649
Ctrl3.061722	3.423050654319904
Ctrl3.070122	2.401580730806357
Ctrl3.071522	2.3623022268017766
Ctrl3.081222	1.9858360203647794
Ctrl4.070122	2.6222881196429855
Ctrl4.071522	1.7404473679006371
Ctrl5.061722	2.7970716221476755
CtrlF1.050622	2.887083163360226
CtrlF1.060322	2.9010907901363536
CtrlF2.060322	1.8317497019114575
CtrlF2.061722	1.833433467215316
CtrlF3.060322	2.411554474189461
CtrlF3.061722	1.837156491189648
CtrlF4.060322	2.374170557291894
CtrlF4.061722	2.002004970391127
CtrlF5.060322	2.5110869178958244
W+F2.060322	2.0454878590477095
W+F4.060322	2.2553624067924654
WD-3.061722	2.063125021445039
WD+1.081222	1.6876216066750478
WD+F.081222	1.896260477060399
WD1.060322	1.1636064506845447
WD1.070122	2.036678574075086
WD1.071522	0.6225694793440786
WD2.060322	0.45008487430542793
WD2.061722	1.7070866092223014
WD2.070122	2.3238491311396423
WD2.071522	0.08269270502286971
WD3.060322	1.0124447080200494
WD3.070122	1.9596871535619993
WD3.071522	1.4757898118795563
WD4.060322	1.330488218360601
WD4.070122	2.082015476642352
WD4.071522	0.09022223164604448
WD5.060322	0.23463343177692017
WD5.061722	1.5385915032951258
WD5.071522	0.1794730012154767
WDF2.061722	2.619864215460112
WDF3.061722	2.403963715107599
WDF4.061722	1.9101204102075542
