	Chow1.050622	Chow1.070122	Chow1.081222	Chow2.050622	Chow2.070122	Chow2.071522	Chow2.081222	Chow3.050622	Chow3.070122	Chow3.071522	Chow3.081222	Chow4.050622	Chow4.081222	Ctrl1.061722	Ctrl1.070122	Ctrl1.071522	Ctrl1.081222	Ctrl2.060322	Ctrl2.061722	Ctrl2.070122	Ctrl2.071522	Ctrl2.081222	Ctrl3.061722	Ctrl3.070122	Ctrl3.071522	Ctrl3.081222	Ctrl4.070122	Ctrl4.071522	Ctrl5.061722	CtrlF1.050622	CtrlF1.060322	CtrlF2.060322	CtrlF2.061722	CtrlF3.060322	CtrlF3.061722	CtrlF4.060322	CtrlF4.061722	CtrlF5.060322	W+F2.060322	W+F4.060322	WD-3.061722	WD+1.081222	WD+F.081222	WD1.060322	WD1.070122	WD1.071522	WD2.060322	WD2.061722	WD2.070122	WD2.071522	WD3.060322	WD3.070122	WD3.071522	WD4.060322	WD4.070122	WD4.071522	WD5.060322	WD5.061722	WD5.071522	WDF2.061722	WDF3.061722	WDF4.061722
Chow1.050622	0	0.6132763197121973	0.6309039322647038	0.3946084719532136	0.614485047482193	0.6324048161120382	0.6211842447571793	0.3473872694085633	0.6502760952419834	0.3679077822429336	0.6859807067738957	0.3067763846135633	0.6519455112549916	0.5506570391617945	0.8160769589299437	0.8301825370240817	0.7523010790958907	0.7951899308038223	0.6779588709953004	0.6968235445869807	0.7969645781225596	0.7768188958838634	0.5907471172922211	0.7674101579668928	0.8208430296220192	0.814903206342021	0.7495734714324881	0.8441739707532525	0.6279448873330276	0.6187560208789983	0.7503537699120915	0.8406932088800666	0.7898434297658999	0.803866321718446	0.7570923574541417	0.7675490340633258	0.7981612235116567	0.7561911889362163	0.770374118081524	0.8385767059401752	0.7931361026612082	0.778550285706194	0.7813719815678931	0.8500806030989657	0.7841892430884198	0.8696047171931229	0.8107358991209647	0.8068503482955739	0.8439078164336589	0.8720912303651064	0.8237471994782204	0.8440617317838993	0.8568058094761259	0.8007903668877292	0.8218768344966452	0.8903761364908785	0.9206398824016206	0.79485106947132	0.8573170771459273	0.6795848731470661	0.6723195127389195	0.799882600808217
Chow1.070122	0.6132763197121973	0	0.7742822969831775	0.7050893222045131	0.3616707812600435	0.4005323226668637	0.6899795901343511	0.6904017463003544	0.3712748884688027	0.5869150944119016	0.7490724267235488	0.5835617390359433	0.5718071366255384	0.4366978947426842	0.5680495890043736	0.6036932862651576	0.5444606369172541	0.6045035079155001	0.432865075691934	0.3844644760855337	0.5645501070681593	0.6879244849115935	0.4066294949440029	0.4837333165965654	0.6124089373989992	0.6271756482844129	0.431907163484763	0.6714225136006018	0.4531022804392465	0.4885652461159139	0.6512478403082733	0.6946625352762578	0.5532195710219394	0.5830482663049144	0.6111657344144165	0.556533262938217	0.592131712775661	0.5545321137656675	0.5816211412914425	0.7087329569865606	0.5619835938174328	0.5134998786838032	0.5794256359410057	0.7034435916402967	0.5192586978314832	0.7141740656336484	0.5634377451850967	0.6146748155787799	0.6436858034658314	0.7364542482192499	0.6417923384613338	0.6653676400241856	0.6872280489648934	0.6035981348925475	0.5729245577758777	0.7685131410089798	0.8496052807293443	0.5674657795337669	0.6987625920076413	0.2593162264687693	0.4008906010205237	0.5753478425777699
Chow1.081222	0.6309039322647038	0.7742822969831775	0	0.5767765682446181	0.7328576399362714	0.7875900081887658	0.4323554387507086	0.6007394541846403	0.774087497615934	0.6551316549973839	0.450496761025527	0.5977387153106087	0.6125932095069114	0.7308110379938596	0.8345007529519718	0.8408936799447652	0.7908763322639202	0.7699658804107852	0.7766824206722454	0.8080778546609483	0.833396095854614	0.7346703157265668	0.7481466364269981	0.7986488184906275	0.8118554980316864	0.8284277096546142	0.8120600247690384	0.864906356833087	0.746619823758935	0.7454692161438919	0.714345145744859	0.8435953029275008	0.8204509160081339	0.8177710910026961	0.8040077158091894	0.7958848371673377	0.8355036409779304	0.7642555106789963	0.7675511090155711	0.8249688517749625	0.8179726264239838	0.8019563096418075	0.7866896339934714	0.8817591862612073	0.8258067551367235	0.8662686674266259	0.8040935039152795	0.8551940365467382	0.8519222055855122	0.872770179831302	0.8188421553994583	0.8558843275369621	0.8668079439650456	0.7850621656537343	0.823435049693147	0.8859347980893806	0.9152518806210618	0.8388635812017007	0.8523132435865035	0.7866105190613333	0.7904449678460299	0.8375424092869334
Chow2.050622	0.3946084719532136	0.7050893222045131	0.5767765682446181	0	0.7031063740053092	0.7368940885570568	0.6219554805746768	0.3137968068731363	0.7361725414606507	0.5128568106502798	0.6738500305449292	0.425286829816449	0.7023874654815945	0.6643759679022713	0.861472860395133	0.8587353184214902	0.7970691122404842	0.8264396374728009	0.7688160351470208	0.7764951834875586	0.8614981201283783	0.7955769073785789	0.7055194984430641	0.829075727404522	0.8530448183588102	0.8615313676393499	0.8282419200668676	0.8861963242263465	0.7201040691032858	0.7358923966750875	0.8029046194638163	0.8714321861513121	0.8333867227087619	0.8337198384150074	0.8227007481897869	0.8243417174359471	0.8450369832060223	0.8249416474520571	0.8110555802506073	0.8604411261880823	0.8572559905792763	0.8212837528492412	0.8383712062386086	0.9053173257382022	0.8322519521188728	0.8878564661003406	0.8273720329473244	0.8694524269783361	0.880418369123588	0.8988866675741752	0.8588319096555223	0.8804342616397435	0.886198248498264	0.8301322851487071	0.8573349044519708	0.9056078464731145	0.9333804622757556	0.8676749629887504	0.8825824773663133	0.7584504170719699	0.7653612843067628	0.857116844533926
Chow2.070122	0.614485047482193	0.3616707812600435	0.7328576399362714	0.7031063740053092	0	0.431202665163712	0.6524386296714825	0.6806610471740725	0.4303906825133463	0.569030040812542	0.6968359311973177	0.5967804842206167	0.5088801154222637	0.4828670973425682	0.6436506026311024	0.6947076030096593	0.5482271576832265	0.6312649531059557	0.3915637076470288	0.5030288401345228	0.5941683951834157	0.6653861535471542	0.4616199261601661	0.5502703187298559	0.6433813470764336	0.6569867749921234	0.5053319778376649	0.6887582252131856	0.3684518357571596	0.4525422143449789	0.6442519036701096	0.6973649763301021	0.6365318197944617	0.6511077827136935	0.5814041551005313	0.6034166056522878	0.6040011051108284	0.5696031394671048	0.5652573121217878	0.7095912589587945	0.6090044320367803	0.5609873641791293	0.6030752095509898	0.718995840359292	0.5730423683094227	0.7504392067854304	0.6460293879663858	0.6335583060675249	0.6773677062637479	0.7689495625611849	0.6831609371116892	0.6869289635267483	0.6956348466155803	0.6450337539649472	0.6513757596437342	0.787828007513073	0.8548175229399141	0.6139234708041003	0.727198792609873	0.4176492062284936	0.4157131691172795	0.5927290821083816
Chow2.071522	0.6324048161120382	0.4005323226668637	0.7875900081887658	0.7368940885570568	0.431202665163712	0	0.7381974498894242	0.7190886677901834	0.4145789777515404	0.6221096814637664	0.7673395748444589	0.6440996477650386	0.6226778431520923	0.4317198618402698	0.5484559987739465	0.6060075915292442	0.4777899187565586	0.590169717789515	0.2873737835883003	0.293517066574597	0.5164045908945599	0.6372536717341029	0.2948642418316477	0.4752536402960135	0.6164050299746479	0.5835260279450611	0.4752505505027139	0.6174635096387637	0.3662316964705903	0.4282688278100994	0.6260028745481907	0.6416966828114761	0.6271630501709575	0.6665621144194785	0.538813747574356	0.6202892925254554	0.5878385482001304	0.5523235529960359	0.5541656779498535	0.6431636032893179	0.6119694630432936	0.5096724612532555	0.5471439631600985	0.6560139199551934	0.4646102229375434	0.6649011901659743	0.605314150739213	0.6218967047752003	0.5927983739089011	0.7671384472259564	0.5618188370707763	0.5789093095564696	0.6362074621101234	0.6178464740973729	0.5220262761095412	0.7077508931141326	0.8255429030278705	0.5550657688259366	0.6234198839064118	0.3589732471349851	0.3503996362475988	0.5542864653514413
Chow2.081222	0.6211842447571793	0.6899795901343511	0.4323554387507086	0.6219554805746768	0.6524386296714825	0.7381974498894242	0	0.6507026171902048	0.71874427347377	0.6372518640767441	0.4519593700674139	0.614691429037069	0.421758780233499	0.6808617074709356	0.7969549824574179	0.8214449322809239	0.7311024988363319	0.6928867958497368	0.7125716000264209	0.7583366897006037	0.7903646838834784	0.6434698671242797	0.6783677176546784	0.7350543915501075	0.7606503814883173	0.7837045228772006	0.7513024135209271	0.8361592288655258	0.6921679994533272	0.6885426392301945	0.623259819103556	0.7590106703309348	0.7644942629342155	0.7354729806974603	0.7461282336847084	0.6397356863311862	0.791248071439277	0.6278528280567428	0.6866692007269181	0.7255942236781187	0.7845350382177917	0.7621932407573286	0.7232047792232842	0.8637159438830951	0.7842090580590197	0.828476137636734	0.7499405636611925	0.8234619411922049	0.8206258519214831	0.838569954560368	0.7660697635540683	0.8264812611467917	0.8389128975476446	0.7050075911269413	0.7783490073944088	0.8696438818441978	0.8678002234775413	0.8027379877856043	0.8192433842135735	0.7430310714358263	0.700142434196745	0.7963198956301863
Chow3.050622	0.3473872694085633	0.6904017463003544	0.6007394541846403	0.3137968068731363	0.6806610471740725	0.7190886677901834	0.6507026171902048	0	0.7353629663904527	0.4168550739115403	0.6806742143915535	0.3675827158531032	0.6956163917340604	0.642951431403651	0.8616508555940706	0.8712678648857167	0.8134882203224651	0.8425599881895325	0.7524508234634363	0.7683783784749203	0.8530110652939362	0.8252554065126037	0.6894409238144835	0.8226027549561531	0.8587099514830824	0.8676774008535071	0.8237215249781135	0.8909652723693197	0.720602915894927	0.7124493066016626	0.8162188119099183	0.8753466209538067	0.8286927368637502	0.8268015544831596	0.8025734538265903	0.831799402030604	0.839484272572064	0.8310104677416564	0.8051187179123894	0.8665807468593411	0.8552379315651669	0.8395009601770748	0.8466166705144081	0.894780792524395	0.8411010770226328	0.8941370394409096	0.8428655624644659	0.8601797457642809	0.8856710873456155	0.9044427178035759	0.8675580496103802	0.8861508779920839	0.8787664066162199	0.8382055308687837	0.8702951714263543	0.9114177178083679	0.9353462477715424	0.8600375109386695	0.8875730700717768	0.7415604312525788	0.7516341449838689	0.8492723655986981
Chow3.070122	0.6502760952419834	0.3712748884688027	0.774087497615934	0.7361725414606507	0.4303906825133463	0.4145789777515404	0.71874427347377	0.7353629663904527	0	0.6521931617776789	0.7180905419598361	0.6595715370582369	0.5959025618939398	0.5146326278961022	0.5343624666976192	0.5563641059794514	0.4492413767603554	0.6291384498806346	0.2959415903690241	0.3858375399529259	0.4978459952634036	0.6173072555226057	0.4270907418724955	0.4292955560282374	0.6022980530318784	0.5840548233389617	0.4271544443993711	0.6078029050247595	0.3707970251317401	0.434503697992749	0.6204319630111758	0.6361567812465508	0.5021025373252085	0.6266553337974644	0.5644562955274982	0.6293407863502759	0.5265156362730146	0.5293434995313669	0.5410663642657184	0.6678893269202151	0.5635183815849348	0.4830784353450279	0.538398968098514	0.6475591287843926	0.4767216400091936	0.696493465608362	0.5796754252469386	0.5632744240372134	0.5943349660312572	0.7562926808611704	0.6102879616984239	0.6057953007435014	0.6236812026861215	0.5754450828637777	0.5687126676428065	0.7402025193447369	0.8212532929611887	0.5393948370584827	0.6646463750128806	0.4136485007582558	0.3409542091935992	0.5180124792485931
Chow3.071522	0.3679077822429336	0.5869150944119016	0.6551316549973839	0.5128568106502798	0.569030040812542	0.6221096814637664	0.6372518640767441	0.4168550739115403	0.6521931617776789	0	0.6688667051544966	0.3899504483712263	0.6403520304830121	0.5206918109387796	0.8101450792789318	0.811920186163957	0.7517255808717788	0.7994542185729874	0.6752375859305527	0.6890707504862965	0.8043582121243072	0.771323945318742	0.5867096646823589	0.757616389133518	0.8227198302446855	0.8201868892958569	0.7451415114405073	0.8348410339212478	0.6240486400924321	0.6185843028148884	0.751233875403491	0.8313597378306594	0.792307711675623	0.7895549387434789	0.7392725545946222	0.7819656953016236	0.7888372741530443	0.7671982273267508	0.7631206246319236	0.8411874415426936	0.7777624899830142	0.7810444325537965	0.7866150962452293	0.8400823340823018	0.7802056988639208	0.8727521184580949	0.8096858489586003	0.797839243013697	0.8266072039446505	0.8746352298621833	0.8243105641537981	0.8273012510532169	0.8385497491228886	0.8023386919211057	0.8222293003477309	0.8836518048406319	0.9145473329692945	0.8054674839923973	0.8666214226778663	0.6569384409265706	0.6777716074123247	0.7983061794911723
