mouse_id	diet	tube_numb	date
9685	Chow	2	42122
9688	Chow	5	42122
9690	Chow	3	42122
9695	Chow	4	42122
9696	Chow	1	42122
9686	LF/LF	4	42122
9689	LF/LF	2	42122
9692	LF/LF	5	42122
9697	LF/LF	3	42122
9698	LF/LF	1	42122
9687	HF/LF	4	42122
9691	HF/LF	3	42122
9693	HF/LF	2	42122
9694	HF/LF	5	42122
9699	HF/LF	1	42122
9740	Chow	1	50622
9741	Chow	2	50622
9742	Chow	4	50622
9743	Chow	3	50622
9746	LF/LF	2	50622
9747	LF/LF	1	50622
9748	LF/LF	4	50622
9749	LF/LF	3	50622
9757	HF/LF	2	50622
9758	HF/LF	1	50622
9831	LF/HF	4	60322
9832	LF/HF	3	60322
9833	LF/HF	1	60322
9834	LF/HF	2	60322
9835	LF/HF	5	60322
9836	HF/HF	4	60322
9837	HF/HF	2	60322
9838	HF/HF	1	60322
9839	HF/HF	3	60322
9841	LF/LF	1	60322
9842	LF/LF	2	60322
9846	HF/LF	3	60322
9847	HF/LF	1	60322
9848	HF/LF	4	60322
9849	HF/LF	2	60322
9851	HF/LF	5	60322
9871	LF/HF	2	61722
9872	LF/HF	3	61722
9873	LF/HF	4	61722
9874	LF/HF	1	61722
9875	LF/HF	5	61722
9877	HF/HF	3	61722
9878	HF/HF	4	61722
9879	HF/HF	2	61722
9880	HF/HF	1	61722
9882	LF/LF	3	61722
9883	LF/LF	2	61722
9884	LF/LF	1	61722
9885	LF/LF	4	61722
9886	HF/LF	2	61722
9887	HF/LF	3	61722
9888	HF/LF	5	61722
9889	HF/LF	1	61722
9890	HF/LF	4	61722
9939	Chow	1	70122
9941	Chow	3	70122
9943	Chow	2	70122
9945	LF/LF	4	70122
9946	LF/LF	1	70122
9947	LF/LF	3	70122
9948	LF/LF	2	70122
9949	HF/LF	2	70122
9950	HF/LF	3	70122
9952	HF/LF	4	70122
9953	HF/LF	1	70122
9962	Chow	3	71523
9963	Chow	4	71523
9964	Chow	1	71523
9965	Chow	2	71523
9966	LF/LF	1	71523
9968	LF/LF	3	71523
9969	LF/LF	2	71523
9970	LF/LF	4	71523
9971	HF/LF	3	71523
9972	HF/LF	2	71523
9973	HF/LF	5	71523
9974	HF/LF	1	71523
9975	HF/LF	4	71523
99	LF/HF	1	81923
102	HF/HF	3	81923
103	HF/HF	2	81923
104	HF/HF	1	81923
106	LF/LF	2	81923
108	LF/LF	3	81923
109	LF/LF	1	81923
113	HF/LF	1	81923
114	Chow	4	81923
115	Chow	3	81923
116	Chow	2	81923
117	Chow	1	81923
