mouse_id	perc_submuc_edema	perc_PNM_infil	perc_goblet_cells	perc_epithelial_integrity
9871	0	10	0	0
9872	0	27	70	10
9873	20	18	9	0
9874	9	40	18	0
9875	0	50	9	20
9877	40	40	70	30
9878	10	20	89	0
9879	30	20	50	0
9880	36	10	22	30
9882	0	0	80	10
9883	9	0	100	30
9884	0	9	100	55
9885	0	0	80	27
9886	0	0	10	0
9887	9	40	90	80
9888	0	0	0	0
9889	0	0	18	9
9740	0	50	10	0
9741	0	0	0	0
9742	18	54	40	10
9743	0	9	0	0
9746	46	10	40	10
9747	20	0	70	10
9748	27	30	60	20
9749	20	0	90	20
9757	36	9	50	0
9758	60	30	40	30
9699	0	0	0	0
9698	0	0	0	0
9697	0	0	0	0
9696	0	0	0	0
9695	0	0	0	0
9694	0	0	0	0
9693	0	0	0	0
9692	0	0	0	0
9691	0	0	0	0
9690	0	0	0	0
9689	0	0	0	0
9688	0	0	0	0
9687	0	0	0	0
9686	0	0	0	0
9685	0	0	0	0
99	50	10	60	30
102	60	40	90	50
103	0	20	60	40
104	30	0	60	60
106	0	0	10	0
108	0	0	20	0
109	0	0	0	0
113	0	0	0	0
114	0	0	0	0
115	0	15	0	0
116	0	0	0	0
117	0	0	0	0
9890	0	20	30	0
9831	0	0	30	30
9832	0	0	80	0
9833	0	30	20	0
9834	40	0	70	22
9835	0	10	0	0
9836	0	0	0	0
9837	0	30	0	9
9838	0	0	20	0
9839	10	40	0	20
9841	44	30	90	40
9842	0	50	40	0
9846	0	0	0	0
9847	10	9	80	20
9848	0	50	80	0
9849	0	0	0	0
9851	0	0	0	0
9947	9	50	100	40
9946	0	10	40	0
9945	0	20	40	10
9943	0	10	9	9
9941	0	30	20	20
9939	10	40	50	30
9962	0	10	0	0
9953	0	0	0	0
9952	0	0	0	0
9950	0	10	100	0
9949	0	0	0	0
9948	30	0	10	0
9969	18	0	100	20
9968	0	10	30	9
9966	0	0	0	0
9965	0	10	30	0
9964	0	20	20	10
9963	0	0	0	20
9975	0	0	0	0
9974	0	0	0	0
9973	0	0	0	0
9972	0	0	0	0
9971	0	0	0	0
9970	9	20	40	0
