diet mouse_id
Chow 9696
Chow 9740
Chow 9939
Chow 117
Chow 9685
Chow 9741
Chow 9943
Chow 9965
Chow 116
Chow 9690
Chow 9743
Chow 9941
Chow 9962
Chow 115
Chow 9695
Chow 9742
Chow 114
Chow 9688
HF/HF 9837
HF/HF 9879
HF/HF 103
HF/HF 9877
HF/HF 9836
HF/HF 9878
HF/LF 9699
HF/LF 9847
HF/LF 9953
HF/LF 9974
HF/LF 113
HF/LF 9693
HF/LF 9849
HF/LF 9886
HF/LF 9949
HF/LF 9972
HF/LF 9691
HF/LF 9846
HF/LF 9887
HF/LF 9950
HF/LF 9971
HF/LF 9687
HF/LF 9848
HF/LF 9952
HF/LF 9975
HF/LF 9694
HF/LF 9851
HF/LF 9888
HF/LF 9973
LF/HF 9833
LF/HF 9834
LF/HF 9871
LF/HF 9832
LF/HF 9872
LF/HF 9831
LF/HF 9873
LF/HF 9835
LF/HF 9875
LF/LF 9698
LF/LF 9747
LF/LF 9884
LF/LF 9946
LF/LF 9966
LF/LF 109
LF/LF 9689
LF/LF 9842
LF/LF 9883
LF/LF 9948
LF/LF 9969
LF/LF 106
LF/LF 9697
LF/LF 9882
LF/LF 9947
LF/LF 9968
LF/LF 108
LF/LF 9686
LF/LF 9945
LF/LF 9970
LF/LF 9692
