mouse_id	tissue	score	diet	sampleid	microbe_product	concentration	conc_normalized
103	cecum	4.7	HF/HF	WD+F.081222	Acetic Acid (ug/g)	215.9	217.9
103	cecum	4.7	HF/HF	WD+F.081222	Propanoic Acid (ug/g)	29.8	31.8
103	cecum	4.7	HF/HF	WD+F.081222	n-Butanoic Acid (ug/g)	7.8	9.8
106	cecum	0.7	LF/LF	Ctrl2.081222	Acetic Acid (ug/g)	206.2	208.2
106	cecum	0.7	LF/LF	Ctrl2.081222	Propanoic Acid (ug/g)	111.5	113.5
106	cecum	0.7	LF/LF	Ctrl2.081222	n-Butanoic Acid (ug/g)	43.5	45.5
108	cecum	1.8	LF/LF	Ctrl3.081222	Acetic Acid (ug/g)	216.7	218.7
108	cecum	1.8	LF/LF	Ctrl3.081222	Propanoic Acid (ug/g)	100	102
108	cecum	1.8	LF/LF	Ctrl3.081222	n-Butanoic Acid (ug/g)	1	3
109	cecum	1.4	LF/LF	Ctrl1.081222	Acetic Acid (ug/g)	251.9	253.9
109	cecum	1.4	LF/LF	Ctrl1.081222	Propanoic Acid (ug/g)	110.3	112.3
109	cecum	1.4	LF/LF	Ctrl1.081222	n-Butanoic Acid (ug/g)	8.8	10.8
113	cecum	0.8	HF/LF	WD+1.081222	Acetic Acid (ug/g)	476.1	478.1
113	cecum	0.8	HF/LF	WD+1.081222	Propanoic Acid (ug/g)	151.2	153.2
113	cecum	0.8	HF/LF	WD+1.081222	n-Butanoic Acid (ug/g)	1.7	3.7
114	cecum	0.2	Chow	Chow4.081222	Acetic Acid (ug/g)	888.9	890.9
114	cecum	0.2	Chow	Chow4.081222	Propanoic Acid (ug/g)	132.9	134.9
114	cecum	0.2	Chow	Chow4.081222	n-Butanoic Acid (ug/g)	333.7	335.7
116	cecum	0.2	Chow	Chow2.081222	Acetic Acid (ug/g)	1043.4	1045.4
116	cecum	0.2	Chow	Chow2.081222	Propanoic Acid (ug/g)	113.9	115.9
116	cecum	0.2	Chow	Chow2.081222	n-Butanoic Acid (ug/g)	593.4	595.4
117	cecum	0.3	Chow	Chow1.081222	Acetic Acid (ug/g)	962.1	964.1
117	cecum	0.3	Chow	Chow1.081222	Propanoic Acid (ug/g)	57.1	59.1
117	cecum	0.3	Chow	Chow1.081222	n-Butanoic Acid (ug/g)	723	725
9740	cecum	2.5	Chow	Chow1.050622	Acetic Acid (ug/g)	1611.8	1613.8
9740	cecum	2.5	Chow	Chow1.050622	Propanoic Acid (ug/g)	398	400
9740	cecum	2.5	Chow	Chow1.050622	n-Butanoic Acid (ug/g)	394.9	396.9
9741	cecum	0.2	Chow	Chow2.050622	Acetic Acid (ug/g)	938.6	940.6
9741	cecum	0.2	Chow	Chow2.050622	Propanoic Acid (ug/g)	249.9	251.9
9741	cecum	0.2	Chow	Chow2.050622	n-Butanoic Acid (ug/g)	389.9	391.9
9742	cecum	4.5	Chow	Chow4.050622	Acetic Acid (ug/g)	810	812
9742	cecum	4.5	Chow	Chow4.050622	Propanoic Acid (ug/g)	153.8	155.8
9742	cecum	4.5	Chow	Chow4.050622	n-Butanoic Acid (ug/g)	250	252
9743	cecum	2.1	Chow	Chow3.050622	Acetic Acid (ug/g)	2271.2	2273.2
9743	cecum	2.1	Chow	Chow3.050622	Propanoic Acid (ug/g)	467.2	469.2
9743	cecum	2.1	Chow	Chow3.050622	n-Butanoic Acid (ug/g)	1082.2	1084.2
9747	cecum	3.8	LF/LF	CtrlF1.050622	Acetic Acid (ug/g)	1353.5	1355.5
9747	cecum	3.8	LF/LF	CtrlF1.050622	Propanoic Acid (ug/g)	119.6	121.6
9747	cecum	3.8	LF/LF	CtrlF1.050622	n-Butanoic Acid (ug/g)	77.6	79.6
9831	cecum	2.9	LF/HF	CtrlF4.060322	Acetic Acid (ug/g)	612.3	614.3
9831	cecum	2.9	LF/HF	CtrlF4.060322	Propanoic Acid (ug/g)	142.4	144.4
9831	cecum	2.9	LF/HF	CtrlF4.060322	n-Butanoic Acid (ug/g)	37.1	39.1
9832	cecum	4.1	LF/HF	CtrlF3.060322	Acetic Acid (ug/g)	195.5	197.5
9832	cecum	4.1	LF/HF	CtrlF3.060322	Propanoic Acid (ug/g)	59.3	61.3
9832	cecum	4.1	LF/HF	CtrlF3.060322	n-Butanoic Acid (ug/g)	4.5	6.5
9833	cecum	3.6	LF/HF	CtrlF1.060322	Acetic Acid (ug/g)	609.7	611.7
9833	cecum	3.6	LF/HF	CtrlF1.060322	Propanoic Acid (ug/g)	111.2	113.2
9833	cecum	3.6	LF/HF	CtrlF1.060322	n-Butanoic Acid (ug/g)	50.8	52.8
9834	cecum	4.7	LF/HF	CtrlF2.060322	Acetic Acid (ug/g)	402	404
9834	cecum	4.7	LF/HF	CtrlF2.060322	Propanoic Acid (ug/g)	58.6	60.6
9834	cecum	4.7	LF/HF	CtrlF2.060322	n-Butanoic Acid (ug/g)	0	2
9836	cecum	1.6	HF/HF	W+F4.060322	Acetic Acid (ug/g)	750.5	752.5
9836	cecum	1.6	HF/HF	W+F4.060322	Propanoic Acid (ug/g)	295.4	297.4
9836	cecum	1.6	HF/HF	W+F4.060322	n-Butanoic Acid (ug/g)	40.6	42.6
9837	cecum	2.3	HF/HF	W+F2.060322	Acetic Acid (ug/g)	378.9	380.9
9837	cecum	2.3	HF/HF	W+F2.060322	Propanoic Acid (ug/g)	187.9	189.9
9837	cecum	2.3	HF/HF	W+F2.060322	n-Butanoic Acid (ug/g)	35.5	37.5
9842	cecum	4.1	LF/LF	Ctrl2.060322	Acetic Acid (ug/g)	235.3	237.3
9842	cecum	4.1	LF/LF	Ctrl2.060322	Propanoic Acid (ug/g)	26.1	28.1
9842	cecum	4.1	LF/LF	Ctrl2.060322	n-Butanoic Acid (ug/g)	1.2	3.2
9846	cecum	0.1	HF/LF	WD3.060322	Acetic Acid (ug/g)	99	101
9846	cecum	0.1	HF/LF	WD3.060322	Propanoic Acid (ug/g)	3.8	5.8
9846	cecum	0.1	HF/LF	WD3.060322	n-Butanoic Acid (ug/g)	1.2	3.2
9847	cecum	4.9	HF/LF	WD1.060322	Acetic Acid (ug/g)	167.8	169.8
9847	cecum	4.9	HF/LF	WD1.060322	Propanoic Acid (ug/g)	21.2	23.2
9847	cecum	4.9	HF/LF	WD1.060322	n-Butanoic Acid (ug/g)	11.2	13.2
9848	cecum	4.8	HF/LF	WD4.060322	Acetic Acid (ug/g)	85.5	87.5
9848	cecum	4.8	HF/LF	WD4.060322	Propanoic Acid (ug/g)	7.9	9.9
9848	cecum	4.8	HF/LF	WD4.060322	n-Butanoic Acid (ug/g)	2.9	4.9
9849	cecum	0.6	HF/LF	WD2.060322	Acetic Acid (ug/g)	56.8	58.8
9849	cecum	0.6	HF/LF	WD2.060322	Propanoic Acid (ug/g)	3.5	5.5
9849	cecum	0.6	HF/LF	WD2.060322	n-Butanoic Acid (ug/g)	1.1	3.1
9851	cecum	0.1	HF/LF	WD5.060322	Acetic Acid (ug/g)	43.6	45.6
9851	cecum	0.1	HF/LF	WD5.060322	Propanoic Acid (ug/g)	3	5
9851	cecum	0.1	HF/LF	WD5.060322	n-Butanoic Acid (ug/g)	1.1	3.1
9941	cecum	3.9	Chow	Chow3.070122	Acetic Acid (ug/g)	769.7	771.7
9941	cecum	3.9	Chow	Chow3.070122	Propanoic Acid (ug/g)	115.3	117.3
9941	cecum	3.9	Chow	Chow3.070122	n-Butanoic Acid (ug/g)	27	29
9943	cecum	3.2	Chow	Chow2.070122	Acetic Acid (ug/g)	590.9	592.9
9943	cecum	3.2	Chow	Chow2.070122	Propanoic Acid (ug/g)	77.6	79.6
9943	cecum	3.2	Chow	Chow2.070122	n-Butanoic Acid (ug/g)	23.2	25.2
9945	cecum	4.6	LF/LF	Ctrl4.070122	Acetic Acid (ug/g)	469.7	471.7
