mouse_id,cecum,colon
9871,1.9,5.3
9872,3.9,4.8
9873,3.3,5.6
9874,3.2,5.5
9875,4,4.4
9877,5.6,5.5
9878,4.5,7.5
9879,4.2,11.4
9880,4.6,6.1
9882,3.2,9.8
9883,5.3,5.6
9884,5.3,8
9885,4.2,4.4
9886,1.6,0.6
9887,6.4,6.7
9888,0.4,0
9889,2.3,1.9
9740,2.5,0.4
9741,0.2,0
9742,4.5,1.7
9743,2.1,0
9746,4.4,2.8
9747,3.8,0
9748,4.8,3.1
9749,5,3.8
9757,4.1,4.1
9758,5.8,2.6
9699,0.3,0
9698,0.3,0
9697,0.1,0
9696,0.1,0
9695,0.3,0
9694,0.3,0
9693,0.3,0
9692,0.3,0
9691,0.3,0
9690,0.2,0
9689,0.3,0
9688,0.3,0
9687,0.4,0
9686,0.4,0
9685,0.3,0
99,5.1,16.8
102,6.6,2.8
103,4.7,2.4
104,4.9,6.3
106,0.7,0.2
108,1.8,1.9
109,1.4,1.2
113,0.8,2.7
114,0.2,0
115,1.6,0.8
116,0.2,0
117,0.3,0
9890,3.3,1.7
9831,2.9,10.5
9832,4.1,9.9
9833,3.6,7
9834,4.7,3.6
9835,2.2,6.8
9836,1.6,4.8
9837,2.3,7.8
9838,2.4,1.4
9839,3.7,3.6
9841,6.1,2.2
9842,4.1,10.7
9846,0.1,0
9847,4.9,7.9
9848,4.8,6.7
9849,0.6,0
9851,0.1,0
9947,6.1,3.8
9946,4.2,9.2
9945,4.6,4.2
9943,3.2,4.1
9941,3.9,0
9939,4.9,1.1
9962,1.9,2.3
9953,0.2,0.4
9952,1.5,1.3
9950,3.7,1.8
9949,2.6,1
9948,3.7,2.8
9969,4.9,2.8
9968,3.4,5.4
9966,0.9,0.8
9965,2.1,0
9964,2.7,1.7
9963,2.8,1.6
9975,0.1,0
9974,0,0
9973,0,0
9972,0.2,0
9971,0.3,0
9970,3.3,1.7
,,
,,
