mouse_id	diet	sampleid	day_post_inf	sample_type	high_fat	high_fiber	purified_diet	seq_depth	facility	study	dil_toxin	dil_conc
103	HF/HF	WD+F.081222	3	cecum	1	1	1	47099	barrier_1	7	Total TcA 1:10	290.03
106	LF/LF	Ctrl2.081222	3	cecum	0	0	1	44192	barrier_1	7	Total TcA 1:10	198.3
108	LF/LF	Ctrl3.081222	3	cecum	0	0	1	45245	barrier_1	7	Total TcA 1:10	126.35
109	LF/LF	Ctrl1.081222	3	cecum	0	0	1	54042	barrier_1	7	Total TcA 1:10	187.3
113	HF/LF	WD+1.081222	3	cecum	1	0	1	67069	barrier_1	7	Total TcA 1:10	100.2
9747	LF/LF	CtrlF1.050622	3	cecum	0	0	1	37567	barrier_2	2	Total TcA 1:10	1976.88
9831	LF/HF	CtrlF4.060322	3	cecum	0	1	1	52367	barrier_1	3	Total TcA 1:10	7607.11
9832	LF/HF	CtrlF3.060322	3	cecum	0	1	1	49241	barrier_1	3	Total TcA 1:10	2189.71
9833	LF/HF	CtrlF1.060322	3	cecum	0	1	1	39508	barrier_1	3	Total TcA 1:10	3979.07
9834	LF/HF	CtrlF2.060322	3	cecum	0	1	1	28228	barrier_1	3	Total TcA 1:10	139.62
9835	LF/HF	CtrlF5.060322	3	cecum	0	1	1	90641	barrier_1	3	Total TcA 1:10	4165.61
9836	HF/HF	W+F4.060322	3	cecum	1	1	1	35507	barrier_1	3	Total TcA 1:10	7529.48
9837	HF/HF	W+F2.060322	3	cecum	1	1	1	45394	barrier_1	3	Total TcA 1:10	3774.55
9842	LF/LF	Ctrl2.060322	3	cecum	0	0	1	49318	barrier_1	3	Total TcA 1:10	2123.95
9846	HF/LF	WD3.060322	3	cecum	1	0	1	43097	barrier_1	3	Total TcA 1:10	2351.05
9847	HF/LF	WD1.060322	3	cecum	1	0	1	39876	barrier_1	3	Total TcA 1:10	5341.55
9848	HF/LF	WD4.060322	3	cecum	1	0	1	45113	barrier_1	3	Total TcA 1:10	5434.49
9849	HF/LF	WD2.060322	3	cecum	1	0	1	38606	barrier_1	3	Total TcA 1:10	3167.2
9851	HF/LF	WD5.060322	3	cecum	1	0	1	16776	barrier_1	3	Total TcA 1:10	3597.4
9945	LF/LF	Ctrl4.070122	3	cecum	0	0	1	112920	barrier_2	5	Total TcA 1:10	7786.73
9946	LF/LF	Ctrl1.070122	3	cecum	0	0	1	57573	barrier_2	5	Total TcA 1:10	12943.87
9947	LF/LF	Ctrl3.070122	3	cecum	0	0	1	117102	barrier_2	5	Total TcA 1:10	7758.17
9948	LF/LF	Ctrl2.070122	3	cecum	0	0	1	46623	barrier_2	5	Total TcA 1:10	3770.01
9949	HF/LF	WD2.070122	3	cecum	1	0	1	47577	barrier_2	5	Total TcA 1:10	5679.81
9950	HF/LF	WD3.070122	3	cecum	1	0	1	68711	barrier_2	5	Total TcA 1:10	8685.48
9952	HF/LF	WD4.070122	3	cecum	1	0	1	36640	barrier_2	5	Total TcA 1:10	5144.46
9953	HF/LF	WD1.070122	3	cecum	1	0	1	45771	barrier_2	5	Total TcA 1:10	3118.5
9966	LF/LF	Ctrl1.071522	3	cecum	0	0	1	38368	barrier_2	6	Total TcA 1:10	4107.75
9968	LF/LF	Ctrl3.071522	3	cecum	0	0	1	71359	barrier_2	6	Total TcA 1:10	3343.88
9969	LF/LF	Ctrl2.071522	3	cecum	0	0	1	60968	barrier_2	6	Total TcA 1:10	8835.9
9970	LF/LF	Ctrl4.071522	3	cecum	0	0	1	43632	barrier_2	6	Total TcA 1:10	3430.8
9971	HF/LF	WD3.071522	3	cecum	1	0	1	45809	barrier_2	6	Total TcA 1:10	4039
9972	HF/LF	WD2.071522	3	cecum	1	0	1	27316	barrier_2	6	Total TcA 1:10	15.35
9973	HF/LF	WD5.071522	3	cecum	1	0	1	29596	barrier_2	6	Total TcA 1:10	25.65
9974	HF/LF	WD1.071522	3	cecum	1	0	1	39923	barrier_2	6	Total TcA 1:10	21.8
9975	HF/LF	WD4.071522	3	cecum	1	0	1	25579	barrier_2	6	Total TcA 1:10	21.25
103	HF/HF	WD+F.081222	3	cecum	1	1	1	47099	barrier_1	7	Total TcB 1:10	699.34
106	LF/LF	Ctrl2.081222	3	cecum	0	0	1	44192	barrier_1	7	Total TcB 1:10	545.8
108	LF/LF	Ctrl3.081222	3	cecum	0	0	1	45245	barrier_1	7	Total TcB 1:10	443.4
109	LF/LF	Ctrl1.081222	3	cecum	0	0	1	54042	barrier_1	7	Total TcB 1:10	326.2
113	HF/LF	WD+1.081222	3	cecum	1	0	1	67069	barrier_1	7	Total TcB 1:10	406.9
9747	LF/LF	CtrlF1.050622	3	cecum	0	0	1	37567	barrier_2	2	Total TcB 1:10	1546.69
9831	LF/HF	CtrlF4.060322	3	cecum	0	1	1	52367	barrier_1	3	Total TcB 1:10	6644.19
9832	LF/HF	CtrlF3.060322	3	cecum	0	1	1	49241	barrier_1	3	Total TcB 1:10	3245.19
9833	LF/HF	CtrlF1.060322	3	cecum	0	1	1	39508	barrier_1	3	Total TcB 1:10	4017.02
9834	LF/HF	CtrlF2.060322	3	cecum	0	1	1	28228	barrier_1	3	Total TcB 1:10	757.36
9835	LF/HF	CtrlF5.060322	3	cecum	0	1	1	90641	barrier_1	3	Total TcB 1:10	4249.79
9836	HF/HF	W+F4.060322	3	cecum	1	1	1	35507	barrier_1	3	Total TcB 1:10	4708.77
9837	HF/HF	W+F2.060322	3	cecum	1	1	1	45394	barrier_1	3	Total TcB 1:10	3095.3
9842	LF/LF	Ctrl2.060322	3	cecum	0	0	1	49318	barrier_1	3	Total TcB 1:10	2809.05
9846	HF/LF	WD3.060322	3	cecum	1	0	1	43097	barrier_1	3	Total TcB 1:10	3274.05
9847	HF/LF	WD1.060322	3	cecum	1	0	1	39876	barrier_1	3	Total TcB 1:10	3860.7
9848	HF/LF	WD4.060322	3	cecum	1	0	1	45113	barrier_1	3	Total TcB 1:10	5573.19
9849	HF/LF	WD2.060322	3	cecum	1	0	1	38606	barrier_1	3	Total TcB 1:10	3937.45
9851	HF/LF	WD5.060322	3	cecum	1	0	1	16776	barrier_1	3	Total TcB 1:10	3509.75
9945	LF/LF	Ctrl4.070122	3	cecum	0	0	1	112920	barrier_2	5	Total TcB 1:10	5170.97
9946	LF/LF	Ctrl1.070122	3	cecum	0	0	1	57573	barrier_2	5	Total TcB 1:10	11999.67
9947	LF/LF	Ctrl3.070122	3	cecum	0	0	1	117102	barrier_2	5	Total TcB 1:10	6553.58
9948	LF/LF	Ctrl2.070122	3	cecum	0	0	1	46623	barrier_2	5	Total TcB 1:10	4777.68
9949	HF/LF	WD2.070122	3	cecum	1	0	1	47577	barrier_2	5	Total TcB 1:10	4967
9950	HF/LF	WD3.070122	3	cecum	1	0	1	68711	barrier_2	5	Total TcB 1:10	9882.46
9952	HF/LF	WD4.070122	3	cecum	1	0	1	36640	barrier_2	5	Total TcB 1:10	4263.58
9953	HF/LF	WD1.070122	3	cecum	1	0	1	45771	barrier_2	5	Total TcB 1:10	3514.55
9966	LF/LF	Ctrl1.071522	3	cecum	0	0	1	38368	barrier_2	6	Total TcB 1:10	3488.45
9968	LF/LF	Ctrl3.071522	3	cecum	0	0	1	71359	barrier_2	6	Total TcB 1:10	1938.17
9969	LF/LF	Ctrl2.071522	3	cecum	0	0	1	60968	barrier_2	6	Total TcB 1:10	6200.48
9970	LF/LF	Ctrl4.071522	3	cecum	0	0	1	43632	barrier_2	6	Total TcB 1:10	3420
9971	HF/LF	WD3.071522	3	cecum	1	0	1	45809	barrier_2	6	Total TcB 1:10	3431.65
9972	HF/LF	WD2.071522	3	cecum	1	0	1	27316	barrier_2	6	Total TcB 1:10	168
9973	HF/LF	WD5.071522	3	cecum	1	0	1	29596	barrier_2	6	Total TcB 1:10	212.2
9974	HF/LF	WD1.071522	3	cecum	1	0	1	39923	barrier_2	6	Total TcB 1:10	125.6
9975	HF/LF	WD4.071522	3	cecum	1	0	1	25579	barrier_2	6	Total TcB 1:10	148
