sampleid	seq_depth
Chow1.042122	13137
Chow1.050622	46241
Chow1.070122	33566
Chow1.081222	59401
Chow2.042122	47223
Chow2.050622	54150
Chow2.070122	94765
Chow2.071522	56664
Chow2.081222	40721
Chow3.042122	54707
Chow3.050622	49255
Chow3.070122	46599
Chow3.071522	44673
Chow3.081222	52297
Chow4.042122	41866
Chow4.050622	52548
Chow4.081222	59885
Chow5.042122	57356
Ctrl1.042122	42998
Ctrl1.061722	57181
Ctrl1.070122	57573
Ctrl1.071522	38368
Ctrl1.081222	54042
Ctrl2.042122	75630
Ctrl2.060322	49318
Ctrl2.061722	35805
Ctrl2.070122	46623
Ctrl2.071522	60968
Ctrl2.081222	44192
Ctrl3.042122	56665
Ctrl3.061722	58475
Ctrl3.070122	117102
Ctrl3.071522	71359
Ctrl3.081222	45245
Ctrl4.042122	84431
Ctrl4.070122	112920
Ctrl4.071522	43632
Ctrl5.042122	91578
Ctrl5.061722	43110
CtrlF1.050622	37567
CtrlF1.060322	39508
CtrlF2.060322	28228
CtrlF2.061722	45390
CtrlF3.060322	49241
CtrlF3.061722	26272
CtrlF4.060322	52367
CtrlF4.061722	45250
CtrlF5.060322	90641
W+F2.060322	45394
W+F4.060322	35507
WD+1.081222	67069
WD+F.081222	47099
WD-3.061722	62917
WD1.042122	69603
WD1.060322	39876
WD1.070122	45771
WD1.071522	39923
WD2.042122	60714
WD2.060322	38606
WD2.061722	53594
WD2.070122	47577
WD2.071522	27316
WD3.042122	69285
WD3.060322	43097
WD3.070122	68711
WD3.071522	45809
WD4.042122	62008
WD4.060322	45113
WD4.070122	36640
WD4.071522	25579
WD5.042122	58929
WD5.060322	16776
WD5.061722	21191
WD5.071522	29596
WDF2.061722	62436
WDF3.061722	67919
WDF4.061722	52312
