diet	tube_numb	tube_label	date	mouse_id	facility	study	bile_acid	concentration	c_diff_effect	conc_normalized
Chow	1	Chow.1	50622	9740	barrier_2	2	Alpha_muricholic_acid_a-MCA	36.67877554	inhibitor	38.67877554
Chow	1	Chow.1	71523	9964	barrier_2	6	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
Chow	1	Chow.1	81923	117	barrier_1	7	Alpha_muricholic_acid_a-MCA	53.20881888	inhibitor	55.20881888
Chow	2	Chow.2	50622	9741	barrier_2	2	Alpha_muricholic_acid_a-MCA	91.42159651	inhibitor	93.42159651
Chow	2	Chow.2	70122	9943	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
Chow	2	Chow.2	71523	9965	barrier_2	6	Alpha_muricholic_acid_a-MCA	80.24348842	inhibitor	82.24348842
Chow	2	Chow.2	81923	116	barrier_1	7	Alpha_muricholic_acid_a-MCA	64.3810433	inhibitor	66.3810433
Chow	3	Chow.3	50622	9743	barrier_2	2	Alpha_muricholic_acid_a-MCA	151.8704859	inhibitor	153.8704859
Chow	3	Chow.3	70122	9941	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
Chow	3	Chow.3	71523	9962	barrier_2	6	Alpha_muricholic_acid_a-MCA	25.11115316	inhibitor	27.11115316
Chow	4	Chow.4	50622	9742	barrier_2	2	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
Chow	4	Chow.4	71523	9963	barrier_2	6	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
Chow	4	Chow.4	81923	114	barrier_1	7	Alpha_muricholic_acid_a-MCA	46.77406834	inhibitor	48.77406834
HF/HF	1	WD+F.1	60322	9838	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/HF	1	WD+F.1	81923	104	barrier_1	7	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/HF	2	WD+F.2	60322	9837	barrier_1	3	Alpha_muricholic_acid_a-MCA	86.09353852	inhibitor	88.09353852
HF/HF	2	WD+F.2	81923	103	barrier_1	7	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/HF	3	WD+F.3	60322	9839	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/HF	4	WD+F.4	60322	9836	barrier_1	3	Alpha_muricholic_acid_a-MCA	130.9399041	inhibitor	132.9399041
HF/LF	1	WD+F.1	50622	9758	barrier_2	2	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	1	WD.1	60322	9847	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	1	WD.1	70122	9953	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	1	WD.1	71523	9974	barrier_2	6	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	1	WD.1	81923	113	barrier_1	7	Alpha_muricholic_acid_a-MCA	13.82161741	inhibitor	15.82161741
HF/LF	2	WD.2	60322	9849	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	2	WD.2	70122	9949	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	2	WD.2	71523	9972	barrier_2	6	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	3	WD.3	60322	9846	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	3	WD.3	70122	9950	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	3	WD.3	71523	9971	barrier_2	6	Alpha_muricholic_acid_a-MCA	13.95149278	inhibitor	15.95149278
HF/LF	4	WD.4	60322	9848	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	4	WD.4	70122	9952	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	4	WD.4	71523	9975	barrier_2	6	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	5	WD.5	60322	9851	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
HF/LF	5	WD.5	71523	9973	barrier_2	6	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/HF	1	Ctrl+F.1	60322	9833	barrier_1	3	Alpha_muricholic_acid_a-MCA	18.04368591	inhibitor	20.04368591
LF/HF	1	Ctrl+F.1	81923	99	barrier_1	7	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/HF	2	Ctrl+F.2	60322	9834	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/HF	3	Ctrl+F.3	60322	9832	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/HF	5	Ctrl+F.5	60322	9835	barrier_1	3	Alpha_muricholic_acid_a-MCA	66.68669143	inhibitor	68.68669143
LF/LF	1	Ctrl+F.1	50622	9747	barrier_2	2	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	1	Ctrl.1	60322	9841	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	1	Ctrl.1	70122	9946	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	1	Ctrl.1	71523	9966	barrier_2	6	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	1	Ctrl.1	81923	109	barrier_1	7	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	2	Ctrl.2	60322	9842	barrier_1	3	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	2	Ctrl.2	70122	9948	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	2	Ctrl.2	71523	9969	barrier_2	6	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	2	Ctrl.2	81923	106	barrier_1	7	Alpha_muricholic_acid_a-MCA	21.15902473	inhibitor	23.15902473
LF/LF	3	Ctrl.3	70122	9947	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	3	Ctrl.3	71523	9968	barrier_2	6	Alpha_muricholic_acid_a-MCA	38.37091612	inhibitor	40.37091612
LF/LF	3	Ctrl.3	81923	108	barrier_1	7	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	4	Ctrl.4	70122	9945	barrier_2	5	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
LF/LF	4	Ctrl.4	71523	9970	barrier_2	6	Alpha_muricholic_acid_a-MCA	0	inhibitor	2
Chow	1	Chow.1	50622	9740	barrier_2	2	Beta_muricholic_acid_b-MCA	503.23763	inhibitor	505.23763
Chow	1	Chow.1	71523	9964	barrier_2	6	Beta_muricholic_acid_b-MCA	168.7036585	inhibitor	170.7036585
Chow	1	Chow.1	81923	117	barrier_1	7	Beta_muricholic_acid_b-MCA	642.5329949	inhibitor	644.5329949
Chow	2	Chow.2	50622	9741	barrier_2	2	Beta_muricholic_acid_b-MCA	1860.487373	inhibitor	1862.487373
Chow	2	Chow.2	70122	9943	barrier_2	5	Beta_muricholic_acid_b-MCA	14.24082858	inhibitor	16.24082858
Chow	2	Chow.2	71523	9965	barrier_2	6	Beta_muricholic_acid_b-MCA	317.2592276	inhibitor	319.2592276
Chow	2	Chow.2	81923	116	barrier_1	7	Beta_muricholic_acid_b-MCA	1473.177777	inhibitor	1475.177777
Chow	3	Chow.3	50622	9743	barrier_2	2	Beta_muricholic_acid_b-MCA	1485.13126	inhibitor	1487.13126
Chow	3	Chow.3	70122	9941	barrier_2	5	Beta_muricholic_acid_b-MCA	11.04169343	inhibitor	13.04169343
Chow	3	Chow.3	71523	9962	barrier_2	6	Beta_muricholic_acid_b-MCA	224.5631721	inhibitor	226.5631721
Chow	4	Chow.4	50622	9742	barrier_2	2	Beta_muricholic_acid_b-MCA	68.69396346	inhibitor	70.69396346
Chow	4	Chow.4	71523	9963	barrier_2	6	Beta_muricholic_acid_b-MCA	0	inhibitor	2
Chow	4	Chow.4	81923	114	barrier_1	7	Beta_muricholic_acid_b-MCA	435.6905205	inhibitor	437.6905205
HF/HF	1	WD+F.1	60322	9838	barrier_1	3	Beta_muricholic_acid_b-MCA	0	inhibitor	2
HF/HF	1	WD+F.1	81923	104	barrier_1	7	Beta_muricholic_acid_b-MCA	9.710969332	inhibitor	11.710969332
HF/HF	2	WD+F.2	60322	9837	barrier_1	3	Beta_muricholic_acid_b-MCA	356.0459908	inhibitor	358.0459908
HF/HF	2	WD+F.2	81923	103	barrier_1	7	Beta_muricholic_acid_b-MCA	63.35991853	inhibitor	65.35991853
HF/HF	3	WD+F.3	60322	9839	barrier_1	3	Beta_muricholic_acid_b-MCA	0	inhibitor	2
HF/HF	4	WD+F.4	60322	9836	barrier_1	3	Beta_muricholic_acid_b-MCA	740.5198332	inhibitor	742.5198332
HF/LF	1	WD+F.1	50622	9758	barrier_2	2	Beta_muricholic_acid_b-MCA	0	inhibitor	2
HF/LF	1	WD.1	60322	9847	barrier_1	3	Beta_muricholic_acid_b-MCA	0	inhibitor	2
HF/LF	1	WD.1	70122	9953	barrier_2	5	Beta_muricholic_acid_b-MCA	13.08317848	inhibitor	15.08317848
HF/LF	1	WD.1	71523	9974	barrier_2	6	Beta_muricholic_acid_b-MCA	0	inhibitor	2
HF/LF	1	WD.1	81923	113	barrier_1	7	Beta_muricholic_acid_b-MCA	150.4547439	inhibitor	152.4547439
HF/LF	2	WD.2	60322	9849	barrier_1	3	Beta_muricholic_acid_b-MCA	7.257015987	inhibitor	9.257015987
HF/LF	2	WD.2	70122	9949	barrier_2	5	Beta_muricholic_acid_b-MCA	25.56929128	inhibitor	27.56929128
HF/LF	2	WD.2	71523	9972	barrier_2	6	Beta_muricholic_acid_b-MCA	0	inhibitor	2
HF/LF	3	WD.3	60322	9846	barrier_1	3	Beta_muricholic_acid_b-MCA	17.05515229	inhibitor	19.05515229
HF/LF	3	WD.3	70122	9950	barrier_2	5	Beta_muricholic_acid_b-MCA	0	inhibitor	2
HF/LF	3	WD.3	71523	9971	barrier_2	6	Beta_muricholic_acid_b-MCA	164.0641091	inhibitor	166.0641091
HF/LF	4	WD.4	60322	9848	barrier_1	3	Beta_muricholic_acid_b-MCA	0	inhibitor	2
HF/LF	4	WD.4	70122	9952	barrier_2	5	Beta_muricholic_acid_b-MCA	5.018526737	inhibitor	7.018526737
HF/LF	4	WD.4	71523	9975	barrier_2	6	Beta_muricholic_acid_b-MCA	0	inhibitor	2
HF/LF	5	WD.5	60322	9851	barrier_1	3	Beta_muricholic_acid_b-MCA	0	inhibitor	2
