mouse_id	dil_toxin	dil_conc	diet	facility	study
9747	Total TcA 1:10	1976.88	LF/LF	barrier_2	2
9746	Total TcA 1:10	10988.17	LF/LF	barrier_2	2
9749	Total TcA 1:10	2144.5	LF/LF	barrier_2	2
9748	Total TcA 1:10	3662.17	LF/LF	barrier_2	2
9758	Total TcA 1:10	0	HF/HF	barrier_2	2
9757	Total TcA 1:10	529.03	HF/HF	barrier_2	2
9841	Total TcA 1:10	7429.02	LF/LF	barrier_1	3
9842	Total TcA 1:10	2123.95	LF/LF	barrier_1	3
9833	Total TcA 1:10	3979.07	LF/HF	barrier_1	3
9834	Total TcA 1:10	139.62	LF/HF	barrier_1	3
9832	Total TcA 1:10	2189.71	LF/HF	barrier_1	3
9831	Total TcA 1:10	7607.11	LF/HF	barrier_1	3
9835	Total TcA 1:10	4165.61	LF/HF	barrier_1	3
9847	Total TcA 1:10	5341.55	HF/LF	barrier_1	3
9849	Total TcA 1:10	3167.2	HF/LF	barrier_1	3
9846	Total TcA 1:10	2351.05	HF/LF	barrier_1	3
9848	Total TcA 1:10	5434.49	HF/LF	barrier_1	3
9851	Total TcA 1:10	3597.4	HF/LF	barrier_1	3
9838	Total TcA 1:10	675.61	HF/HF	barrier_1	3
9837	Total TcA 1:10	3774.55	HF/HF	barrier_1	3
9839	Total TcA 1:10	1183.65	HF/HF	barrier_1	3
9836	Total TcA 1:10	7529.48	HF/HF	barrier_1	3
9946	Total TcA 1:10	12943.87	LF/LF	barrier_2	5
9948	Total TcA 1:10	3770.01	LF/LF	barrier_2	5
9947	Total TcA 1:10	7758.17	LF/LF	barrier_2	5
9945	Total TcA 1:10	7786.73	LF/LF	barrier_2	5
9953	Total TcA 1:10	3118.5	HF/LF	barrier_2	5
9949	Total TcA 1:10	5679.81	HF/LF	barrier_2	5
9950	Total TcA 1:10	8685.48	HF/LF	barrier_2	5
9952	Total TcA 1:10	5144.46	HF/LF	barrier_2	5
9966	Total TcA 1:10	4107.75	LF/LF	barrier_2	6
9969	Total TcA 1:10	8835.9	LF/LF	barrier_2	6
9968	Total TcA 1:10	3343.88	LF/LF	barrier_2	6
9970	Total TcA 1:10	3430.8	LF/LF	barrier_2	6
9974	Total TcA 1:10	21.8	HF/LF	barrier_2	6
9972	Total TcA 1:10	15.35	HF/LF	barrier_2	6
9971	Total TcA 1:10	4039	HF/LF	barrier_2	6
9975	Total TcA 1:10	21.25	HF/LF	barrier_2	6
9973	Total TcA 1:10	25.65	HF/LF	barrier_2	6
109	Total TcA 1:10	187.3	LF/LF	barrier_1	7
106	Total TcA 1:10	198.3	LF/LF	barrier_1	7
108	Total TcA 1:10	126.35	LF/LF	barrier_1	7
99	Total TcA 1:10	274.62	LF/HF	barrier_1	7
113	Total TcA 1:10	100.2	HF/LF	barrier_1	7
104	Total TcA 1:10	1134.24	HF/HF	barrier_1	7
102	Total TcA 1:10	4289	HF/HF	barrier_1	7
103	Total TcA 1:10	290.03	HF/HF	barrier_1	7
9747	Total TcB 1:10	1546.69	LF/LF	barrier_2	2
9746	Total TcB 1:10	9741.45	LF/LF	barrier_2	2
9749	Total TcB 1:10	2563.35	LF/LF	barrier_2	2
9748	Total TcB 1:10	5743.35	LF/LF	barrier_2	2
9758	Total TcB 1:10	103.4	HF/HF	barrier_2	2
9757	Total TcB 1:10	1741.48	HF/HF	barrier_2	2
9841	Total TcB 1:10	5263.73	LF/LF	barrier_1	3
9842	Total TcB 1:10	2809.05	LF/LF	barrier_1	3
9833	Total TcB 1:10	4017.02	LF/HF	barrier_1	3
9834	Total TcB 1:10	757.36	LF/HF	barrier_1	3
9832	Total TcB 1:10	3245.19	LF/HF	barrier_1	3
9831	Total TcB 1:10	6644.19	LF/HF	barrier_1	3
9835	Total TcB 1:10	4249.79	LF/HF	barrier_1	3
9847	Total TcB 1:10	3860.7	HF/LF	barrier_1	3
9849	Total TcB 1:10	3937.45	HF/LF	barrier_1	3
9846	Total TcB 1:10	3274.05	HF/LF	barrier_1	3
9848	Total TcB 1:10	5573.19	HF/LF	barrier_1	3
9851	Total TcB 1:10	3509.75	HF/LF	barrier_1	3
9838	Total TcB 1:10	1165.56	HF/HF	barrier_1	3
9837	Total TcB 1:10	3095.3	HF/HF	barrier_1	3
9839	Total TcB 1:10	1709.89	HF/HF	barrier_1	3
9836	Total TcB 1:10	4708.77	HF/HF	barrier_1	3
9946	Total TcB 1:10	11999.67	LF/LF	barrier_2	5
9948	Total TcB 1:10	4777.68	LF/LF	barrier_2	5
9947	Total TcB 1:10	6553.58	LF/LF	barrier_2	5
9945	Total TcB 1:10	5170.97	LF/LF	barrier_2	5
9953	Total TcB 1:10	3514.55	HF/LF	barrier_2	5
9949	Total TcB 1:10	4967	HF/LF	barrier_2	5
9950	Total TcB 1:10	9882.46	HF/LF	barrier_2	5
9952	Total TcB 1:10	4263.58	HF/LF	barrier_2	5
9966	Total TcB 1:10	3488.45	LF/LF	barrier_2	6
9969	Total TcB 1:10	6200.48	LF/LF	barrier_2	6
9968	Total TcB 1:10	1938.17	LF/LF	barrier_2	6
9970	Total TcB 1:10	3420	LF/LF	barrier_2	6
9974	Total TcB 1:10	125.6	HF/LF	barrier_2	6
9972	Total TcB 1:10	168	HF/LF	barrier_2	6
9971	Total TcB 1:10	3431.65	HF/LF	barrier_2	6
9975	Total TcB 1:10	148	HF/LF	barrier_2	6
9973	Total TcB 1:10	212.2	HF/LF	barrier_2	6
109	Total TcB 1:10	326.2	LF/LF	barrier_1	7
106	Total TcB 1:10	545.8	LF/LF	barrier_1	7
108	Total TcB 1:10	443.4	LF/LF	barrier_1	7
99	Total TcB 1:10	778.69	LF/HF	barrier_1	7
113	Total TcB 1:10	406.9	HF/LF	barrier_1	7
104	Total TcB 1:10	2260.7	HF/HF	barrier_1	7
102	Total TcB 1:10	2210.45	HF/HF	barrier_1	7
103	Total TcB 1:10	699.34	HF/HF	barrier_1	7
