mouse_id	tissue	score	facility	study	diet
9871	cecum	1.9	barrier_2	4	LF/HF
9872	cecum	3.9	barrier_2	4	LF/HF
9873	cecum	3.3	barrier_2	4	LF/HF
9874	cecum	3.2	barrier_2	4	LF/HF
9875	cecum	4	barrier_2	4	LF/HF
9877	cecum	5.6	barrier_2	4	HF/HF
9878	cecum	4.5	barrier_2	4	HF/HF
9879	cecum	4.2	barrier_2	4	HF/HF
9880	cecum	4.6	barrier_2	4	HF/HF
9882	cecum	3.2	barrier_2	4	LF/LF
9883	cecum	5.3	barrier_2	4	LF/LF
9884	cecum	5.3	barrier_2	4	LF/LF
9885	cecum	4.2	barrier_2	4	LF/LF
9886	cecum	1.6	barrier_2	4	HF/LF
9887	cecum	6.4	barrier_2	4	HF/LF
9888	cecum	0.4	barrier_2	4	HF/LF
9889	cecum	2.3	barrier_2	4	HF/LF
9740	cecum	2.5	barrier_2	2	Chow
9741	cecum	0.2	barrier_2	2	Chow
9742	cecum	4.5	barrier_2	2	Chow
9743	cecum	2.1	barrier_2	2	Chow
9746	cecum	4.4	barrier_2	2	LF/LF
9747	cecum	3.8	barrier_2	2	LF/LF
9748	cecum	4.8	barrier_2	2	LF/LF
9749	cecum	5	barrier_2	2	LF/LF
9757	cecum	4.1	barrier_2	2	HF/LF
9758	cecum	5.8	barrier_2	2	HF/LF
99	cecum	5.1	barrier_1	7	LF/HF
102	cecum	6.6	barrier_1	7	HF/HF
103	cecum	4.7	barrier_1	7	HF/HF
104	cecum	4.9	barrier_1	7	HF/HF
106	cecum	0.7	barrier_1	7	LF/LF
108	cecum	1.8	barrier_1	7	LF/LF
109	cecum	1.4	barrier_1	7	LF/LF
113	cecum	0.8	barrier_1	7	HF/LF
114	cecum	0.2	barrier_1	7	Chow
115	cecum	1.6	barrier_1	7	Chow
116	cecum	0.2	barrier_1	7	Chow
117	cecum	0.3	barrier_1	7	Chow
9890	cecum	3.3	barrier_2	4	HF/LF
9831	cecum	2.9	barrier_1	3	LF/HF
9832	cecum	4.1	barrier_1	3	LF/HF
9833	cecum	3.6	barrier_1	3	LF/HF
9834	cecum	4.7	barrier_1	3	LF/HF
9835	cecum	2.2	barrier_1	3	LF/HF
9836	cecum	1.6	barrier_1	3	HF/HF
9837	cecum	2.3	barrier_1	3	HF/HF
9838	cecum	2.4	barrier_1	3	HF/HF
9839	cecum	3.7	barrier_1	3	HF/HF
9841	cecum	6.1	barrier_1	3	LF/LF
9842	cecum	4.1	barrier_1	3	LF/LF
9846	cecum	0.1	barrier_1	3	HF/LF
9847	cecum	4.9	barrier_1	3	HF/LF
9848	cecum	4.8	barrier_1	3	HF/LF
9849	cecum	0.6	barrier_1	3	HF/LF
9851	cecum	0.1	barrier_1	3	HF/LF
9947	cecum	6.1	barrier_2	5	LF/LF
9946	cecum	4.2	barrier_2	5	LF/LF
9945	cecum	4.6	barrier_2	5	LF/LF
9943	cecum	3.2	barrier_2	5	Chow
9941	cecum	3.9	barrier_2	5	Chow
9939	cecum	4.9	barrier_2	5	Chow
9962	cecum	1.9	barrier_2	6	Chow
9953	cecum	0.2	barrier_2	5	HF/LF
9952	cecum	1.5	barrier_2	5	HF/LF
9950	cecum	3.7	barrier_2	5	HF/LF
9949	cecum	2.6	barrier_2	5	HF/LF
9948	cecum	3.7	barrier_2	5	LF/LF
9969	cecum	4.9	barrier_2	6	LF/LF
9968	cecum	3.4	barrier_2	6	LF/LF
9966	cecum	0.9	barrier_2	6	LF/LF
9965	cecum	2.1	barrier_2	6	Chow
9964	cecum	2.7	barrier_2	6	Chow
9963	cecum	2.8	barrier_2	6	Chow
9975	cecum	0.1	barrier_2	6	HF/LF
9974	cecum	0	barrier_2	6	HF/LF
9973	cecum	0	barrier_2	6	HF/LF
9972	cecum	0.2	barrier_2	6	HF/LF
9971	cecum	0.3	barrier_2	6	HF/LF
9970	cecum	3.3	barrier_2	6	LF/LF
9871	colon	5.3	barrier_2	4	LF/HF
9872	colon	4.8	barrier_2	4	LF/HF
9873	colon	5.6	barrier_2	4	LF/HF
9874	colon	5.5	barrier_2	4	LF/HF
9875	colon	4.4	barrier_2	4	LF/HF
9877	colon	5.5	barrier_2	4	HF/HF
9878	colon	7.5	barrier_2	4	HF/HF
9879	colon	11.4	barrier_2	4	HF/HF
9880	colon	6.1	barrier_2	4	HF/HF
9882	colon	9.8	barrier_2	4	LF/LF
9883	colon	5.6	barrier_2	4	LF/LF
9884	colon	8	barrier_2	4	LF/LF
9885	colon	4.4	barrier_2	4	LF/LF
9886	colon	0.6	barrier_2	4	HF/LF
9887	colon	6.7	barrier_2	4	HF/LF
9888	colon	0	barrier_2	4	HF/LF
9889	colon	1.9	barrier_2	4	HF/LF
9740	colon	0.4	barrier_2	2	Chow
9741	colon	0	barrier_2	2	Chow
9742	colon	1.7	barrier_2	2	Chow
9743	colon	0	barrier_2	2	Chow
9746	colon	2.8	barrier_2	2	LF/LF
9747	colon	0	barrier_2	2	LF/LF
9748	colon	3.1	barrier_2	2	LF/LF
9749	colon	3.8	barrier_2	2	LF/LF
9757	colon	4.1	barrier_2	2	HF/LF
9758	colon	2.6	barrier_2	2	HF/LF
99	colon	16.8	barrier_1	7	LF/HF
102	colon	2.8	barrier_1	7	HF/HF
103	colon	2.4	barrier_1	7	HF/HF
104	colon	6.3	barrier_1	7	HF/HF
106	colon	0.2	barrier_1	7	LF/LF
108	colon	1.9	barrier_1	7	LF/LF
109	colon	1.2	barrier_1	7	LF/LF
113	colon	2.7	barrier_1	7	HF/LF
114	colon	0	barrier_1	7	Chow
115	colon	0.8	barrier_1	7	Chow
116	colon	0	barrier_1	7	Chow
117	colon	0	barrier_1	7	Chow
9890	colon	1.7	barrier_2	4	HF/LF
9831	colon	10.5	barrier_1	3	LF/HF
9832	colon	9.9	barrier_1	3	LF/HF
9833	colon	7	barrier_1	3	LF/HF
9834	colon	3.6	barrier_1	3	LF/HF
9835	colon	6.8	barrier_1	3	LF/HF
9836	colon	4.8	barrier_1	3	HF/HF
9837	colon	7.8	barrier_1	3	HF/HF
9838	colon	1.4	barrier_1	3	HF/HF
9839	colon	3.6	barrier_1	3	HF/HF
9841	colon	2.2	barrier_1	3	LF/LF
9842	colon	10.7	barrier_1	3	LF/LF
9846	colon	0	barrier_1	3	HF/LF
9847	colon	7.9	barrier_1	3	HF/LF
9848	colon	6.7	barrier_1	3	HF/LF
9849	colon	0	barrier_1	3	HF/LF
9851	colon	0	barrier_1	3	HF/LF
9947	colon	3.8	barrier_2	5	LF/LF
9946	colon	9.2	barrier_2	5	LF/LF
9945	colon	4.2	barrier_2	5	LF/LF
9943	colon	4.1	barrier_2	5	Chow
9941	colon	0	barrier_2	5	Chow
9939	colon	1.1	barrier_2	5	Chow
9962	colon	2.3	barrier_2	6	Chow
9953	colon	0.4	barrier_2	5	HF/LF
9952	colon	1.3	barrier_2	5	HF/LF
9950	colon	1.8	barrier_2	5	HF/LF
9949	colon	1	barrier_2	5	HF/LF
9948	colon	2.8	barrier_2	5	LF/LF
9969	colon	2.8	barrier_2	6	LF/LF
9968	colon	5.4	barrier_2	6	LF/LF
9966	colon	0.8	barrier_2	6	LF/LF
9965	colon	0	barrier_2	6	Chow
9964	colon	1.7	barrier_2	6	Chow
9963	colon	1.6	barrier_2	6	Chow
9975	colon	0	barrier_2	6	HF/LF
9974	colon	0	barrier_2	6	HF/LF
9973	colon	0	barrier_2	6	HF/LF
9972	colon	0	barrier_2	6	HF/LF
9971	colon	0	barrier_2	6	HF/LF
9970	colon	1.7	barrier_2	6	LF/LF
