mouse_id	metabolite	concentration	diet	facility	study
9740	Acetic Acid (ug/g)	1611.8	Chow	barrier_2	2
9939	Acetic Acid (ug/g)	not_enough_sample	Chow	barrier_2	5
9964	Acetic Acid (ug/g)	2951.4	Chow	barrier_2	6
117	Acetic Acid (ug/g)	962.1	Chow	barrier_1	7
9741	Acetic Acid (ug/g)	938.6	Chow	barrier_2	2
9943	Acetic Acid (ug/g)	590.9	Chow	barrier_2	5
9965	Acetic Acid (ug/g)	482.1	Chow	barrier_2	6
116	Acetic Acid (ug/g)	1043.4	Chow	barrier_1	7
9743	Acetic Acid (ug/g)	2271.2	Chow	barrier_2	2
9941	Acetic Acid (ug/g)	769.7	Chow	barrier_2	5
9962	Acetic Acid (ug/g)	1767.3	Chow	barrier_2	6
115	Acetic Acid (ug/g)	not_enough_sample	Chow	barrier_1	7
9742	Acetic Acid (ug/g)	810	Chow	barrier_2	2
9963	Acetic Acid (ug/g)	345.2	Chow	barrier_2	6
114	Acetic Acid (ug/g)	888.9	Chow	barrier_1	7
9841	Acetic Acid (ug/g)	37.6	LF/LF	barrier_1	3
9946	Acetic Acid (ug/g)	242.3	LF/LF	barrier_2	5
9966	Acetic Acid (ug/g)	89.9	LF/LF	barrier_2	6
109	Acetic Acid (ug/g)	251.9	LF/LF	barrier_1	7
9842	Acetic Acid (ug/g)	235.3	LF/LF	barrier_1	3
9948	Acetic Acid (ug/g)	383.7	LF/LF	barrier_2	5
9969	Acetic Acid (ug/g)	1414.8	LF/LF	barrier_2	6
106	Acetic Acid (ug/g)	206.2	LF/LF	barrier_1	7
9947	Acetic Acid (ug/g)	363	LF/LF	barrier_2	5
9968	Acetic Acid (ug/g)	411	LF/LF	barrier_2	6
108	Acetic Acid (ug/g)	216.7	LF/LF	barrier_1	7
9945	Acetic Acid (ug/g)	469.7	LF/LF	barrier_2	5
9970	Acetic Acid (ug/g)	1409.4	LF/LF	barrier_2	6
9747	Acetic Acid (ug/g)	1353.5	LF/HF	barrier_2	2
9833	Acetic Acid (ug/g)	609.7	LF/HF	barrier_1	3
99	Acetic Acid (ug/g)	249.4	LF/HF	barrier_1	7
9746	Acetic Acid (ug/g)	not_enough_sample	LF/HF	barrier_2	2
9834	Acetic Acid (ug/g)	402	LF/HF	barrier_1	3
9832	Acetic Acid (ug/g)	195.5	LF/HF	barrier_1	3
9831	Acetic Acid (ug/g)	612.3	LF/HF	barrier_1	3
9835	Acetic Acid (ug/g)	not_enough_sample	LF/HF	barrier_1	3
9847	Acetic Acid (ug/g)	167.8	HF/LF	barrier_1	3
9953	Acetic Acid (ug/g)	142.3	HF/LF	barrier_2	5
9974	Acetic Acid (ug/g)	39.1	HF/LF	barrier_2	6
113	Acetic Acid (ug/g)	476.1	HF/LF	barrier_1	7
9849	Acetic Acid (ug/g)	56.8	HF/LF	barrier_1	3
9949	Acetic Acid (ug/g)	163.2	HF/LF	barrier_2	5
9972	Acetic Acid (ug/g)	24.8	HF/LF	barrier_2	6
9846	Acetic Acid (ug/g)	99	HF/LF	barrier_1	3
9950	Acetic Acid (ug/g)	202.8	HF/LF	barrier_2	5
9971	Acetic Acid (ug/g)	236.6	HF/LF	barrier_2	6
9848	Acetic Acid (ug/g)	85.5	HF/LF	barrier_1	3
9952	Acetic Acid (ug/g)	135.3	HF/LF	barrier_2	5
9975	Acetic Acid (ug/g)	29.8	HF/LF	barrier_2	6
9851	Acetic Acid (ug/g)	43.6	HF/LF	barrier_1	3
9973	Acetic Acid (ug/g)	19	HF/LF	barrier_2	6
9758	Acetic Acid (ug/g)	17.1	HF/HF	barrier_2	2
9838	Acetic Acid (ug/g)	44.8	HF/HF	barrier_1	3
104	Acetic Acid (ug/g)	169.2	HF/HF	barrier_1	7
9837	Acetic Acid (ug/g)	378.9	HF/HF	barrier_1	3
9839	Acetic Acid (ug/g)	30.5	HF/HF	barrier_1	3
102	Acetic Acid (ug/g)	not_enough_sample	HF/HF	barrier_1	7
9836	Acetic Acid (ug/g)	750.5	HF/HF	barrier_1	3
103	Acetic Acid (ug/g)	215.9	HF/HF	barrier_1	7
9740	Propanoic Acid (ug/g)	398	Chow	barrier_2	2
9939	Propanoic Acid (ug/g)	not_enough_sample	Chow	barrier_2	5
9964	Propanoic Acid (ug/g)	653.8	Chow	barrier_2	6
117	Propanoic Acid (ug/g)	57.1	Chow	barrier_1	7
9741	Propanoic Acid (ug/g)	249.9	Chow	barrier_2	2
9943	Propanoic Acid (ug/g)	77.6	Chow	barrier_2	5
9965	Propanoic Acid (ug/g)	249.9	Chow	barrier_2	6
116	Propanoic Acid (ug/g)	113.9	Chow	barrier_1	7
9743	Propanoic Acid (ug/g)	467.2	Chow	barrier_2	2
9941	Propanoic Acid (ug/g)	115.3	Chow	barrier_2	5
9962	Propanoic Acid (ug/g)	303.3	Chow	barrier_2	6
115	Propanoic Acid (ug/g)	not_enough_sample	Chow	barrier_1	7
9742	Propanoic Acid (ug/g)	153.8	Chow	barrier_2	2
9963	Propanoic Acid (ug/g)	54.1	Chow	barrier_2	6
114	Propanoic Acid (ug/g)	132.9	Chow	barrier_1	7
9841	Propanoic Acid (ug/g)	7.3	LF/LF	barrier_1	3
9946	Propanoic Acid (ug/g)	55.7	LF/LF	barrier_2	5
9966	Propanoic Acid (ug/g)	10.6	LF/LF	barrier_2	6
109	Propanoic Acid (ug/g)	110.3	LF/LF	barrier_1	7
9842	Propanoic Acid (ug/g)	26.1	LF/LF	barrier_1	3
9948	Propanoic Acid (ug/g)	139.5	LF/LF	barrier_2	5
9969	Propanoic Acid (ug/g)	263.5	LF/LF	barrier_2	6
106	Propanoic Acid (ug/g)	111.5	LF/LF	barrier_1	7
9947	Propanoic Acid (ug/g)	105.7	LF/LF	barrier_2	5
9968	Propanoic Acid (ug/g)	41.3	LF/LF	barrier_2	6
108	Propanoic Acid (ug/g)	100	LF/LF	barrier_1	7
9945	Propanoic Acid (ug/g)	122.6	LF/LF	barrier_2	5
9970	Propanoic Acid (ug/g)	718.2	LF/LF	barrier_2	6
9747	Propanoic Acid (ug/g)	119.6	LF/HF	barrier_2	2
9833	Propanoic Acid (ug/g)	111.2	LF/HF	barrier_1	3
99	Propanoic Acid (ug/g)	20.8	LF/HF	barrier_1	7
9746	Propanoic Acid (ug/g)	not_enough_sample	LF/HF	barrier_2	2
