mouse_id	neat_toxin	neat_conc	diet	facility	study
9740	Total TcA Neat	378.76	Chow	barrier_2	2
9741	Total TcA Neat	1.36	Chow	barrier_2	2
9743	Total TcA Neat	35.65	Chow	barrier_2	2
9742	Total TcA Neat	55.82	Chow	barrier_2	2
9747	Total TcA Neat	451.19	LF/LF	barrier_2	2
9746	Total TcA Neat	1349.85	LF/LF	barrier_2	2
9749	Total TcA Neat	401.8	LF/LF	barrier_2	2
9748	Total TcA Neat	723.98	LF/LF	barrier_2	2
9758	Total TcA Neat	11.05	HF/HF	barrier_2	2
9757	Total TcA Neat	505.04	HF/HF	barrier_2	2
9841	Total TcA Neat	470.11	LF/LF	barrier_1	3
9842	Total TcA Neat	469.05	LF/LF	barrier_1	3
9833	Total TcA Neat	431.68	LF/HF	barrier_1	3
9834	Total TcA Neat	115.81	LF/HF	barrier_1	3
9832	Total TcA Neat	517.95	LF/HF	barrier_1	3
9831	Total TcA Neat	793.53	LF/HF	barrier_1	3
9835	Total TcA Neat	514.72	LF/HF	barrier_1	3
9847	Total TcA Neat	470.41	HF/LF	barrier_1	3
9849	Total TcA Neat	392.56	HF/LF	barrier_1	3
9846	Total TcA Neat	428.88	HF/LF	barrier_1	3
9848	Total TcA Neat	623.63	HF/LF	barrier_1	3
9851	Total TcA Neat	368.74	HF/LF	barrier_1	3
9838	Total TcA Neat	495.63	HF/HF	barrier_1	3
9837	Total TcA Neat	466.3	HF/HF	barrier_1	3
9839	Total TcA Neat	991.08	HF/HF	barrier_1	3
9836	Total TcA Neat	603.16	HF/HF	barrier_1	3
9939	Total TcA Neat	271.78	Chow	barrier_2	5
9943	Total TcA Neat	819.26	Chow	barrier_2	5
9941	Total TcA Neat	480.46	Chow	barrier_2	5
9946	Total TcA Neat	1299.99	LF/LF	barrier_2	5
9948	Total TcA Neat	759.57	LF/LF	barrier_2	5
9947	Total TcA Neat	902.48	LF/LF	barrier_2	5
9945	Total TcA Neat	625.7	LF/LF	barrier_2	5
9953	Total TcA Neat	369.58	HF/LF	barrier_2	5
9949	Total TcA Neat	469.03	HF/LF	barrier_2	5
9950	Total TcA Neat	900.12	HF/LF	barrier_2	5
9952	Total TcA Neat	355.21	HF/LF	barrier_2	5
9964	Total TcA Neat	391.5	Chow	barrier_2	6
9965	Total TcA Neat	1330.94	Chow	barrier_2	6
