category	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax
perc_PNM_infil	percentage	Chow	HF/HF	13	6	0.8188760449298647	0.4128571385129831	0.45873015390331456	ns	55.68		1	2
perc_PNM_infil	percentage	Chow	HF/LF	13	18	-2.3556535724682792	0.018490152355434594	0.09245076177717297	ns	57.54666666666667		1	3
perc_PNM_infil	percentage	Chow	LF/HF	13	9	-0.0719645463205774	0.9426301226047715	0.9426301226047715	ns	59.413333333333334		1	4
perc_PNM_infil	percentage	Chow	LF/LF	13	16	-1.2826525751865374	0.19961382187970322	0.39922764375940645	ns	61.28		1	5
perc_PNM_infil	percentage	HF/HF	HF/LF	6	18	-2.6761653211697145	0.007446990114299739	0.07446990114299738	ns	63.14666666666667		2	3
perc_PNM_infil	percentage	HF/HF	LF/HF	6	9	-0.826038755749565	0.40878210739323023	0.45873015390331456	ns	65.01333333333334		2	4
perc_PNM_infil	percentage	HF/HF	LF/LF	6	16	-1.844713805143804	0.06507918160228551	0.1626979540057138	ns	66.88		2	5
perc_PNM_infil	percentage	HF/LF	LF/HF	18	9	2.023758089033232	0.0429950484455649	0.143316828151883	ns	68.74666666666667		3	4
perc_PNM_infil	percentage	HF/LF	LF/LF	18	16	1.1015005588513291	0.27067886140198205	0.40368083878165606	ns	70.61333333333334		3	5
perc_PNM_infil	percentage	LF/HF	LF/LF	9	16	-1.0745492422203724	0.2825765871471592	0.40368083878165606	ns	72.48		4	5
perc_epithelial_integrity	percentage	Chow	HF/HF	13	6	0.9638694017241887	0.3351114061901037	0.6247165031695691	ns	86		1	2
perc_epithelial_integrity	percentage	Chow	HF/LF	13	18	-0.8670831877745817	0.3858964315429723	0.6247165031695691	ns	92.66666666666667		1	3
perc_epithelial_integrity	percentage	Chow	LF/HF	13	9	0.7767580139554087	0.4373015522186983	0.6247165031695691	ns	99.33333333333333		1	4
perc_epithelial_integrity	percentage	Chow	LF/LF	13	16	1.1473912522402803	0.2512199549646753	0.6247165031695691	ns	106		1	5
perc_epithelial_integrity	percentage	HF/HF	HF/LF	6	18	-1.6786294727127036	0.09322427887478407	0.36673416089131045	ns	112.66666666666667		2	3
perc_epithelial_integrity	percentage	HF/HF	LF/HF	6	9	-0.26352725206608607	0.7921442215368566	0.9177644862490334	ns	119.33333333333334		2	4
perc_epithelial_integrity	percentage	HF/HF	LF/LF	6	16	-0.09877915924202763	0.921313616069322	0.921313616069322	ns	126		2	5
perc_epithelial_integrity	percentage	HF/LF	LF/HF	18	9	1.5981021363727193	0.11002024826739314	0.36673416089131045	ns	132.66666666666669		3	4
perc_epithelial_integrity	percentage	HF/LF	LF/LF	18	16	2.165435477113765	0.030354351635546513	0.3035435163554651	ns	139.33333333333334		3	5
perc_epithelial_integrity	percentage	LF/HF	LF/LF	9	16	0.2198499231340214	0.82598803762413	0.9177644862490334	ns	146		4	5
perc_goblet_cells	percentage	Chow	HF/HF	13	6	1.5545417316757861	0.12005525035497855	0.28896397319258454	ns	106		1	2
perc_goblet_cells	percentage	Chow	HF/LF	13	18	-0.03926163230140815	0.9686817960035254	0.9686817960035254	ns	112.66666666666667		1	3
perc_goblet_cells	percentage	Chow	LF/HF	13	9	1.3409323538391655	0.1799424165849705	0.29990402764161755	ns	119.33333333333333		1	4
perc_goblet_cells	percentage	Chow	LF/LF	13	16	2.7689001757116545	0.0056245865411792976	0.028122932705896487	*	126		1	5
perc_goblet_cells	percentage	HF/HF	HF/LF	6	18	-1.6578785462546377	0.09734198322613113	0.28896397319258454	ns	132.66666666666666		2	3
perc_goblet_cells	percentage	HF/HF	LF/HF	6	9	-0.3524811301903379	0.7244774675110284	0.8049749639011426	ns	139.33333333333334		2	4
perc_goblet_cells	percentage	HF/HF	LF/LF	6	16	0.5570127633306309	0.5775187088622533	0.7218983860778166	ns	146		2	5
perc_goblet_cells	percentage	HF/LF	LF/HF	18	9	1.4593020675677923	0.14448198659629227	0.28896397319258454	ns	152.66666666666669		3	4
perc_goblet_cells	percentage	HF/LF	LF/LF	18	16	3.05065481108372	0.0022834292924881917	0.022834292924881917	*	159.33333333333334		3	5
perc_goblet_cells	percentage	LF/HF	LF/LF	9	16	1.0858162242275369	0.277560306946103	0.3965147242087186	ns	166		4	5
perc_submuc_edema	percentage	Chow	HF/HF	13	6	1.8462358323418195	0.06485797024010112	0.28122513362674484	ns	43.6		1	2
perc_submuc_edema	percentage	Chow	HF/LF	13	18	-0.329724239940534	0.7416083362710706	0.7416083362710706	ns	47.6		1	3
perc_submuc_edema	percentage	Chow	LF/HF	13	9	0.5506131800287895	0.581898871868137	0.6465543020757079	ns	51.6		1	4
perc_submuc_edema	percentage	Chow	LF/LF	13	16	1.2667312169936138	0.2052514138697306	0.4105028277394612	ns	55.599999999999994		1	5
perc_submuc_edema	percentage	HF/HF	HF/LF	6	18	-2.187543669492975	0.028702858917503574	0.28122513362674484	ns	59.599999999999994		2	3
perc_submuc_edema	percentage	HF/HF	LF/HF	6	9	-1.2758734014992328	0.2020002749414324	0.4105028277394612	ns	63.599999999999994		2	4
perc_submuc_edema	percentage	HF/HF	LF/LF	6	16	-0.9154041755091403	0.35997948715832084	0.5421471653743419	ns	67.6		2	5
perc_submuc_edema	percentage	HF/LF	LF/HF	18	9	0.8788123742664827	0.3795030157620394	0.5421471653743419	ns	71.6		3	4
perc_submuc_edema	percentage	HF/LF	LF/LF	18	16	1.7258881328175357	0.08436754008802344	0.28122513362674484	ns	75.6		3	5
perc_submuc_edema	percentage	LF/HF	LF/LF	9	16	0.5621470552826761	0.5740158305597107	0.6465543020757079	ns	79.6		4	5
