tissue	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax
cecum	score	Chow	HF/HF	15	11	2.5745793116325233	0.01003620737272231	0.025090518431805774	*	6.803999999999999		1	2
cecum	score	Chow	HF/LF	15	22	-0.25558028909536457	0.798274940031908	0.798274940031908	ns	7.030666666666666		1	3
cecum	score	Chow	LF/HF	15	11	1.6773873891463362	0.09346675376533031	0.1557779229422172	ns	7.2573333333333325		1	4
cecum	score	Chow	LF/LF	15	21	2.7276304654513366	0.006379102603261299	0.02126367534420433	*	7.483999999999999		1	5
cecum	score	HF/HF	HF/LF	11	22	-2.99934078482544	0.002705644927869955	0.013528224639349775	*	7.710666666666665		2	3
cecum	score	HF/HF	LF/HF	11	11	-0.8352402247285102	0.4035824657150896	0.5765463795929852	ns	7.937333333333331		2	4
cecum	score	HF/HF	LF/LF	11	21	-0.26838927689215303	0.7883996926361315	0.798274940031908	ns	8.163999999999998		2	5
cecum	score	HF/LF	LF/HF	22	11	2.034888447655422	0.04186209865571539	0.08372419731143078	ns	8.390666666666664		3	4
cecum	score	HF/LF	LF/LF	22	21	3.303029856236815	9.56462038313383e-4	0.00956462038313383	**	8.617333333333331		3	5
cecum	score	LF/HF	LF/LF	11	21	0.6884986114304282	0.4911388444134443	0.6139235555168053	ns	8.843999999999998		4	5
colon	score	Chow	HF/HF	15	11	3.9178868118140135	8.932863099119889e-5	2.977621033039963e-4	***	18.324		1	2
colon	score	Chow	HF/LF	15	22	0.9048979038460602	0.3655194776285623	0.4061327529206248	ns	20.017333333333333		1	3
colon	score	Chow	LF/HF	15	11	4.7647208618943155	1.8911526962499735e-6	1.8911526962499734e-5	****	21.71066666666667		1	4
colon	score	Chow	LF/LF	15	21	3.3377639264633494	8.445547114426619e-4	0.0016891094228853238	**	23.404		1	5
colon	score	HF/HF	HF/LF	11	22	-3.391072297228651	6.961973327632319e-4	0.0016891094228853238	**	25.097333333333335		2	3
colon	score	HF/HF	LF/HF	11	11	0.7883595968372259	0.43048639676244504	0.43048639676244504	ns	26.790666666666667		2	4
colon	score	HF/HF	LF/LF	11	21	-1.1468944531274465	0.25142524546139483	0.3142815568267435	ns	28.484		2	5
colon	score	HF/LF	LF/HF	22	11	4.301391548133045	1.6972884040363777e-5	8.486442020181889e-5	****	30.177333333333333		3	4
colon	score	HF/LF	LF/LF	22	21	2.7054231981216104	0.006821742067050836	0.011369570111751394	*	31.870666666666665		3	5
colon	score	LF/HF	LF/LF	11	21	-2.0500738349653105	0.04035722624267848	0.05765318034668354	ns	33.564		4	5
