diet	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
Chow	fluorescence	1	2	10	10	-0.203200203200305	0.8389785540166426	0.8389785540166426	ns	17709.55736	
Chow	fluorescence	1	3	10	10	1.3462013462020195	0.1782375910494618	0.2673563865741927	ns	19937.1929	
Chow	fluorescence	2	3	10	10	1.5494015494023246	0.1212852215521452	0.2673563865741927	ns	22164.828439999997	
HF/HF	fluorescence	1	2	8	8	1.6617009357883865	0.09657275342042593	0.1448591301306389	ns	24647.88144	
HF/HF	fluorescence	1	3	8	8	2.6870057685088806	0.007209570764742531	0.02162871229422759	*	28050.126600000003	
HF/HF	fluorescence	2	3	8	8	1.0253048327204939	0.30521937621459205	0.30521937621459205	ns	31452.371760000002	
HF/LF	fluorescence	1	2	11	11	-2.6678918753996625	0.007632881787792302	0.022898645363376907	*	36280.47808	
HF/LF	fluorescence	1	3	11	11	-0.9701425001453319	0.3319754670827369	0.3319754670827369	ns	39105.2692	
HF/LF	fluorescence	2	3	11	11	1.697749375254331	0.08955507441364255	0.13433261162046384	ns	41930.060320000004	
LF/HF	fluorescence	1	2	9	9	0.08908708063747448	0.9290127047257107	1	ns	32170.150719999998	
LF/HF	fluorescence	1	3	9	9	0	1	1	ns	34930.6003	
LF/HF	fluorescence	2	3	9	9	-0.08908708063747448	0.9290127047257107	1	ns	37691.04988	
LF/LF	fluorescence	1	2	10	10	-1.4224014224021335	0.15490975045372832	0.36396747581716243	ns	24558.43824	
LF/LF	fluorescence	1	3	10	10	-0.254000254000381	0.7994953618696918	0.7994953618696918	ns	25903.3986	
LF/LF	fluorescence	2	3	10	10	1.1684011684017526	0.2426449838781083	0.36396747581716243	ns	27248.358959999998	
