.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
ratio	Chow	HF/HF	13	6	0.7925552258603326	0.4280370038887622	0.47559667098751357	ns	413.20532	
ratio	Chow	HF/LF	13	16	4.81400738422333	1.4793333749504986e-6	1.4793333749504986e-5	****	452.93012	
ratio	Chow	LF/HF	13	5	1.9753894591945276	0.04822396807775707	0.09644793615551414	ns	492.65491999999995	
ratio	Chow	LF/LF	13	14	2.5951618706479826	0.009454637983782549	0.03151545994594183	*	532.3797199999999	
ratio	HF/HF	HF/LF	6	16	2.937784626618618	0.0033056657954667126	0.016528328977333563	*	572.1045199999999	
ratio	HF/HF	LF/HF	6	5	1.0707223174062148	0.2842943049333264	0.355367881166658	ns	611.8293199999999	
ratio	HF/HF	LF/LF	6	14	1.2468488419339512	0.212452927765423	0.3035041825220329	ns	651.5541199999999	
ratio	HF/LF	LF/HF	16	5	-1.4794698945335687	0.13901477173803403	0.23169128623005672	ns	691.27892	
ratio	HF/LF	LF/LF	16	14	-2.180434666367083	0.029225256812466367	0.07306314203116591	ns	731.0037199999999	
ratio	LF/HF	LF/LF	5	14	-0.07669009122368003	0.9388700873839658	0.9388700873839658	ns	770.7285199999999	
