group2	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	Chow	shannon_entropy	13	6	-2.7226507192702356	0.006476048578241315	0.01295209715648263	*	4.176874771075199	2.1885098472793065	1.9883649237958925	1.9883649237958925
HF/LF	Chow	shannon_entropy	13	18	-6.314540590844506	2.7096519874311293e-10	2.7096519874311294e-9	****	4.176874771075199	1.2244811104617868	2.9523936606134122	2.9523936606134122
HF/LF	HF/HF	shannon_entropy	6	18	-2.024976320979853	0.042869795731228004	0.061242565330325724	ns	2.1885098472793065	1.2244811104617868	0.9640287368175198	0
LF/HF	Chow	shannon_entropy	13	9	-2.9071343777231853	0.003647564694428311	0.012158548981427705	*	4.176874771075199	2.277702110263195	1.8991726608120039	1.8991726608120039
LF/HF	HF/LF	shannon_entropy	18	9	2.5418945180313117	0.011025344117534072	0.018375573529223456	*	1.2244811104617868	2.277702110263195	-1.0532209998014084	-1.0532209998014084
LF/HF	HF/HF	shannon_entropy	6	9	0.15774914461488568	0.8746544734792059	0.8746544734792059	ns	2.1885098472793065	2.277702110263195	-0.0891922629838886	0
LF/LF	HF/HF	shannon_entropy	6	16	0.6126906585967985	0.5400809003653062	0.6751011254566328	ns	2.1885098472793065	2.4328665619871574	-0.24435671470785092	0
LF/LF	Chow	shannon_entropy	13	16	-2.8132637945139907	0.004904140121455996	0.01226035030363999	*	4.176874771075199	2.4328665619871574	1.7440082090880415	1.7440082090880415
LF/LF	HF/LF	shannon_entropy	18	16	3.631882648039367	2.813610722277289e-4	0.0014068053611386445	**	1.2244811104617868	2.4328665619871574	-1.2083854515253707	-1.2083854515253707
LF/LF	LF/HF	shannon_entropy	9	16	0.504389335881061	0.6139878104304266	0.6822086782560296	ns	2.277702110263195	2.4328665619871574	-0.15516445172396232	0
