#SampleID	diet	study	sample_date	day_post_inf	mouse_id	exp_#	mouse_tag	DNA_conc	amplified_conc	extraction_date	ext_#	plate	well	cecum	colon
#q2:types	categorical	numeric	categorical	numeric	numeric	numeric	categorical	numeric	numeric	categorical	numeric	numeric	categorical	numeric	numeric
1_0403_9685	Chow	1	4/3/22	-15	9685	9685	4/3/22	33.4	159.2	6/15/22	1	1	D01	0.3	0
1_0410_9685	Chow	1	4/10/22	-8	9685	9685	4/10/22	49.9	147.5	6/15/22	2	1	B02	0.3	0
1_0421_9685	Chow	1	4/21/22	3	9685	9685	4/21/22	25.7	141.63	6/17/22	4	1	F03	0.3	0
1_0403_9688	Chow	1	4/3/22	-15	9688	9688	4/3/22	14.6	141.8	6/15/22	1	2	B05	0.3	0
1_0410_9688	Chow	1	4/10/22	-8	9688	9688	4/10/22	19.5	140.5	6/15/22	2	1	H07	0.3	0
1_0415_9739	Chow	1	4/15/22	-3	9688	9739	4/15/22	56	165.94	6/15/22	2	1	A03	0.3	0
1_0418_9739	Chow	1	4/18/22	0	9688	9739	4/18/22	11.7	141.57	6/16/22	3	2	D04	0.3	0
1_0421_9688	Chow	1	4/21/22	3	9688	9688	4/21/22	38.8	151.37	6/16/22	3	1	C02	0.3	0
1_0403_9690	Chow	1	4/3/22	-15	9690	9690	4/3/22	12.9	150.14	6/15/22	1	2	C07	0.2	0
1_0410_9690	Chow	1	4/10/22	-8	9690	9690	4/10/22	12.6	142.06	6/15/22	2	2	C09	0.2	0
1_0415_9690	Chow	1	4/15/22	-3	9690	9690	4/15/22	13.4	153.32	6/16/22	3	2	C01	0.2	0
1_0418_9690	Chow	1	4/18/22	0	9690	9690	4/18/22	16	150.64	6/16/22	3	2	A08	0.2	0
1_0421_9690	Chow	1	4/21/22	3	9690	9690	4/21/22	18.1	129.49	6/17/22	4	2	A02	0.2	0
1_0403_9695	Chow	1	4/3/22	-15	9695	9695	4/3/22	33.4	140.42	6/15/22	1	1	D02	0.3	0
1_0410_9695	Chow	1	4/10/22	-8	9695	9695	4/10/22	24.2	141.79	6/15/22	2	1	G02	0.3	0
1_0415_9738	Chow	1	4/15/22	-3	9685	9738	4/15/22	41.6	132.65	6/16/22	3	1	B09	0.3	0
1_0415_9695	Chow	1	4/15/22	-3	9695	9695	4/15/22	6.9	163.09	6/15/22	2	2	F09	0.3	0
1_0418_9695	Chow	1	4/18/22	0	9695	9695	4/18/22	31.3	128.97	6/16/22	3	1	D10	0.3	0
1_0418_9738	Chow	1	4/18/22	0	9685	9738	4/18/22	27	136.19	6/16/22	3	1	E10	0.3	0
1_0421_9695	Chow	1	4/21/22	3	9695	9695	4/21/22	31.8	127.76	6/16/22	3	1	D08	0.3	0
1_0403_9696	Chow	1	4/3/22	-15	9696	9696	4/3/22	9.5	145.74	6/15/22	1	2	E07	0.1	0
1_0410_9696	Chow	1	4/10/22	-8	9696	9696	4/10/22	23.7	144.93	6/15/22	2	1	G05	0.1	0
1_0415_9696	Chow	1	4/15/22	-3	9696	9696	4/15/22	2.9	164.8	6/16/22	3	2	G10	0.1	0
1_0418_9696	Chow	1	4/18/22	0	9696	9696	4/18/22	24.7	139.31	6/15/22	2	1	F10	0.1	0
1_0421_9696	Chow	1	4/21/22	3	9696	9696	4/21/22	24.8	128.77	6/17/22	4	1	F09	0.1	0
2_0418_9740	Chow	2	4/18/22	-15	9740	9740	4/18/22	12.3	139.87	6/17/22	4	2	D01	2.5	0.4
2_0425_9740	Chow	2	4/25/22	-8	9740	9740	4/25/22	11.6	132.81	6/17/22	5	2	D05	2.5	0.4
2_0430_9740	Chow	2	4/30/22	-3	9740	9740	4/30/22	34.6	131.59	6/20/22	6	1	C10	2.5	0.4
