"mouse_id","day","weight","study","diet"
311,0,NA,"Study 14","LF/LF"
311,8,17.7,"Study 14","LF/LF"
311,13,18.8,"Study 14","LF/LF"
311,14,20.1,"Study 14","LF/LF"
311,15,19.5,"Study 14","LF/LF"
311,16,19.2,"Study 14","LF/LF"
311,17,19.5,"Study 14","LF/LF"
311,18,19.7,"Study 14","LF/LF"
311,19,20.1,"Study 14","LF/LF"
311,20,19.5,"Study 14","LF/LF"
312,0,NA,"Study 14","LF/LF"
312,8,18.9,"Study 14","LF/LF"
312,13,20.1,"Study 14","LF/LF"
312,14,21.4,"Study 14","LF/LF"
312,15,21.3,"Study 14","LF/LF"
312,16,20.9,"Study 14","LF/LF"
312,17,20.6,"Study 14","LF/LF"
312,18,20.5,"Study 14","LF/LF"
312,19,20.6,"Study 14","LF/LF"
312,20,20.5,"Study 14","LF/LF"
313,0,NA,"Study 14","LF/LF"
313,8,17.4,"Study 14","LF/LF"
313,13,17.6,"Study 14","LF/LF"
313,14,19.1,"Study 14","LF/LF"
313,15,19.4,"Study 14","LF/LF"
313,16,19,"Study 14","LF/LF"
313,17,19,"Study 14","LF/LF"
313,18,19.3,"Study 14","LF/LF"
313,19,19.4,"Study 14","LF/LF"
313,20,19.2,"Study 14","LF/LF"
314,0,NA,"Study 14","LF/LF"
314,8,18.6,"Study 14","LF/LF"
314,13,19.2,"Study 14","LF/LF"
314,14,20.4,"Study 14","LF/LF"
314,15,20.4,"Study 14","LF/LF"
314,16,19.7,"Study 14","LF/LF"
314,17,20,"Study 14","LF/LF"
314,18,19.7,"Study 14","LF/LF"
314,19,19.8,"Study 14","LF/LF"
314,20,19.8,"Study 14","LF/LF"
315,0,NA,"Study 14","LF/LF"
315,8,17.2,"Study 14","LF/LF"
315,13,18.6,"Study 14","LF/LF"
315,14,19.5,"Study 14","LF/LF"
315,15,19.7,"Study 14","LF/LF"
315,16,19.8,"Study 14","LF/LF"
315,17,19.7,"Study 14","LF/LF"
315,18,19.9,"Study 14","LF/LF"
315,19,20.2,"Study 14","LF/LF"
315,20,20,"Study 14","LF/LF"
316,0,NA,"Study 14","LF/LF"
316,8,18.5,"Study 14","LF/LF"
316,13,18.9,"Study 14","LF/LF"
316,14,18.8,"Study 14","LF/LF"
316,15,19.2,"Study 14","LF/LF"
316,16,19.1,"Study 14","LF/LF"
316,17,19.4,"Study 14","LF/LF"
316,18,19.7,"Study 14","LF/LF"
316,19,19.8,"Study 14","LF/LF"
316,20,19.6,"Study 14","LF/LF"
317,0,NA,"Study 14","LF/LF"
317,8,18.7,"Study 14","LF/LF"
317,13,20.1,"Study 14","LF/LF"
317,14,20.6,"Study 14","LF/LF"
317,15,20.6,"Study 14","LF/LF"
317,16,20.4,"Study 14","LF/LF"
317,17,20.9,"Study 14","LF/LF"
317,18,21.3,"Study 14","LF/LF"
317,19,21.4,"Study 14","LF/LF"
317,20,21.2,"Study 14","LF/LF"
318,0,NA,"Study 14","LF/LF"
318,8,19.1,"Study 14","LF/LF"
318,13,20.2,"Study 14","LF/LF"
318,14,20.8,"Study 14","LF/LF"
318,15,21.4,"Study 14","LF/LF"
318,16,21.4,"Study 14","LF/LF"
318,17,21.5,"Study 14","LF/LF"
318,18,21.8,"Study 14","LF/LF"
318,19,21.9,"Study 14","LF/LF"
318,20,21.7,"Study 14","LF/LF"
319,0,NA,"Study 14","LF/LF"
319,8,18.1,"Study 14","LF/LF"
319,13,18.8,"Study 14","LF/LF"
319,14,18.9,"Study 14","LF/LF"
319,15,19,"Study 14","LF/LF"
319,16,18.7,"Study 14","LF/LF"
319,17,19.5,"Study 14","LF/LF"
319,18,19.7,"Study 14","LF/LF"
319,19,19.4,"Study 14","LF/LF"
319,20,19.3,"Study 14","LF/LF"
320,0,NA,"Study 14","LF/LF"
320,8,16.8,"Study 14","LF/LF"
320,13,17.1,"Study 14","LF/LF"
320,14,18,"Study 14","LF/LF"
320,15,18.4,"Study 14","LF/LF"
320,16,18.2,"Study 14","LF/LF"
320,17,18.5,"Study 14","LF/LF"
320,18,18.8,"Study 14","LF/LF"
320,19,18.3,"Study 14","LF/LF"
320,20,18.1,"Study 14","LF/LF"
321,0,NA,"Study 14","HF/LF"
321,8,17,"Study 14","HF/LF"
321,13,17.1,"Study 14","HF/LF"
321,14,17.7,"Study 14","HF/LF"
321,15,17.3,"Study 14","HF/LF"
321,16,17.3,"Study 14","HF/LF"
321,17,17.8,"Study 14","HF/LF"
321,18,17.8,"Study 14","HF/LF"
321,19,17.8,"Study 14","HF/LF"
321,20,18.2,"Study 14","HF/LF"
322,0,NA,"Study 14","HF/LF"
322,8,18.3,"Study 14","HF/LF"
322,13,19.5,"Study 14","HF/LF"
322,14,19.4,"Study 14","HF/LF"
322,15,19.3,"Study 14","HF/LF"
322,16,19.3,"Study 14","HF/LF"
322,17,19.1,"Study 14","HF/LF"
322,18,19,"Study 14","HF/LF"
322,19,19.4,"Study 14","HF/LF"
322,20,19.8,"Study 14","HF/LF"
323,0,NA,"Study 14","HF/LF"
323,8,20.8,"Study 14","HF/LF"
323,13,21.8,"Study 14","HF/LF"
323,14,22.4,"Study 14","HF/LF"
323,15,22.4,"Study 14","HF/LF"
323,16,22.1,"Study 14","HF/LF"
323,17,21.9,"Study 14","HF/LF"
323,18,22.1,"Study 14","HF/LF"
323,19,22.5,"Study 14","HF/LF"
323,20,22.4,"Study 14","HF/LF"
324,0,NA,"Study 14","HF/LF"
324,8,21.9,"Study 14","HF/LF"
324,13,22.2,"Study 14","HF/LF"
324,14,23.2,"Study 14","HF/LF"
324,15,22.6,"Study 14","HF/LF"
324,16,22.3,"Study 14","HF/LF"
324,17,22.9,"Study 14","HF/LF"
324,18,23.2,"Study 14","HF/LF"
324,19,22.7,"Study 14","HF/LF"
324,20,23.1,"Study 14","HF/LF"
325,0,NA,"Study 14","HF/LF"
325,8,17.3,"Study 14","HF/LF"
325,13,18.4,"Study 14","HF/LF"
325,14,18.3,"Study 14","HF/LF"
325,15,18.5,"Study 14","HF/LF"
325,16,18.7,"Study 14","HF/LF"
325,17,18.7,"Study 14","HF/LF"
325,18,18.8,"Study 14","HF/LF"
325,19,19.1,"Study 14","HF/LF"
325,20,19.2,"Study 14","HF/LF"
326,0,NA,"Study 14","HF/LF"
326,8,16.5,"Study 14","HF/LF"
326,13,17.3,"Study 14","HF/LF"
326,14,17.9,"Study 14","HF/LF"
326,15,17.6,"Study 14","HF/LF"
326,16,17.5,"Study 14","HF/LF"
326,17,18.1,"Study 14","HF/LF"
326,18,18.3,"Study 14","HF/LF"
326,19,18.4,"Study 14","HF/LF"
326,20,18.4,"Study 14","HF/LF"
327,0,NA,"Study 14","HF/LF"
327,8,18.3,"Study 14","HF/LF"
327,13,19,"Study 14","HF/LF"
327,14,19.5,"Study 14","HF/LF"
327,15,19.3,"Study 14","HF/LF"
327,16,19.7,"Study 14","HF/LF"
327,17,20.2,"Study 14","HF/LF"
327,18,20,"Study 14","HF/LF"
327,19,20.6,"Study 14","HF/LF"
327,20,20.5,"Study 14","HF/LF"
328,0,NA,"Study 14","HF/LF"
328,8,18.9,"Study 14","HF/LF"
328,13,19.3,"Study 14","HF/LF"
328,14,19.5,"Study 14","HF/LF"
328,15,19.2,"Study 14","HF/LF"
328,16,19.2,"Study 14","HF/LF"
328,17,19.4,"Study 14","HF/LF"
328,18,19.4,"Study 14","HF/LF"
328,19,19.5,"Study 14","HF/LF"
328,20,19.8,"Study 14","HF/LF"
329,0,NA,"Study 14","HF/LF"
329,8,17.2,"Study 14","HF/LF"
329,13,17.6,"Study 14","HF/LF"
329,14,18.3,"Study 14","HF/LF"
329,15,18.3,"Study 14","HF/LF"
329,16,18.5,"Study 14","HF/LF"
329,17,19,"Study 14","HF/LF"
329,18,18.9,"Study 14","HF/LF"
329,19,19.2,"Study 14","HF/LF"
329,20,19,"Study 14","HF/LF"
330,0,NA,"Study 14","HF/LF"
330,8,21.2,"Study 14","HF/LF"
330,13,20.8,"Study 14","HF/LF"
330,14,21,"Study 14","HF/LF"
330,15,21.1,"Study 14","HF/LF"
330,16,19.9,"Study 14","HF/LF"
330,17,20.9,"Study 14","HF/LF"
330,18,20.7,"Study 14","HF/LF"
330,19,21.2,"Study 14","HF/LF"
330,20,22.1,"Study 14","HF/LF"
331,0,19.1,"Study15","chow"
331,8,19.6,"Study15","chow"
331,13,19.7,"Study15","chow"
331,14,20.2,"Study15","chow"
331,15,20.4,"Study15","chow"
331,16,20,"Study15","chow"
331,17,19.8,"Study15","chow"
331,18,20.3,"Study15","chow"
331,19,20.1,"Study15","chow"
331,20,20.4,"Study15","chow"
331,21,20.4,"Study15","chow"
331,22,21.2,"Study15","chow"
331,23,19.6,"Study15","chow"
331,24,20.8,"Study15","chow"
331,25,21,"Study15","chow"
331,26,21.7,"Study15","chow"
331,27,21.7,"Study15","chow"
331,28,20.6,"Study15","chow"
331,29,20.8,"Study15","chow"
332,0,18.5,"Study15","chow"
332,8,18,"Study15","chow"
332,13,18.4,"Study15","chow"
332,14,18.6,"Study15","chow"
332,15,18.7,"Study15","chow"
332,16,18.6,"Study15","chow"
332,17,18.3,"Study15","chow"
332,18,18.3,"Study15","chow"
332,19,18.8,"Study15","chow"
332,20,19,"Study15","chow"
332,21,18.7,"Study15","chow"
332,22,19.2,"Study15","chow"
332,23,18.6,"Study15","chow"
332,24,18.7,"Study15","chow"
332,25,18.6,"Study15","chow"
332,26,18.9,"Study15","chow"
332,27,18.2,"Study15","chow"
332,28,18.1,"Study15","chow"
332,29,18.8,"Study15","chow"
333,0,18.6,"Study15","chow"
333,8,18.7,"Study15","chow"
333,13,19.3,"Study15","chow"
333,14,20,"Study15","chow"
333,15,19.5,"Study15","chow"
333,16,19.5,"Study15","chow"
333,17,18.4,"Study15","chow"
333,18,18.9,"Study15","chow"
333,19,19.4,"Study15","chow"
333,20,20.2,"Study15","chow"
333,21,19.6,"Study15","chow"
333,22,20.1,"Study15","chow"
333,23,20.6,"Study15","chow"
333,24,19.4,"Study15","chow"
333,25,19.5,"Study15","chow"
333,26,19.7,"Study15","chow"
333,27,20,"Study15","chow"
333,28,19.6,"Study15","chow"
333,29,19.5,"Study15","chow"
334,0,17.2,"Study15","chow"
334,8,17.2,"Study15","chow"
334,13,17.9,"Study15","chow"
334,14,18.2,"Study15","chow"
334,15,18.2,"Study15","chow"
334,16,18.1,"Study15","chow"
334,17,15.5,"Study15","chow"
334,18,14.4,"Study15","chow"
334,19,NA,"Study15","chow"
334,20,NA,"Study15","chow"
334,21,NA,"Study15","chow"
334,22,NA,"Study15","chow"
334,23,NA,"Study15","chow"
334,24,NA,"Study15","chow"
334,25,NA,"Study15","chow"
334,26,NA,"Study15","chow"
334,27,NA,"Study15","chow"
334,28,NA,"Study15","chow"
334,29,NA,"Study15","chow"
335,0,18.5,"Study15","chow"
335,8,20.3,"Study15","chow"
335,13,20.2,"Study15","chow"
335,14,20.5,"Study15","chow"
335,15,20.3,"Study15","chow"
335,16,20.3,"Study15","chow"
335,17,17.8,"Study15","chow"
335,18,16.7,"Study15","chow"
335,19,16,"Study15","chow"
335,20,NA,"Study15","chow"
335,21,NA,"Study15","chow"
335,22,NA,"Study15","chow"
335,23,NA,"Study15","chow"
335,24,NA,"Study15","chow"
335,25,NA,"Study15","chow"
335,26,NA,"Study15","chow"
335,27,NA,"Study15","chow"
335,28,NA,"Study15","chow"
335,29,NA,"Study15","chow"
336,0,17.1,"Study15","chow"
