"mouse_id","day","weight","study","diet"
135,0,NA,"study 8","chow"
135,8,17.1,"study 8","chow"
135,13,17.8,"study 8","chow"
135,14,18.8,"study 8","chow"
135,15,18.4,"study 8","chow"
135,16,18.6,"study 8","chow"
135,17,16.2,"study 8","chow"
135,18,14.8,"study 8","chow"
135,19,14.3,"study 8","chow"
135,20,16.3,"study 8","chow"
135,21,17.5,"study 8","chow"
135,22,18.1,"study 8","chow"
135,25,18.4,"study 8","chow"
136,0,NA,"study 8","chow"
136,8,17.7,"study 8","chow"
136,13,19,"study 8","chow"
136,14,19.8,"study 8","chow"
136,15,19.2,"study 8","chow"
136,16,19.4,"study 8","chow"
136,17,17.4,"study 8","chow"
136,18,16.4,"study 8","chow"
136,19,18.6,"study 8","chow"
136,20,19.4,"study 8","chow"
136,21,19.4,"study 8","chow"
136,22,19.5,"study 8","chow"
136,25,18.8,"study 8","chow"
137,0,NA,"study 8","chow"
137,8,17.7,"study 8","chow"
137,13,18.7,"study 8","chow"
137,14,18.7,"study 8","chow"
137,15,18.7,"study 8","chow"
137,16,19.1,"study 8","chow"
137,17,16.3,"study 8","chow"
137,18,NA,"study 8","chow"
137,19,NA,"study 8","chow"
137,20,NA,"study 8","chow"
137,21,NA,"study 8","chow"
137,22,NA,"study 8","chow"
137,25,NA,"study 8","chow"
138,0,NA,"study 8","chow"
138,8,18,"study 8","chow"
138,13,18.3,"study 8","chow"
138,14,18.4,"study 8","chow"
138,15,18.2,"study 8","chow"
138,16,18.8,"study 8","chow"
138,17,15.5,"study 8","chow"
138,18,14.4,"study 8","chow"
138,19,13.8,"study 8","chow"
138,20,16.2,"study 8","chow"
138,21,17.2,"study 8","chow"
138,22,17.6,"study 8","chow"
138,25,17.9,"study 8","chow"
139,0,NA,"study 8","HF/LF"
139,8,17.6,"study 8","HF/LF"
139,13,18.9,"study 8","HF/LF"
139,14,19.1,"study 8","HF/LF"
139,15,19.5,"study 8","HF/LF"
139,16,19.7,"study 8","HF/LF"
139,17,19.7,"study 8","HF/LF"
139,18,20,"study 8","HF/LF"
139,19,17.4,"study 8","HF/LF"
139,20,NA,"study 8","HF/LF"
139,21,NA,"study 8","HF/LF"
139,22,NA,"study 8","HF/LF"
139,25,NA,"study 8","HF/LF"
140,0,NA,"study 8","HF/LF"
140,8,17.5,"study 8","HF/LF"
140,13,19.1,"study 8","HF/LF"
140,14,19.2,"study 8","HF/LF"
140,15,19.1,"study 8","HF/LF"
140,16,20,"study 8","HF/LF"
140,17,19.9,"study 8","HF/LF"
140,18,19.6,"study 8","HF/LF"
140,19,19.1,"study 8","HF/LF"
140,20,15.6,"study 8","HF/LF"
140,21,14.6,"study 8","HF/LF"
140,22,NA,"study 8","HF/LF"
140,25,NA,"study 8","HF/LF"
141,0,NA,"study 8","HF/LF"
141,8,18,"study 8","HF/LF"
141,13,18.4,"study 8","HF/LF"
141,14,18.9,"study 8","HF/LF"
141,15,19.2,"study 8","HF/LF"
141,16,19.2,"study 8","HF/LF"
141,17,19.3,"study 8","HF/LF"
141,18,19.4,"study 8","HF/LF"
141,19,18,"study 8","HF/LF"
141,20,15.5,"study 8","HF/LF"
141,21,NA,"study 8","HF/LF"
141,22,NA,"study 8","HF/LF"
141,25,NA,"study 8","HF/LF"
142,0,NA,"study 8","HF/LF"
142,8,18.8,"study 8","HF/LF"
142,13,19.3,"study 8","HF/LF"
142,14,20.1,"study 8","HF/LF"
142,15,20.3,"study 8","HF/LF"
142,16,20.2,"study 8","HF/LF"
142,17,20.3,"study 8","HF/LF"
142,18,20.6,"study 8","HF/LF"
142,19,19.3,"study 8","HF/LF"
142,20,17,"study 8","HF/LF"
142,21,16.2,"study 8","HF/LF"
142,22,NA,"study 8","HF/LF"
142,25,NA,"study 8","HF/LF"
143,0,NA,"study 8","HF/HF"
143,8,18.6,"study 8","HF/HF"
143,13,19.3,"study 8","HF/HF"
143,14,19.2,"study 8","HF/HF"
143,15,20.3,"study 8","HF/HF"
143,16,19.9,"study 8","HF/HF"
143,17,17.5,"study 8","HF/HF"
143,18,16.3,"study 8","HF/HF"
143,19,15,"study 8","HF/HF"
143,20,14.2,"study 8","HF/HF"
143,21,NA,"study 8","HF/HF"
143,22,NA,"study 8","HF/HF"
143,25,NA,"study 8","HF/HF"
144,0,NA,"study 8","HF/HF"
144,8,18.8,"study 8","HF/HF"
144,13,20.6,"study 8","HF/HF"
144,14,20.5,"study 8","HF/HF"
144,15,20.6,"study 8","HF/HF"
144,16,20.5,"study 8","HF/HF"
144,17,17.9,"study 8","HF/HF"
144,18,NA,"study 8","HF/HF"
