sampleid	seq_depth
1_0403_9685	38187
1_0403_9686	41857
1_0403_9687	52967
1_0403_9688	38151
1_0403_9689	48879
1_0403_9690	42394
1_0403_9691	38624
1_0403_9692	37405
1_0403_9693	32699
1_0403_9694	40434
1_0403_9695	37477
1_0403_9696	40642
1_0403_9697	34171
1_0403_9698	36911
1_0403_9699	42393
1_0410_9685	40496
1_0410_9686	51810
1_0410_9687	35445
1_0410_9688	39652
1_0410_9689	44951
1_0410_9690	35763
1_0410_9691	35871
1_0410_9692	40140
1_0410_9693	47385
1_0410_9694	41077
1_0410_9695	33120
1_0410_9696	31529
1_0410_9697	47817
1_0410_9698	55168
1_0410_9699	47707
1_0415_9687	23177
1_0415_9689	49762
1_0415_9690	32337
1_0415_9691	15234
1_0415_9693	20803
1_0415_9694	17674
1_0415_9695	37438
1_0415_9696	37943
1_0415_9698	6535
1_0415_9699	23730
1_0415_9735	19389
1_0415_9736	9163
1_0415_9737	44511
1_0415_9738	45272
1_0415_9739	50377
1_0418_9687	50220
1_0418_9689	43534
1_0418_9690	54974
1_0418_9691	52945
1_0418_9692	40719
1_0418_9693	31618
1_0418_9694	49866
1_0418_9695	48318
1_0418_9696	46990
1_0418_9698	29132
1_0418_9699	55076
1_0418_9736	34515
1_0418_9737	33806
1_0418_9738	61729
1_0418_9739	44055
1_0421_9685	44864
1_0421_9686	43428
1_0421_9687	63832
1_0421_9688	49159
1_0421_9689	42934
1_0421_9690	38390
1_0421_9691	46526
1_0421_9692	45129
1_0421_9693	41380
1_0421_9694	48525
1_0421_9695	43885
1_0421_9696	39593
1_0421_9697	51112
1_0421_9698	30107
1_0421_9699	46052
2B_0506_9740	39112
2_0418_9740	39052
2_0418_9741	38891
2_0418_9742	42301
2_0418_9743	38789
2_0418_9744	32586
2_0418_9745	37497
2_0418_9746	42063
2_0418_9747	45562
2_0418_9748	37814
2_0418_9749	41273
2_0418_9750	41920
2_0418_9751	44643
2_0418_9752	43651
2_0418_9753	43057
2_0418_9754	40098
2_0425_9740	39932
2_0425_9741	52548
2_0425_9742	37408
2_0425_9743	54744
2_0425_9744	41592
2_0425_9745	44127
2_0425_9746	52431
2_0425_9747	47570
2_0425_9748	39919
2_0425_9749	46151
2_0425_9750	46442
2_0425_9755	51105
2_0425_9756	55486
2_0425_9757	55071
2_0425_9758	45182
2_0430_9740	51208
2_0430_9741	61435
2_0430_9742	36182
2_0430_9743	45658
2_0430_9744	39770
2_0430_9745	51609
2_0430_9746	49428
2_0430_9747	40890
2_0430_9748	167423
2_0430_9749	34338
2_0430_9750	40444
2_0430_9755	23197
2_0430_9756	31415
2_0430_9757	34811
2_0430_9758	40388
2_0503_9740	40565
2_0503_9741	40261
2_0503_9742	42655
2_0503_9743	49505
2_0503_9744	44753
2_0503_9745	50025
2_0503_9746	62072
2_0503_9747	39503
2_0503_9748	38570
2_0503_9749	40374
2_0503_9750	37664
2_0503_9755	48412
2_0503_9756	51067
2_0503_9757	44467
2_0503_9758	51120
2_0506_9740	42001
