"sheet_name","mouse_id","Strain","Sex","DOB","day","weight"
"study 1",9685,"Bl/6","F",2022-02-11,0,"18.6"
"study 1",9685,"Bl/6","F",2022-02-11,8,"19.600000000000001"
"study 1",9685,"Bl/6","F",2022-02-11,13,"19.4"
"study 1",9685,"Bl/6","F",2022-02-11,14,NA
"study 1",9685,"Bl/6","F",2022-02-11,15,"20.3"
"study 1",9685,"Bl/6","F",2022-02-11,18,"21.3"
"study 1",9688,"Bl/6","F",2022-02-11,0,"16.9"
"study 1",9688,"Bl/6","F",2022-02-11,8,"16.899999999999999"
"study 1",9688,"Bl/6","F",2022-02-11,13,"17.1"
"study 1",9688,"Bl/6","F",2022-02-11,14,NA
"study 1",9688,"Bl/6","F",2022-02-11,15,"17.8"
"study 1",9688,"Bl/6","F",2022-02-11,18,"18.9"
"study 1",9690,"Bl/6","F",2022-02-11,0,"17.7"
"study 1",9690,"Bl/6","F",2022-02-11,8,"17.899999999999999"
"study 1",9690,"Bl/6","F",2022-02-11,13,"17.6"
"study 1",9690,"Bl/6","F",2022-02-11,14,NA
"study 1",9690,"Bl/6","F",2022-02-11,15,"17.9"
"study 1",9690,"Bl/6","F",2022-02-11,18,"19"
"study 1",9695,"Bl/6","F",2022-02-11,0,"17"
"study 1",9695,"Bl/6","F",2022-02-11,8,"17.600000000000001"
"study 1",9695,"Bl/6","F",2022-02-11,13,"17.7"
"study 1",9695,"Bl/6","F",2022-02-11,14,NA
"study 1",9695,"Bl/6","F",2022-02-11,15,"18.2"
"study 1",9695,"Bl/6","F",2022-02-11,18,"19.6"
"study 1",9696,"Bl/6","F",2022-02-11,0,"15.6"
"study 1",9696,"Bl/6","F",2022-02-11,8,"15.9"
"study 1",9696,"Bl/6","F",2022-02-11,13,"17"
"study 1",9696,"Bl/6","F",2022-02-11,14,NA
"study 1",9696,"Bl/6","F",2022-02-11,15,"17.3"
"study 1",9696,"Bl/6","F",2022-02-11,18,"17.4"
"study 1",9686,"Bl/6","F",2022-02-11,0,"17.9"
"study 1",9686,"Bl/6","F",2022-02-11,8,"18.899999999999999"
"study 1",9686,"Bl/6","F",2022-02-11,13,"19.7"
"study 1",9686,"Bl/6","F",2022-02-11,14,NA
"study 1",9686,"Bl/6","F",2022-02-11,15,"19"
"study 1",9686,"Bl/6","F",2022-02-11,18,"19.3"
"study 1",9689,"Bl/6","F",2022-02-11,0,"18.6"
"study 1",9689,"Bl/6","F",2022-02-11,8,"19.399999999999999"
"study 1",9689,"Bl/6","F",2022-02-11,13,"20.7"
"study 1",9689,"Bl/6","F",2022-02-11,14,NA
"study 1",9689,"Bl/6","F",2022-02-11,15,"21.4"
"study 1",9689,"Bl/6","F",2022-02-11,18,"21.7"
"study 1",9692,"Bl/6","F",2022-02-11,0,"16.9"
"study 1",9692,"Bl/6","F",2022-02-11,8,"17.899999999999999"
"study 1",9692,"Bl/6","F",2022-02-11,13,"18.6"
"study 1",9692,"Bl/6","F",2022-02-11,14,NA
"study 1",9692,"Bl/6","F",2022-02-11,15,"18.8"
"study 1",9692,"Bl/6","F",2022-02-11,18,"19.7"
"study 1",9697,"Bl/6","F",2022-02-11,0,"17.2"
"study 1",9697,"Bl/6","F",2022-02-11,8,"18.100000000000001"
"study 1",9697,"Bl/6","F",2022-02-11,13,"19.3"
"study 1",9697,"Bl/6","F",2022-02-11,14,NA
"study 1",9697,"Bl/6","F",2022-02-11,15,"19"
"study 1",9697,"Bl/6","F",2022-02-11,18,"19.5"
"study 1",9698,"Bl/6","F",2022-02-11,0,"15.9"
"study 1",9698,"Bl/6","F",2022-02-11,8,"16.8"
"study 1",9698,"Bl/6","F",2022-02-11,13,"17.4"
"study 1",9698,"Bl/6","F",2022-02-11,14,NA
"study 1",9698,"Bl/6","F",2022-02-11,15,"18.5"
"study 1",9698,"Bl/6","F",2022-02-11,18,"19.2"
"study 1",9687,"Bl/6","F",2022-02-11,0,"17"
"study 1",9687,"Bl/6","F",2022-02-11,8,"18"
"study 1",9687,"Bl/6","F",2022-02-11,13,"19.4"
"study 1",9687,"Bl/6","F",2022-02-11,14,NA
"study 1",9687,"Bl/6","F",2022-02-11,15,"18.9"
"study 1",9687,"Bl/6","F",2022-02-11,18,"19.8"
"study 1",9691,"Bl/6","F",2022-02-11,0,"16.4"
"study 1",9691,"Bl/6","F",2022-02-11,8,"18.600000000000001"
"study 1",9691,"Bl/6","F",2022-02-11,13,"20"
"study 1",9691,"Bl/6","F",2022-02-11,14,NA
"study 1",9691,"Bl/6","F",2022-02-11,15,"19.3"
"study 1",9691,"Bl/6","F",2022-02-11,18,"19.8"
"study 1",9693,"Bl/6","F",2022-02-11,0,"19.1"
"study 1",9693,"Bl/6","F",2022-02-11,8,"20.3"
"study 1",9693,"Bl/6","F",2022-02-11,13,"20.8"
"study 1",9693,"Bl/6","F",2022-02-11,14,NA
"study 1",9693,"Bl/6","F",2022-02-11,15,"21"
"study 1",9693,"Bl/6","F",2022-02-11,18,"22.2"
"study 1",9694,"Bl/6","F",2022-02-11,0,"18.3"
"study 1",9694,"Bl/6","F",2022-02-11,8,"19.3"
"study 1",9694,"Bl/6","F",2022-02-11,13,"20.3"
"study 1",9694,"Bl/6","F",2022-02-11,14,NA
"study 1",9694,"Bl/6","F",2022-02-11,15,"20.3"
"study 1",9694,"Bl/6","F",2022-02-11,18,"20.7"
"study 1",9699,"Bl/6","F",2022-02-11,0,"15.1"
"study 1",9699,"Bl/6","F",2022-02-11,8,"16.5"
"study 1",9699,"Bl/6","F",2022-02-11,13,"18.1"
"study 1",9699,"Bl/6","F",2022-02-11,14,NA
"study 1",9699,"Bl/6","F",2022-02-11,15,"18.7"
"study 1",9699,"Bl/6","F",2022-02-11,18,"19.3"
"study 2",9740,"Bl/6","F",2022-02-25,0,"19.1"
"study 2",9740,"Bl/6","F",2022-02-25,8,"20.8"
"study 2",9740,"Bl/6","F",2022-02-25,13,"21.3"
"study 2",9740,"Bl/6","F",2022-02-25,14,"21.5"
"study 2",9740,"Bl/6","F",2022-02-25,15,"21.6"
"study 2",9740,"Bl/6","F",2022-02-25,16,"21.2"
"study 2",9740,"Bl/6","F",2022-02-25,17,"20.6"
"study 2",9740,"Bl/6","F",2022-02-25,18,"20.9"
"study 2",9741,"Bl/6","F",2022-02-25,0,"18.2"
"study 2",9741,"Bl/6","F",2022-02-25,8,"18.6"
"study 2",9741,"Bl/6","F",2022-02-25,13,"19.2"
"study 2",9741,"Bl/6","F",2022-02-25,14,"19.9"
