day_post_inf	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax
1	av_perc_change	chow	HF/LF	20	30	8.744827042314787	2.2335752154717265e-18	6.700725646415179e-18	****	0.953		1	2
1	av_perc_change	chow	LF/LF	20	30	3.974921382870358	7.04025082747359e-5	7.04025082747359e-5	****	1.4615		1	3
1	av_perc_change	HF/LF	LF/LF	30	30	-5.332916650389353	9.664768059114277e-8	1.4497152088671415e-7	****	1.9699999999999998		2	3
2	av_perc_change	chow	HF/LF	20	30	8.744827042314787	2.2335752154717265e-18	6.700725646415179e-18	****	2.37364		1	2
2	av_perc_change	chow	LF/LF	20	30	3.974921382870358	7.04025082747359e-5	7.04025082747359e-5	****	4.3666		1	3
2	av_perc_change	HF/LF	LF/LF	30	30	-5.332916650389353	9.664768059114277e-8	1.4497152088671415e-7	****	6.359559999999999		2	3
3	av_perc_change	chow	HF/LF	19	30	8.59654346923928	8.21530155981908e-18	2.464590467945724e-17	****	3.32888		1	2
3	av_perc_change	chow	LF/LF	19	29	3.8308673683891565	1.2769232675866095e-4	1.2769232675866095e-4	***	5.6597		1	3
3	av_perc_change	HF/LF	LF/LF	30	29	-5.336866389290896	9.45666718100397e-8	1.4185000771505954e-7	****	7.99052		2	3
4	av_perc_change	chow	HF/LF	17	29	7.973117184910908	1.5472133850011043e-15	4.6416401550033134e-15	****	-1.5117599999999998		1	2
4	av_perc_change	chow	LF/LF	17	22	3.268204311283163	0.0010823220409262955	0.0010823220409262955	**	-0.16589999999999994		1	3
4	av_perc_change	HF/LF	LF/LF	29	22	-4.881311481940435	1.0538263553227729e-6	1.5807395329841593e-6	****	1.17996		2	3
5	av_perc_change	chow	HF/LF	16	25	7.48130179659549	7.358996333493257e-14	2.2076989000479772e-13	****	-5.28896		1	2
5	av_perc_change	chow	LF/LF	16	18	3.0781096363898164	0.0020831825834703144	0.0020831825834703144	**	-5.0114		1	3
5	av_perc_change	HF/LF	LF/LF	25	18	-4.327019643553267	1.5114048718825232e-5	2.2671073078237848e-5	****	-4.733840000000001		2	3
6	av_perc_change	chow	HF/LF	16	11	-5.769232780872023	7.963324184958065e-9	2.3889972554874196e-8	****	-3.74508		1	2
6	av_perc_change	chow	LF/LF	16	8	-2.9126329667880007	0.0035839557964316053	0.0053759336946474084	**	-1.8612		1	3
6	av_perc_change	HF/LF	LF/LF	11	8	2.1487866228681902	0.03165131829169982	0.03165131829169982	*	0.022680000000000256		2	3
7	av_perc_change	chow	HF/LF	16	8	-5.282365156112561	1.2752669420939144e-7	3.8258008262817436e-7	****	-0.5448		1	2
7	av_perc_change	chow	LF/LF	16	7	-3.0550504633038935	0.0022502265680857917	0.0033753398521286877	**	1.7115		1	3
8	av_perc_change	chow	HF/LF	16	6	-4.90635375197313	9.278511455602637e-7	2.783553436680791e-6	****	-0.21028000000000002		1	2
8	av_perc_change	chow	LF/LF	16	7	-3.3113494175388625	9.284719498625194e-4	0.001392707924793779	**	1.7033		1	3
9	av_perc_change	chow	HF/LF	16	6	-4.90635375197313	9.278511455602637e-7	2.783553436680791e-6	****	-0.9865599999999998		1	2
9	av_perc_change	chow	LF/LF	16	7	-3.3113494175388625	9.284719498625194e-4	0.001392707924793779	**	0.34760000000000046		1	3
10	av_perc_change	chow	HF/LF	16	6	-4.90635375197313	9.278511455602637e-7	2.783553436680791e-6	****	0.13023999999999997		1	2
10	av_perc_change	chow	LF/LF	16	7	-3.3113494175388625	9.284719498625194e-4	0.001392707924793779	**	0.9675999999999998		1	3
11	av_perc_change	chow	HF/LF	16	6	-4.90635375197313	9.278511455602637e-7	2.783553436680791e-6	****	0.7218		1	2
11	av_perc_change	chow	LF/LF	16	7	-3.3113494175388625	9.284719498625194e-4	0.001392707924793779	**	1.4264999999999999		1	3
12	av_perc_change	chow	HF/LF	16	6	-4.90635375197313	9.278511455602637e-7	2.783553436680791e-6	****	1.50248		1	2
12	av_perc_change	chow	LF/LF	16	7	-3.3113494175388625	9.284719498625194e-4	0.001392707924793779	**	2.0837		1	3
13	av_perc_change	chow	HF/LF	16	6	-4.90635375197313	9.278511455602637e-7	2.783553436680791e-6	****	-0.39656		1	2
13	av_perc_change	chow	LF/LF	16	7	-3.3113494175388625	9.284719498625194e-4	0.001392707924793779	**	-0.22790000000000005		1	3
14	av_perc_change	chow	HF/LF	16	6	-4.90635375197313	9.278511455602637e-7	2.783553436680791e-6	****	0.227		1	2
14	av_perc_change	chow	LF/LF	16	7	-3.3113494175388625	9.284719498625194e-4	0.001392707924793779	**	0.41600000000000004		1	3
