baseline	diet	time_frame	coef	haz_ratio	se(coef)	z	p_value	p_adj	signif	weightLoss_haz_toBaseline
LF/LF	chow	days 0 to 3	0.574890166022289	1.777	0.210230804560288	2.7345667407053447	0.006246243125983681	0.006	**	greater
LF/LF	HF/LF	days 0 to 3	-0.7872254149683685	0.455	0.25648400475621014	-3.069296331818555	0.0021456364851765502	0.004	**	less
LF/LF	chow	days 4 to 6	-0.4559789906433528	0.634	0.25263448709404246	-1.8048960610576334	0.07109094830222906	0.142	ns	less
LF/LF	HF/LF	days 4 to 6	-0.12049810200780697	0.886	0.23540898865778873	-0.511867039125569	0.6087440678118767	0.609	ns	less
LF/LF	chow	days 7 to 9	-0.2669586692118511	0.766	0.3221484410851802	-0.8286821699728907	0.40728427763024216	0.407	ns	less
LF/LF	HF/LF	days 7 to 9	0.4818137441297491	1.619	0.34604730634856595	1.392334907078943	0.16382100570504768	0.328	ns	greater
LF/LF	chow	days 10 to 12	-0.7212052102252035	0.486	0.34606193438412025	-2.0840350774456557	0.037156976685446215	0.074	ns	less
LF/LF	HF/LF	days 10 to 12	0.09354360117588857	1.098	0.3716569428025764	0.25169340432738474	0.8012780555003536	0.801	ns	greater
LF/LF	chow	days 13 to 15	-0.3170815595991212	0.728	0.44326256640196426	-0.7153357482291474	0.4744016042088542	0.782	ns	less
LF/LF	HF/LF	days 13 to 15	-0.14969668759523272	0.861	0.5402083215074005	-0.27710918480026037	0.7816962694430989	0.782	ns	less
HF/LF	chow	days 0 to 3	1.3621155809906644	3.904	0.25646332447481107	5.311151540985528	1.0893469799144033e-7	0	****	greater
HF/LF	LF/LF	days 0 to 3	0.7872254149683733	2.197	0.25648400475621036	3.0692963318185704	0.0021456364851764396	0.002	**	greater
HF/LF	chow	days 4 to 6	-0.3354808886355474	0.715	0.2439542868103739	-1.3751793133945514	0.16907586000458621	0.338	ns	less
HF/LF	LF/LF	days 4 to 6	0.12049810200780817	1.128	0.2354089886577885	0.5118670391255745	0.6087440678118728	0.609	ns	greater
HF/LF	chow	days 7 to 9	-0.7487724133416028	0.473	0.2999695772355612	-2.4961611782170965	0.012554554199732386	0.025	*	less
HF/LF	LF/LF	days 7 to 9	-0.48181374412975253	0.618	0.3460473063485657	-1.3923349070789541	0.1638210057050444	0.164	ns	less
HF/LF	chow	days 10 to 12	-0.8147488114010898	0.443	0.3527026609220993	-2.310016060755044	0.020887264966657913	0.042	*	less
HF/LF	LF/LF	days 10 to 12	-0.09354360117588684	0.911	0.3716569428025766	-0.25169340432737997	0.8012780555003572	0.801	ns	less
HF/LF	chow	days 13 to 15	-0.16738487200388677	0.846	0.4880599675265576	-0.34295964254593075	0.7316288214069814	0.782	ns	less
HF/LF	LF/LF	days 13 to 15	0.1496966875952332	1.161	0.5402083215074003	0.27710918480026137	0.7816962694430981	0.782	ns	greater
chow	HF/LF	days 0 to 3	-1.3621155809906607	0.256	0.256463324474811	-5.311151540985515	1.0893469799144818e-7	0	****	less
chow	LF/LF	days 0 to 3	-0.5748901660222927	0.563	0.21023080456028803	-2.7345667407053615	0.006246243125983359	0.006	**	less
chow	HF/LF	days 4 to 6	0.33548088863554415	1.399	0.24395428681037404	1.3751793133945371	0.16907586000459057	0.169	ns	greater
chow	LF/LF	days 4 to 6	0.45597899064335556	1.578	0.2526344870940423	1.8048960610576457	0.0710909483022277	0.142	ns	greater
chow	HF/LF	days 7 to 9	0.748772413341602	2.114	0.29996957723556145	2.496161178217092	0.01255455419973253	0.025	*	greater
chow	LF/LF	days 7 to 9	0.26695866921185124	1.306	0.3221484410851801	0.8286821699728916	0.40728427763024166	0.407	ns	greater
chow	HF/LF	days 10 to 12	0.8147488114010907	2.259	0.3527026609220991	2.3100160607550477	0.020887264966657722	0.037	*	greater
chow	LF/LF	days 10 to 12	0.7212052102252031	2.057	0.3460619343841202	2.084035077445655	0.03715697668544631	0.037	*	greater
chow	HF/LF	days 13 to 15	0.16738487200388807	1.182	0.4880599675265578	0.3429596425459333	0.7316288214069795	0.732	ns	greater
chow	LF/LF	days 13 to 15	0.31708155959912004	1.373	0.4432625664019643	0.7153357482291446	0.4744016042088559	0.732	ns	greater
