day_post_inf	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups	xmin	xmax
1	av_perc_change	chow	HF/LF	12	12	6.870225614927067	6.410044427177985e-12	6.410044427177985e-11	****	2.2944		1	3
1	av_perc_change	chow	LF/HF	12	12	5.152669211195301	2.568047183064753e-7	8.56015727688251e-7	****	2.5204		1	4
1	av_perc_change	chow	LF/LF	12	12	3.4351128074635335	5.923072107999385e-4	9.871786846665643e-4	***	2.7463999999999995		1	5
1	av_perc_change	HF/HF	HF/LF	12	12	5.152669211195301	2.568047183064753e-7	8.56015727688251e-7	****	2.9723999999999995		2	3
1	av_perc_change	HF/HF	LF/HF	12	12	3.4351128074635335	5.923072107999385e-4	9.871786846665643e-4	***	3.1983999999999995		2	4
1	av_perc_change	HF/LF	LF/LF	12	12	-3.4351128074635335	5.923072107999385e-4	9.871786846665643e-4	***	3.8763999999999994		3	5
2	av_perc_change	chow	HF/HF	16	16	3.871365309310122	1.0822745400063614e-4	2.1645490800127227e-4	***	2.86928		1	2
2	av_perc_change	chow	HF/LF	16	16	7.8717761289305805	3.4964141762850465e-15	3.4964141762850466e-14	****	4.32848		1	3
2	av_perc_change	chow	LF/LF	16	15	5.776091661347535	7.64557335683067e-9	3.254035614822318e-8	****	7.24688		1	5
2	av_perc_change	HF/HF	HF/LF	16	16	4.000410819620459	6.323261380233789e-5	1.5808153450584472e-4	***	8.70608		2	3
2	av_perc_change	HF/LF	LF/HF	16	14	-5.734811129088208	9.762106844466954e-9	3.254035614822318e-8	****	13.083680000000001		3	4
2	av_perc_change	LF/HF	LF/LF	14	15	3.744625527845662	1.8066303376954623e-4	3.0110505628257704e-4	***	16.00208		4	5
3	av_perc_change	chow	HF/LF	14	14	5.453031154443625	4.9518389515474025e-8	2.4759194757737014e-7	****	2.0361333333333334		1	3
3	av_perc_change	chow	LF/LF	14	11	3.387222108148421	7.06042033178132e-4	0.0011767367219635535	**	5.566800000000001		1	5
3	av_perc_change	HF/HF	HF/LF	12	14	3.3983369957293514	6.779685093400132e-4	0.0011767367219635535	**	7.332133333333333		2	3
