baseline	diet	time_frame	coef	haz_ratio	se(coef)	z	p_value	p_adj	signif	weightLoss_haz_toBaseline
chow	HF/HF	days 0 to 3	0.29353340686656193	1.341	0.2703699670141138	1.0856731245273221	0.2776236350677401	0.489	ns	greater
chow	HF/LF	days 0 to 3	-1.3087798286788712	0.27	0.38737248281081027	-3.378608153016561	7.285376932144863e-4	0.003	**	less
chow	LF/HF	days 0 to 3	0.2541214843418869	1.289	0.2815539995094825	0.9025674818493505	0.36675549149956865	0.489	ns	greater
chow	LF/LF	days 0 to 3	-0.2034276056842659	0.816	0.30190004217060423	-0.6738243698863368	0.5004229794253506	0.5	ns	less
chow	HF/HF	days 4 to 6	0.4093816865397094	1.506	0.29833168735304694	1.3722366878689807	0.1699897677484129	0.227	ns	greater
chow	HF/LF	days 4 to 6	0.20257489831737432	1.225	0.3075655224202688	0.6586398134722284	0.5101270902343337	0.51	ns	greater
chow	LF/HF	days 4 to 6	0.6173746898646859	1.854	0.26585947559557493	2.3221842609959684	0.02022301609585079	0.04	*	greater
chow	LF/LF	days 4 to 6	1.0728685699767917	2.924	0.37807111669277343	2.8377427489353058	0.004543378414043609	0.018	*	greater
chow	HF/HF	days 7 to 9	0.8203161398700768	2.271	0.5244983427993758	1.5640013951080363	0.11781724078873854	0.236	ns	greater
chow	HF/LF	days 7 to 9	0.727237595867366	2.069	0.6820125060578692	1.0663112324301858	0.28628297359105387	0.289	ns	greater
chow	LF/HF	days 7 to 9	1.0404572345726477	2.831	0.4503091404242255	2.3105398961976604	0.02085828241093441	0.083	ns	greater
chow	LF/LF	days 7 to 9	0.8426516702344207	2.323	0.7940908807856907	1.061152684942916	0.2886205180418246	0.289	ns	greater
chow	HF/HF	days 10 to 12	1.4362350920157252	4.205	0.627388777825997	2.2892266211590693	0.022066188614054818	0.036	*	greater
chow	HF/LF	days 10 to 12	1.5027597743964871	4.494	0.7658498039200136	1.9622121291989487	0.049737792382737595	0.05	*	greater
chow	LF/HF	days 10 to 12	1.466389910421663	4.334	0.5730986256526083	2.558704287157959	0.010506306989233393	0.036	*	greater
chow	LF/LF	days 10 to 12	1.6983412915090514	5.465	0.7664472206059559	2.2158620265676436	0.026700952898769358	0.036	*	greater
chow	HF/HF	days 13 to 15	0.6938829330465981	2.001	1.000171032811554	0.6937642765918168	0.4878300490602928	0.488	ns	greater
chow	HF/LF	days 13 to 15	1.2056904029576827	3.339	1.2255064983696398	0.9838302812442696	0.32519896784071917	0.434	ns	greater
chow	LF/HF	days 13 to 15	1.2056904029576827	3.339	0.8671021724953839	1.3904825073703773	0.16438240752357255	0.329	ns	greater
chow	LF/LF	days 13 to 15	2.3092264349488905	10.067	1.2361387096057799	1.8680965307569177	0.0617486170402115	0.247	ns	greater
HF/LF	chow	days 0 to 3	1.3087798286788637	3.702	0.38737248281080966	3.378608153016547	7.285376932145235e-4	0.001	***	greater
HF/LF	HF/HF	days 0 to 3	1.602313235545426	4.965	0.3830374959453441	4.183175935794185	2.8746475203333117e-5	0	***	greater
HF/LF	LF/HF	days 0 to 3	1.562901313020749	4.773	0.3918013601352897	3.989014516134085	6.634836184606121e-5	0	***	greater
HF/LF	LF/LF	days 0 to 3	1.1053522229945991	3.02	0.4051044050736394	2.728561351471035	0.006361125622748621	0.006	**	greater
HF/LF	chow	days 4 to 6	-0.2025748983173624	0.817	0.30756552242026874	-0.6586398134721897	0.5101270902343585	0.524	ns	less
HF/LF	HF/HF	days 4 to 6	0.20680678822234158	1.23	0.3249139461058312	0.6364971116228428	0.5244524629789513	0.524	ns	greater
HF/LF	LF/HF	days 4 to 6	0.4147997915473178	1.514	0.2947936460558827	1.4070852513174115	0.1594021109449058	0.319	ns	greater
HF/LF	LF/LF	days 4 to 6	0.8702936716594223	2.388	0.39723891903785374	2.190857013122851	0.028462141324387503	0.114	ns	greater
HF/LF	chow	days 7 to 9	-0.7272375958673545	0.483	0.6820125060578711	-1.0663112324301658	0.2862829735910629	0.9	ns	less
HF/LF	HF/HF	days 7 to 9	0.09307854400272116	1.098	0.6900998508485693	0.13487692235879886	0.8927091860905451	0.9	ns	greater
HF/LF	LF/HF	days 7 to 9	0.3132196387052915	1.368	0.6365632509860054	0.4920479437355669	0.6226854510667978	0.9	ns	greater
HF/LF	LF/LF	days 7 to 9	0.11541407436706493	1.122	0.9144125895877625	0.12621662877486864	0.8995604487725729	0.9	ns	greater
HF/LF	chow	days 10 to 12	-1.5027597743964871	0.223	0.7658498039200147	-1.9622121291989458	0.04973779238273781	0.199	ns	less
HF/LF	HF/HF	days 10 to 12	-0.06652468238075886	0.936	0.6910137199356764	-0.09627114550916784	0.9233052271678984	0.955	ns	less
HF/LF	LF/HF	days 10 to 12	-0.03636986397482116	0.964	0.640827344870204	-0.05675454436512485	0.9547407238777004	0.955	ns	less
HF/LF	LF/LF	days 10 to 12	0.19558151711256713	1.216	0.8170997704898221	0.23936063156072485	0.8108259542621757	0.955	ns	greater
