term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
seq_depth	1	1.1630050576365385	0.06303925379402957	8.271363428560893	0.001	***	-15
study	1	0.834971121395484	0.0452585791323232	5.93836591858868	0.002	**	-15
Residual	117	16.45092649098477	0.891702167073647	NA	NA		-15
Total	119	18.448902670016796	1	NA	NA		-15
purified_diet	1	11.94936961924459	0.23795595185890578	40.646936974163566	0.001	***	-8
seq_depth	1	1.5383518071835027	0.030634249356775663	5.232852522192832	0.001	***	-8
high_fat	1	1.9097748793494471	0.038030650463765074	6.4962840408534595	0.001	***	-8
high_fiber	1	3.427039634115669	0.0682449789552784	11.657406913877544	0.001	***	-8
study	1	1.4815039565083516	0.02950219931149523	5.0394790575551545	0.003	**	-8
purified_diet:seq_depth	1	0.24255959603131672	0.004830254766175059	0.8250899358310072	0.522	ns	-8
high_fat:high_fiber	1	0.2701714132429842	0.0053801077254955875	0.9190142037804427	0.419	ns	-8
Residual	100	29.397958391895493	0.5854216075621094	NA	NA		-8
Total	107	50.21672929757135	1	NA	NA		-8
purified_diet	1	7.201900687438375	0.07924936005162463	14.401376095148345	0.001	***	-3
seq_depth	1	16.558071090791362	0.18220419783395547	33.11056615993221	0.001	***	-3
high_fat	1	5.79452533959175	0.0637626711191022	11.587099340856057	0.001	***	-3
high_fiber	1	4.011651070417688	0.044144010571478334	8.0219511952391	0.001	***	-3
study	1	2.0995212170174966	0.02310302794839372	4.198335408699879	0.008	**	-3
purified_diet:seq_depth	1	1.13287712118305	0.012466123981337078	2.26537273975505	0.083	+	-3
high_fat:high_fiber	1	0.5688960328066983	0.006260103893750711	1.137600486740566	0.291	ns	-3
Residual	107	53.50900972689085	0.5888105046003584	NA	NA		-3
Total	114	90.87645228613722	1	NA	NA		-3
purified_diet	1	7.391869046939187	0.08508749287166534	14.294553746411458	0.001	***	0
seq_depth	1	11.988265818355812	0.13799642226959644	23.18316368682341	0.001	***	0
high_fat	1	1.0967930414311873	0.012625138446292077	2.1210017358086435	0.077	+	0
high_fiber	1	3.30367419435445	0.03802845432967147	6.388715496980689	0.002	**	0
study	1	3.1511090592956172	0.03627228349393968	6.093681790474477	0.002	**	0
purified_diet:seq_depth	1	0.8670969221413429	0.00998111610382151	1.6768104897677782	0.154	ns	0
high_fat:high_fiber	1	3.744073094606158	0.043097867498100496	7.240368267008493	0.001	***	0
Residual	107	55.330862512658015	0.6369112249869132	NA	NA		0
Total	114	86.87374368978175	1	NA	NA		0
purified_diet	1	3.9108686501476777	0.3206217768033901	29.6265439476061	0.001	***	3
seq_depth	1	1.7254695162583529	0.1414578579881349	13.071187765856676	0.001	***	3
high_fat	1	0.07428017476658866	0.00608965520077763	0.5627048768500833	0.684	ns	3
high_fiber	1	1.3178356001931473	0.10803911597816866	9.983182207709238	0.001	***	3
study	1	1.5821208801453324	0.12970581553302363	11.985259025327014	0.001	***	3
purified_diet:seq_depth	1	0.21100555535534227	0.017298708324264812	1.5984595541678503	0.164	ns	3
high_fat:high_fiber	1	0.3400552821741396	0.0278784941493583	2.576067790353254	0.04	*	3
Residual	23	3.0361279774134697	0.24890857602288213	NA	NA		3
Total	30	12.197763636454049	1	NA	NA		3
