term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
study	1	1.4023480340438736	0.0760125444383732	9.707361490396126	0.001	***	-15
Residual	118	17.04655463597292	0.9239874555616268	NA	NA		-15
Total	119	18.448902670016796	1	NA	NA		-15
purified_diet	1	11.94936961924459	0.23795595185890578	39.8049868256877	0.001	***	-8
high_fat	1	2.0283671993932675	0.04039226026397873	6.756768952855456	0.001	***	-8
high_fiber	1	3.6514168389253534	0.0727131553568135	12.163369600220488	0.001	***	-8
study	1	1.7171393416256855	0.03419456754043781	5.720026331866151	0.002	**	-8
high_fat:high_fiber	1	0.2502603264515635	0.004983604666257444	0.8336514238670388	0.47	ns	-8
Residual	102	30.62017597193089	0.6097604603136069	NA	NA		-8
Total	107	50.21672929757135	1	NA	NA		-8
purified_diet	1	7.201900687438375	0.07924936005162463	13.479141745836774	0.001	***	-3
high_fat	1	8.803947909731416	0.09687820869163064	16.477547656998095	0.001	***	-3
high_fiber	1	14.433617486164685	0.15882681512168215	27.01408759225782	0.001	***	-3
study	1	1.634660913068391	0.01798772808517472	3.0594459865378902	0.037	*	-3
high_fat:high_fiber	1	0.5636636796030459	0.006202527337095774	1.0549579845777888	0.336	ns	-3
Residual	109	58.23866161013134	0.6408553607127924	NA	NA		-3
Total	114	90.87645228613722	1	NA	NA		-3
purified_diet	1	7.391869046939187	0.08508749287166534	12.54327386630991	0.001	***	0
high_fat	1	1.1680594900167467	0.013445483530533472	1.9820819311577391	0.122	ns	0
high_fiber	1	4.953964476892445	0.05702487617642682	8.406389880968336	0.001	***	0
study	1	3.7239463507953587	0.0428661893988733	6.319170245692241	0.001	***	0
high_fat:high_fiber	1	5.401181022121776	0.06217276696868162	9.165272319054719	0.001	***	0
Residual	109	64.23472330301621	0.7394031910538191	NA	NA		0
Total	114	86.87374368978175	1	NA	NA		0
purified_diet	1	3.9108686501476777	0.3206217768033901	28.04700962174419	0.001	***	3
high_fat	1	0.13178111144118887	0.010803710857894465	0.9450754886425554	0.396	ns	3
high_fiber	1	1.2802692666393183	0.10495934376143552	9.181521460328367	0.001	***	3
study	1	2.9099925353954124	0.23856770979711833	20.86917151675677	0.001	***	3
high_fat:high_fiber	1	0.47885775214209936	0.03925783171523282	3.434154706594175	0.006	**	3
Residual	25	3.4859943206883566	0.28578962706492916	NA	NA		3
Total	30	12.197763636454049	1	NA	NA		3
