term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
high_fat	1	2.028367199393263	0.05799723609383141	6.011420896118625	0.001	***	-8
high_fiber	1	3.651416838925342	0.10440520066952923	10.821612325678057	0.001	***	-8
study	1	1.694540791750506	0.04845211577034956	5.022067960821623	0.002	**	-8
high_fat:high_fiber	1	0.2682568140391064	0.007670284641882854	0.7950259784930775	0.486	ns	-8
Residual	81	27.330933233594724	0.7814751628244068	NA	NA		-8
Total	85	34.97351487770295	1	NA	NA		-8
high_fat	1	8.803947909731404	0.11998857640272695	16.138455935651603	0.001	***	-3
high_fiber	1	14.433617486164716	0.19671506831521537	26.458164244139226	0.001	***	-3
study	1	2.106579009408094	0.02871046251186366	3.861555391612752	0.028	*	-3
high_fat:high_fiber	1	0.5683078416236071	0.007745439838364903	1.0417611682811134	0.318	ns	-3
Residual	87	47.46076521822511	0.6468404529318289	NA	NA		-3
Total	91	73.37321746515295	1	NA	NA		-3
high_fat	1	1.168059490016749	0.016872168758093872	1.8393984522916844	0.131	ns	0
high_fiber	1	4.953964476892455	0.07155810589281991	7.801241862581248	0.001	***	0
study	1	3.107645987100234	0.04488874751920086	4.893756925737293	0.002	**	0
high_fat:high_fiber	1	5.388346372919353	0.07783258481950668	8.48528355231055	0.001	***	0
Residual	86	54.61193903707328	0.7888483930103787	NA	NA		0
Total	90	69.22995536400207	1	NA	NA		0
high_fat	1	0.13178111144118979	0.024181042525160856	0.9300692068357871	0.456	ns	3
high_fiber	1	1.2802692666393163	0.23492172164656241	9.03573363691698	0.001	***	3
study	1	1.8713544606431334	0.34338230492657096	13.207425099732161	0.001	***	3
high_fat:high_fiber	1	0.4660898918957308	0.08552469601463346	3.2895143418417523	0.044	*	3
Residual	12	1.700274910373938	0.31199023488707234	NA	NA		3
Total	16	5.449769640993308	1	NA	NA		3
