group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	200	110	1.8838418893072901	0.05958636549996582	0.05958636549996582	ns	1.251267237532385	1.3132173000278595	-0.06195006249547452	0
HF/HF	0	Chow	dist	200	110	-3.5352236663446766	4.0743013529743446e-4	5.820430504249064e-4	***	1.3009694236507101	1.1811743920460827	0.11979503160462746	0.11979503160462746
HF/HF	3	Chow	dist	145	13	7.946282499549575	1.9219186405063526e-15	9.609593202531763e-15	****	0.8645001624760513	1.57884864332751	-0.7143484808514586	-0.7143484808514586
HF/LF	-3	Chow	dist	200	295	15.647263879248708	3.468130801353395e-55	1.7340654006766975e-54	****	1.251267237532385	1.6757711388815832	-0.42450390134919824	-0.42450390134919824
HF/LF	-3	HF/HF	dist	110	295	10.827384028022273	2.553461367340889e-27	8.511537891136297e-27	****	1.3132173000278595	1.6757711388815832	-0.3625538388537237	-0.3625538388537237
HF/LF	0	HF/HF	dist	110	295	8.056890319009213	7.825981128640015e-16	7.825981128640016e-15	****	1.1811743920460827	1.4193153128433968	-0.2381409207973142	-0.2381409207973142
HF/LF	0	Chow	dist	200	295	5.245252807186929	1.5606817846183431e-7	3.1213635692366863e-7	****	1.3009694236507101	1.4193153128433968	-0.11834588919268674	-0.11834588919268674
HF/LF	3	HF/HF	dist	13	100	-4.018889033288798	5.847319981893531e-5	9.745533303155885e-5	****	1.57884864332751	1.0655496452989275	0.5132989980285825	0.5132989980285825
HF/LF	3	Chow	dist	145	100	8.583181082031071	9.228491147870889e-18	9.228491147870889e-17	****	0.8645001624760513	1.0655496452989275	-0.20104948282287616	-0.20104948282287616
LF/HF	-3	Chow	dist	200	128	-1.980998822281677	0.04759140566130004	0.05287933962366671	ns	1.251267237532385	1.1731449707771788	0.07812226675520617	0
LF/HF	-3	HF/HF	dist	110	128	-3.4446952531188466	5.717035586173791e-4	7.146294482717239e-4	***	1.3132173000278595	1.1731449707771788	0.1400723292506807	0.1400723292506807
LF/HF	-3	HF/LF	dist	295	128	-15.65990425388756	2.8432494237655445e-55	1.7340654006766975e-54	****	1.6757711388815832	1.1731449707771788	0.5026261681044044	0.5026261681044044
LF/HF	0	HF/HF	dist	110	116	7.095580729350252	1.2880943594249507e-12	4.293647864749836e-12	****	1.1811743920460827	1.413543265384476	-0.2323688733383933	-0.2323688733383933
LF/HF	0	Chow	dist	200	116	4.49555273065386	6.938945898706299e-6	1.1564909831177166e-5	****	1.3009694236507101	1.413543265384476	-0.11257384173376583	-0.11257384173376583
LF/HF	0	HF/LF	dist	295	116	0.4035074297277872	0.6865749701404844	0.6865749701404844	ns	1.4193153128433968	1.413543265384476	0.005772047458920904	0
LF/HF	3	Chow	dist	145	12	6.008842486289814	1.8685254898781165e-9	6.228418299593722e-9	****	0.8645001624760513	1.1954270543003753	-0.330926891824324	-0.330926891824324
LF/HF	3	HF/HF	dist	13	12	-1.2380682998574193	0.21569073683964607	0.21569073683964607	ns	1.57884864332751	1.1954270543003753	0.38342158902713463	0
LF/HF	3	HF/LF	dist	100	12	2.2561127052980066	0.024063573638525498	0.02673730404280611	*	1.0655496452989275	1.1954270543003753	-0.12987740900144784	-0.12987740900144784
LF/LF	-3	Chow	dist	200	275	7.18077488561507	6.931740769151781e-13	1.1552901281919635e-12	****	1.251267237532385	1.4410485768628358	-0.18978133933045083	-0.18978133933045083
LF/LF	-3	HF/HF	dist	110	275	3.933000852949658	8.389193992509331e-5	1.1984562846441902e-4	***	1.3132173000278595	1.4410485768628358	-0.1278312768349763	-0.1278312768349763
LF/LF	-3	LF/HF	dist	128	275	8.332366292280945	7.924233025528926e-17	1.5848466051057852e-16	****	1.1731449707771788	1.4410485768628358	-0.267903606085657	-0.267903606085657
LF/LF	-3	HF/LF	dist	295	275	-9.137212170656333	6.40829655349365e-20	1.6020741383734127e-19	****	1.6757711388815832	1.4410485768628358	0.23472256201874742	0.23472256201874742
LF/LF	0	HF/LF	dist	295	259	-7.205955162448603	5.763836859435087e-13	2.8819184297175437e-12	****	1.4193153128433968	1.26216312564431	0.15715218719908686	0.15715218719908686
LF/LF	0	HF/HF	dist	110	259	2.5173717389927734	0.011823400908558978	0.014779251135698722	*	1.1811743920460827	1.26216312564431	-0.08098873359822734	-0.08098873359822734
LF/LF	0	Chow	dist	200	259	-1.4145532567856762	0.15719952208515917	0.17466613565017686	ns	1.3009694236507101	1.26216312564431	0.03880629800640012	0
LF/LF	0	LF/HF	dist	116	259	-5.888049076818318	3.907810879385323e-9	9.769527198463306e-9	****	1.413543265384476	1.26216312564431	0.15138013974016595	0.15138013974016595
LF/LF	3	HF/LF	dist	100	105	-2.582054767878868	0.009821399749562152	0.01227674968695269	*	1.0655496452989275	1.009597252282806	0.05595239301612143	0.05595239301612143
LF/LF	3	Chow	dist	145	105	5.891242270730015	3.833031112101768e-9	9.58257778025442e-9	****	0.8645001624760513	1.009597252282806	-0.14509708980675473	-0.14509708980675473
LF/LF	3	HF/HF	dist	13	105	-5.257023300889549	1.4640576903191597e-7	2.9281153806383193e-7	****	1.57884864332751	1.009597252282806	0.5692513910447039	0.5692513910447039
LF/LF	3	LF/HF	dist	12	105	-3.4458585064374962	5.69248332615786e-4	8.132119037368372e-4	***	1.1954270543003753	1.009597252282806	0.18582980201756927	0.18582980201756927
