day_post_inf.y	term	estimate	std.error	statistic	p.value	signif
-3	purified_diet.y	0.0057960908507775286	0.08423122451766936	0.06881166555475719	0.9451532751839913	ns
-3	seq_depth.y	2.8698984723063792e-6	1.778421587736313e-6	1.6137334882216352	0.10690041704986167	ns
-3	high_fat.y	0.23728063734200186	0.020388745710233695	11.637824156240466	1.8914717086578032e-29	****
-3	high_fiber.y	-0.2968475695198111	0.03126734037833605	-9.493854159897959	1.577054412767563e-20	****
-3	purified_diet.y:seq_depth.y	-2.156226286261573e-6	1.8296716531929128e-6	-1.1784771778580043	0.2388864886219661	ns
-3	high_fat.y:high_fiber.y	-0.08267571266473617	0.03820666284611268	-2.1639082428563365	0.030707352343777694	*
0	purified_diet.y	0.09763781464471633	0.08141904705674591	1.1992011473269464	0.2307416935295654	ns
0	seq_depth.y	-4.739290011378636e-6	1.5357606309351696e-6	-3.085956180874844	0.0020863639834643624	**
0	high_fat.y	0.10858979385523881	0.020594092881914525	5.272861226657913	1.6550025603145946e-7	****
0	high_fiber.y	0.19326995070028383	0.02648364444097876	7.297709766909297	6.071584597106883e-13	****
0	purified_diet.y:seq_depth.y	-1.5745708899312096e-7	1.6300631732346082e-6	-0.09659569738065533	0.9230673654042744	ns
0	high_fat.y:high_fiber.y	-0.33888888050315974	0.03729527893832836	-9.086642871435494	5.58533361117658e-19	****
3	purified_diet.y	0.49594380277099254	0.17092502224984343	2.9015283791864293	0.003936818650374937	**
3	seq_depth.y	1.499863739198107e-6	3.122427886515252e-6	0.48035176270220026	0.6312627006783809	ns
3	high_fat.y	0.06771214918211224	0.025495120831033554	2.655886576528425	0.0082540311749961	**
3	high_fiber.y	0.2110657733287028	0.05544514342204074	3.8067495239772295	1.6489047805140833e-4	***
3	purified_diet.y:seq_depth.y	-3.24956708185401e-6	3.505342824850135e-6	-0.9270326025794466	0.35451718780653807	ns
3	high_fat.y:high_fiber.y	0.28610445928727724	0.07967526581071206	3.590881767084252	3.7426018130393005e-4	***
