sample_type,mouse_id,high_fat,high_fiber,purified_diet,facility,study,diet,histopathology,bile_acid,metabolomics,toxin,hypoxia,sequencing
cecum,9696,0,0,0,2,1,Chow,0,0,0,0,0,1
cecum,9740,0,0,0,2,2,Chow,1,1,1,1,1,1
cecum,9939,0,0,0,2,5,Chow,1,0,0,1,0,1
cecum,117,0,0,0,1,7,Chow,1,1,1,1,0,1
cecum,9685,0,0,0,2,1,Chow,0,0,0,0,0,1
cecum,9741,0,0,0,2,2,Chow,1,1,1,1,1,1
cecum,9943,0,0,0,2,5,Chow,1,1,1,1,1,1
cecum,9965,0,0,0,2,6,Chow,1,1,1,1,0,1
cecum,116,0,0,0,1,7,Chow,1,1,1,1,0,1
cecum,9690,0,0,0,2,1,Chow,0,0,0,0,0,1
cecum,9743,0,0,0,2,2,Chow,1,1,1,1,1,1
cecum,9941,0,0,0,2,5,Chow,1,1,1,1,1,1
cecum,9962,0,0,0,2,6,Chow,1,1,1,1,1,1
cecum,115,0,0,0,1,7,Chow,1,0,0,1,0,1
cecum,9695,0,0,0,2,1,Chow,0,0,0,0,0,1
cecum,9742,0,0,0,2,2,Chow,1,1,1,1,1,1
cecum,114,0,0,0,1,7,Chow,1,1,1,1,0,1
cecum,9688,0,0,0,2,1,Chow,0,0,0,0,0,1
cecum,9837,1,1,1,1,3,HF/HF,1,1,1,1,1,1
cecum,9879,1,1,1,2,4,HF/HF,1,0,0,0,1,1
cecum,103,1,1,1,1,7,HF/HF,1,1,1,1,0,1
cecum,9877,1,1,1,2,4,HF/HF,1,0,0,0,1,1
cecum,9836,1,1,1,1,3,HF/HF,1,1,1,1,1,1
cecum,9878,1,1,1,2,4,HF/HF,1,0,0,0,0,1
cecum,9699,1,0,1,2,1,HF/LF,0,0,0,0,0,1
cecum,9847,1,0,1,1,3,HF/LF,1,1,1,1,1,1
cecum,9953,1,0,1,2,5,HF/LF,1,1,1,1,0,1
cecum,9974,1,0,1,2,6,HF/LF,1,1,1,1,0,1
cecum,113,1,0,1,1,7,HF/LF,1,1,1,1,0,1
cecum,9693,1,0,1,2,1,HF/LF,0,0,0,0,0,1
cecum,9849,1,0,1,1,3,HF/LF,1,1,1,1,1,1
cecum,9886,1,0,1,2,4,HF/LF,1,0,0,0,0,1
cecum,9949,1,0,1,2,5,HF/LF,1,1,1,1,1,1
cecum,9972,1,0,1,2,6,HF/LF,1,1,1,1,0,1
