	shannon_entropy
Chow1.042122	3.8316070499624666
Chow1.050622	5.13823739778096
Chow1.070122	3.0128824487231527
Chow1.081222	5.657231816615627
Chow2.042122	4.630767542436376
Chow2.050622	4.961374620789995
Chow2.070122	2.5364555001069258
Chow2.071522	2.6074821589412918
Chow2.081222	4.262767987098228
Chow3.042122	4.331908971283601
Chow3.050622	5.161399855527721
Chow3.070122	2.798051114181199
Chow3.071522	5.089251349740019
Chow3.081222	4.026031970542951
Chow4.042122	4.704861274072879
Chow4.050622	5.271384890863034
Chow4.081222	3.777232349242279
Chow5.042122	4.641946107129068
Ctrl1.042122	2.6746731334700313
Ctrl1.061722	3.3396097340923956
Ctrl1.070122	2.162729623411074
Ctrl1.071522	1.9586001850940997
Ctrl1.081222	2.2549032875640607
Ctrl2.042122	4.27680748335347
Ctrl2.060322	1.8418839598838561
Ctrl2.061722	2.9110068626744545
Ctrl2.070122	2.749889965898451
Ctrl2.071522	2.107979267264255
Ctrl2.081222	2.1753459421899017
Ctrl3.042122	3.6281477390958465
Ctrl3.061722	3.4229967316342274
Ctrl3.070122	2.401664604418761
Ctrl3.071522	2.3625859500791635
Ctrl3.081222	1.9857989462804202
Ctrl4.042122	3.841875320778833
Ctrl4.070122	2.622424366665823
Ctrl4.071522	1.7409766680048155
Ctrl5.042122	3.511802049538949
Ctrl5.061722	2.796617348923099
CtrlF1.050622	2.886402061629944
CtrlF1.060322	2.901061356152745
CtrlF2.060322	1.8317847852039444
CtrlF2.061722	1.8327697461443804
CtrlF3.060322	2.4120708832723428
CtrlF3.061722	1.83772277254731
CtrlF4.060322	2.373809900516927
CtrlF4.061722	2.0016662806707375
CtrlF5.060322	2.5107085436916825
W+F2.060322	2.0460608179340882
W+F4.060322	2.2553923308036437
WD-3.061722	2.0631027652527862
WD+1.081222	1.6876144486303024
WD+F.081222	1.896260477060399
WD1.042122	3.736260596544299
WD1.060322	1.1634760229181667
WD1.070122	2.0370049939353976
WD1.071522	0.6217846647699578
WD2.042122	4.03306777552278
WD2.060322	0.44980201901857947
WD2.061722	1.7067961805164795
WD2.070122	2.3240727888092745
WD2.071522	0.08269121854994588
WD3.042122	4.097751864290437
WD3.060322	1.0119445767139437
WD3.070122	1.9596215533800796
WD3.071522	1.4757181146309084
WD4.042122	3.7144985104844026
WD4.060322	1.330394059897198
WD4.070122	2.0820764163560823
WD4.071522	0.0900386851953386
WD5.042122	4.0935860971044615
WD5.060322	0.23485938157602682
WD5.061722	1.5383134048583753
WD5.071522	0.1790456474753138
WDF2.061722	2.6197157753843667
WDF3.061722	2.40310016590123
WDF4.061722	1.909675558060706
