	Chow1.042122	Chow1.050622	Chow1.070122	Chow1.081222	Chow2.042122	Chow2.050622	Chow2.070122	Chow2.071522	Chow2.081222	Chow3.042122	Chow3.050622	Chow3.070122	Chow3.071522	Chow3.081222	Chow4.042122	Chow4.050622	Chow4.081222	Chow5.042122	Ctrl1.042122	Ctrl1.061722	Ctrl1.070122	Ctrl1.071522	Ctrl1.081222	Ctrl2.042122	Ctrl2.060322	Ctrl2.061722	Ctrl2.070122	Ctrl2.071522	Ctrl2.081222	Ctrl3.042122	Ctrl3.061722	Ctrl3.070122	Ctrl3.071522	Ctrl3.081222	Ctrl4.042122	Ctrl4.070122	Ctrl4.071522	Ctrl5.042122	Ctrl5.061722	CtrlF1.050622	CtrlF1.060322	CtrlF2.060322	CtrlF2.061722	CtrlF3.060322	CtrlF3.061722	CtrlF4.060322	CtrlF4.061722	CtrlF5.060322	W+F2.060322	W+F4.060322	WD-3.061722	WD+1.081222	WD+F.081222	WD1.042122	WD1.060322	WD1.070122	WD1.071522	WD2.042122	WD2.060322	WD2.061722	WD2.070122	WD2.071522	WD3.042122	WD3.060322	WD3.070122	WD3.071522	WD4.042122	WD4.060322	WD4.070122	WD4.071522	WD5.042122	WD5.060322	WD5.061722	WD5.071522	WDF2.061722	WDF3.061722	WDF4.061722
Chow1.042122	0	0.5899644565918177	0.4662508588964946	0.7480310191250884	0.3750823354462851	0.6729347825754106	0.4146039592591287	0.4332088504753926	0.6800866805001451	0.3396867103106208	0.6828902138622382	0.3589238678867872	0.5819185505788776	0.7310233501081493	0.4116333709928448	0.6052257359151573	0.5705306159509844	0.5161547031105067	0.5339300736303825	0.4896146361243396	0.6248656088715208	0.6523514598051404	0.4810540619010743	0.5129565294554137	0.6658849523164264	0.4072927090023654	0.4783843457361823	0.5688675100150136	0.6064023924905872	0.4508707780337012	0.4589923694283415	0.5144846843832094	0.6473351505231209	0.625034468077891	0.4829979812514055	0.5017825552314024	0.6703932308790338	0.43716363896896	0.4026383732825846	0.4182620790785783	0.6285387133890715	0.6687255202350706	0.5997654901967667	0.6420244086909119	0.5884531271226968	0.6584721930082487	0.5954402250029822	0.579790963247043	0.6152642708219069	0.702116334102283	0.598713606391539	0.5529968286786273	0.5672939664870933	0.431754746605466	0.6891187195551723	0.544939972357721	0.7310384792376932	0.4585821717500861	0.6187956979641427	0.6094091778407802	0.6561297012866482	0.7761963793861064	0.4862369425518392	0.6522023301403248	0.6676553099532228	0.6779565208800694	0.4868128447451583	0.5927454620416022	0.6296280153700343	0.7691778487551949	0.4374703942309418	0.8385186112675723	0.6033386782629896	0.7101834077082742	0.4735636047787984	0.4579681688355933	0.5761566404927744
Chow1.050622	0.5899644565918177	0	0.6132763197121973	0.6309039322647038	0.4905310536186638	0.3946084719532136	0.614485047482193	0.6324048161120382	0.6211842447571793	0.4698650468401246	0.3473872694085633	0.6502760952419834	0.3679077822429336	0.6859807067738957	0.4581688528928331	0.3067763846135633	0.6519455112549916	0.5106726006678686	0.7656984443462831	0.5506570391617945	0.8160769589299437	0.8301825370240817	0.7523010790958907	0.4554163383513169	0.7951899308038223	0.6779588709953004	0.6968235445869807	0.7969645781225596	0.7768188958838634	0.5098014668447549	0.5907471172922211	0.7674101579668928	0.8208430296220192	0.814903206342021	0.5235006270063376	0.7495734714324881	0.8441739707532525	0.5073244262193203	0.6279448873330276	0.6187560208789983	0.7503537699120915	0.8406932088800666	0.7898434297658999	0.803866321718446	0.7570923574541417	0.7675490340633258	0.7981612235116567	0.7561911889362163	0.770374118081524	0.8385767059401752	0.7931361026612082	0.778550285706194	0.7813719815678931	0.5745473835379662	0.8500806030989657	0.7841892430884198	0.8696047171931229	0.5202807944842515	0.8107358991209647	0.8068503482955739	0.8439078164336589	0.8720912303651064	0.494684872228035	0.8237471994782204	0.8440617317838993	0.8568058094761259	0.4980163893948124	0.8007903668877292	0.8218768344966452	0.8903761364908785	0.5098533799348803	0.9206398824016206	0.79485106947132	0.8573170771459273	0.6795848731470661	0.6723195127389195	0.799882600808217
Chow1.070122	0.4662508588964946	0.6132763197121973	0	0.7742822969831775	0.417582151502649	0.7050893222045131	0.3616707812600435	0.4005323226668637	0.6899795901343511	0.3866433691279962	0.6904017463003544	0.3712748884688027	0.5869150944119016	0.7490724267235488	0.4645223150222851	0.5835617390359433	0.5718071366255384	0.5206998993396232	0.4811673236737815	0.4366978947426842	0.5680495890043736	0.6036932862651576	0.5444606369172541	0.5147372573189252	0.6045035079155001	0.432865075691934	0.3844644760855337	0.5645501070681593	0.6879244849115935	0.4028099671390084	0.4066294949440029	0.4837333165965654	0.6124089373989992	0.6271756482844129	0.4276151547480561	0.431907163484763	0.6714225136006018	0.3714405961362827	0.4531022804392465	0.4885652461159139	0.6512478403082733	0.6946625352762578	0.5532195710219394	0.5830482663049144	0.6111657344144165	0.556533262938217	0.592131712775661	0.5545321137656675	0.5816211412914425	0.7087329569865606	0.5619835938174328	0.5134998786838032	0.5794256359410057	0.568726216394795	0.7034435916402967	0.5192586978314832	0.7141740656336484	0.4281319919453681	0.5634377451850967	0.6146748155787799	0.6436858034658314	0.7364542482192499	0.5005768626059567	0.6417923384613338	0.6653676400241856	0.6872280489648934	0.453836836142712	0.6035981348925475	0.5729245577758777	0.7685131410089798	0.4369812248714586	0.8496052807293443	0.5674657795337669	0.6987625920076413	0.2593162264687693	0.4008906010205237	0.5753478425777699
Chow1.081222	0.7480310191250884	0.6309039322647038	0.7742822969831775	0	0.7415996254615272	0.5767765682446181	0.7328576399362714	0.7875900081887658	0.4323554387507086	0.7304773855765462	0.6007394541846403	0.774087497615934	0.6551316549973839	0.450496761025527	0.6876386874366599	0.5977387153106087	0.6125932095069114	0.6985522202878411	0.7949279924594184	0.7308110379938596	0.8345007529519718	0.8408936799447652	0.7908763322639202	0.7015129119415097	0.7699658804107852	0.7766824206722454	0.8080778546609483	0.833396095854614	0.7346703157265668	0.7524085803973899	0.7481466364269981	0.7986488184906275	0.8118554980316864	0.8284277096546142	0.7510313719093039	0.8120600247690384	0.864906356833087	0.7379507415067519	0.746619823758935	0.7454692161438919	0.714345145744859	0.8435953029275008	0.8204509160081339	0.8177710910026961	0.8040077158091894	0.7958848371673377	0.8355036409779304	0.7642555106789963	0.7675511090155711	0.8249688517749625	0.8179726264239838	0.8019563096418075	0.7866896339934714	0.7329951847441666	0.8817591862612073	0.8258067551367235	0.8662686674266259	0.7702529278014476	0.8040935039152795	0.8551940365467382	0.8519222055855122	0.872770179831302	0.7361826314743689	0.8188421553994583	0.8558843275369621	0.8668079439650456	0.730804612852479	0.7850621656537343	0.823435049693147	0.8859347980893806	0.7540458153576146	0.9152518806210618	0.8388635812017007	0.8523132435865035	0.7866105190613333	0.7904449678460299	0.8375424092869334
Chow2.042122	0.3750823354462851	0.4905310536186638	0.417582151502649	0.7415996254615272	0	0.5851419501863857	0.4776284109196194	0.5168869695304497	0.6624572842770615	0.2224802356350229	0.5576231626775614	0.5228767965790618	0.4483974117144049	0.7117833816832928	0.2659461427880183	0.5228668840416815	0.5729307704426229	0.3770782102011975	0.6720514313927618	0.4329509261255074	0.7301992422249414	0.7543374415697386	0.639789488614814	0.3738090852379525	0.7555451941828063	0.5702750942506124	0.5498878182225242	0.7066911385239367	0.6950638984109484	0.3601878135657042	0.4805959503550153	0.656518148071913	0.7474738966822296	0.7419009406685143	0.398813709857858	0.6553845326191687	0.7753245872157124	0.3487805755450601	0.5429748583948502	0.546521963121707	0.6980873510474322	0.7713370846190089	0.7098215199074783	0.6923187966756303	0.6955960735447126	0.7176773339477358	0.7147642554566522	0.694938429055574	0.662637392005146	0.781725610449916	0.7216289340444221	0.6821427930485112	0.70038805618766	0.4740995638450046	0.7870513734713048	0.6865977986917384	0.8144604472905148	0.3583580867629211	0.7330753135630642	0.7250379379614551	0.7647190908548877	0.8338423040849824	0.3765964585743787	0.749432169761139	0.7681862037435847	0.7804434245400205	0.402121733670271	0.7180361700251834	0.7416460159337727	0.8432840211321964	0.3301108617806109	0.8877100829928802	0.7258088169891158	0.7998538871037034	0.5101068456883804	0.5457666003481753	0.70098949955718
Chow2.050622	0.6729347825754106	0.3946084719532136	0.7050893222045131	0.5767765682446181	0.5851419501863857	0	0.7031063740053092	0.7368940885570568	0.6219554805746768	0.5907616108036513	0.3137968068731363	0.7361725414606507	0.5128568106502798	0.6738500305449292	0.5691770336351961	0.425286829816449	0.7023874654815945	0.5715161024834964	0.8421703301325086	0.6643759679022713	0.861472860395133	0.8587353184214902	0.7970691122404842	0.5670382623159141	0.8264396374728009	0.7688160351470208	0.7764951834875586	0.8614981201283783	0.7955769073785789	0.6450490960286073	0.7055194984430641	0.829075727404522	0.8530448183588102	0.8615313676393499	0.6575095943383533	0.8282419200668676	0.8861963242263465	0.6498374974231369	0.7201040691032858	0.7358923966750875	0.8029046194638163	0.8714321861513121	0.8333867227087619	0.8337198384150074	0.8227007481897869	0.8243417174359471	0.8450369832060223	0.8249416474520571	0.8110555802506073	0.8604411261880823	0.8572559905792763	0.8212837528492412	0.8383712062386086	0.6864398091536004	0.9053173257382022	0.8322519521188728	0.8878564661003406	0.6516814840609447	0.8273720329473244	0.8694524269783361	0.880418369123588	0.8988866675741752	0.621596931280671	0.8588319096555223	0.8804342616397435	0.886198248498264	0.6333554836689909	0.8301322851487071	0.8573349044519708	0.9056078464731145	0.6236477266552538	0.9333804622757556	0.8676749629887504	0.8825824773663133	0.7584504170719699	0.7653612843067628	0.857116844533926
Chow2.070122	0.4146039592591287	0.614485047482193	0.3616707812600435	0.7328576399362714	0.4776284109196194	0.7031063740053092	0	0.431202665163712	0.6524386296714825	0.428174691315454	0.6806610471740725	0.4303906825133463	0.569030040812542	0.6968359311973177	0.4866584510237758	0.5967804842206167	0.5088801154222637	0.519175284901659	0.5540956391180577	0.4828670973425682	0.6436506026311024	0.6947076030096593	0.5482271576832265	0.465386250088034	0.6312649531059557	0.3915637076470288	0.5030288401345228	0.5941683951834157	0.6653861535471542	0.4001696895552591	0.4616199261601661	0.5502703187298559	0.6433813470764336	0.6569867749921234	0.4220454873425929	0.5053319778376649	0.6887582252131856	0.3722981695266095	0.3684518357571596	0.4525422143449789	0.6442519036701096	0.6973649763301021	0.6365318197944617	0.6511077827136935	0.5814041551005313	0.6034166056522878	0.6040011051108284	0.5696031394671048	0.5652573121217878	0.7095912589587945	0.6090044320367803	0.5609873641791293	0.6030752095509898	0.4463032007442023	0.718995840359292	0.5730423683094227	0.7504392067854304	0.4335741419725151	0.6460293879663858	0.6335583060675249	0.6773677062637479	0.7689495625611849	0.4636565334771489	0.6831609371116892	0.6869289635267483	0.6956348466155803	0.4395079173072375	0.6450337539649472	0.6513757596437342	0.787828007513073	0.4409585472026797	0.8548175229399141	0.6139234708041003	0.727198792609873	0.4176492062284936	0.4157131691172795	0.5927290821083816
Chow2.071522	0.4332088504753926	0.6324048161120382	0.4005323226668637	0.7875900081887658	0.5168869695304497	0.7368940885570568	0.431202665163712	0	0.7381974498894242	0.5012600907065649	0.7190886677901834	0.4145789777515404	0.6221096814637664	0.7673395748444589	0.5182217822100894	0.6440996477650386	0.6226778431520923	0.6088298570062961	0.4745923038762343	0.4317198618402698	0.5484559987739465	0.6060075915292442	0.4777899187565586	0.515684014663996	0.590169717789515	0.2873737835883003	0.293517066574597	0.5164045908945599	0.6372536717341029	0.3751198142998517	0.2948642418316477	0.4752536402960135	0.6164050299746479	0.5835260279450611	0.3866685995060199	0.4752505505027139	0.6174635096387637	0.3772528261884179	0.3662316964705903	0.4282688278100994	0.6260028745481907	0.6416966828114761	0.6271630501709575	0.6665621144194785	0.538813747574356	0.6202892925254554	0.5878385482001304	0.5523235529960359	0.5541656779498535	0.6431636032893179	0.6119694630432936	0.5096724612532555	0.5471439631600985	0.4672613163365124	0.6560139199551934	0.4646102229375434	0.6649011901659743	0.365959346216183	0.605314150739213	0.6218967047752003	0.5927983739089011	0.7671384472259564	0.4480591299354185	0.5618188370707763	0.5789093095564696	0.6362074621101234	0.4244986145044973	0.6178464740973729	0.5220262761095412	0.7077508931141326	0.3902458031853402	0.8255429030278705	0.5550657688259366	0.6234198839064118	0.3589732471349851	0.3503996362475988	0.5542864653514413
Chow2.081222	0.6800866805001451	0.6211842447571793	0.6899795901343511	0.4323554387507086	0.6624572842770615	0.6219554805746768	0.6524386296714825	0.7381974498894242	0	0.6349477333299717	0.6507026171902048	0.71874427347377	0.6372518640767441	0.4519593700674139	0.627908786364604	0.614691429037069	0.421758780233499	0.6760021720622276	0.7220433850870066	0.6808617074709356	0.7969549824574179	0.8214449322809239	0.7311024988363319	0.6320652076891982	0.6928867958497368	0.7125716000264209	0.7583366897006037	0.7903646838834784	0.6434698671242797	0.664897614200835	0.6783677176546784	0.7350543915501075	0.7606503814883173	0.7837045228772006	0.6726558006389172	0.7513024135209271	0.8361592288655258	0.6540112983422799	0.6921679994533272	0.6885426392301945	0.623259819103556	0.7590106703309348	0.7644942629342155	0.7354729806974603	0.7461282336847084	0.6397356863311862	0.791248071439277	0.6278528280567428	0.6866692007269181	0.7255942236781187	0.7845350382177917	0.7621932407573286	0.7232047792232842	0.7007843153269513	0.8637159438830951	0.7842090580590197	0.828476137636734	0.6912863120632533	0.7499405636611925	0.8234619411922049	0.8206258519214831	0.838569954560368	0.6768038995553739	0.7660697635540683	0.8264812611467917	0.8389128975476446	0.6711942231897773	0.7050075911269413	0.7783490073944088	0.8696438818441978	0.6745705802060961	0.8678002234775413	0.8027379877856043	0.8192433842135735	0.7430310714358263	0.700142434196745	0.7963198956301863
Chow3.042122	0.3396867103106208	0.4698650468401246	0.3866433691279962	0.7304773855765462	0.2224802356350229	0.5907616108036513	0.428174691315454	0.5012600907065649	0.6349477333299717	0	0.5804448346841595	0.5028474292039313	0.4405340604722264	0.7011435121531321	0.2536183979563508	0.4970010384173396	0.5460415565021676	0.3255996045138039	0.6400009371313156	0.4063735381373155	0.7258432388785517	0.7484688483886851	0.6297229190943427	0.3785893355845347	0.718004426211636	0.5650915088248935	0.5444550305686937	0.6990097094913275	0.6874613239263946	0.3174539162423799	0.4770901021206099	0.6455967075717193	0.7238906602243153	0.736101794263252	0.3469320671396092	0.6225966804240008	0.7745143038952892	0.2919879558357246	0.544935019909941	0.5261883662542542	0.6855277999766155	0.7661854610241153	0.702867094076806	0.690181927259652	0.6881384150282125	0.6683928455324245	0.7127514389396058	0.6466243962344721	0.6494686172630271	0.7660311307913836	0.6769006013005782	0.6573852148345695	0.6671849136970001	0.4433001104873822	0.779880812696748	0.6762813294094224	0.8063669596787135	0.3278826523341268	0.7222846025095252	0.7087758955329786	0.7561637904816884	0.8157848057847755	0.3680569138240546	0.7306433092203297	0.7650523622807482	0.7797383050810043	0.3453028371515567	0.7040947325731602	0.7350834060481652	0.832689986140883	0.3008473009048195	0.8852606800808073	0.7105879348139328	0.7923432148400019	0.492012654340532	0.5365609587524508	0.6987203910876378
