tube_label	reisdorph_lab_id	collection_date	sample_type	Tauro_ beta_muricholic_acid_T-b-MCA	Taurocholic_acid_T-CA	Taurochenodeoxycholic_acid_T-CDCA	Taurodeoxycholic_acid_T-DCA	Glycocholic_acid_G-CA	Alpha_muricholic_acid_a-MCA	Beta_muricholic_acid_b-MCA	Taurolithocholic_acid_T-LCA	Cholic_acid_CA	Glycochenodeoxycholic_acid_G-CDCA	Glycodeoxycholic_acid_G-DCA	Ursodeoxycholic_acid_UDCA	Chenodeoxycholic_acid_CDCA	Deoxycholic_acid_DCA	Glycolithocholic_acid_G-LCA	Lithocholic_acid_LCA
Chow.1	1	44672	Chow	489.4257548	304.8222006	4.041894053	15.96979045	<LOD	115.3858444	1866.7583	<LOQ	70.63265839	<LOD	<LOD	<LOD	<LOD	536.9297419	<LOD	42.51198499
Chow.2	2	44672	Chow	382.2701481	127.9852854	1.25280478	8.042622854	<LOD	107.3604293	1661.573068	<LOQ	14.55276167	<LOD	<LOD	<LOD	<LOD	360.8533953	<LOD	24.37113334
Chow.3	3	44672	Chow	388.8128392	232.2235337	2.23884076	15.16907095	<LOD	112.2742065	2006.658328	<LOQ	31.12149499	<LOD	<LOD	<LOD	<LOD	617.3050548	<LOD	43.39443384
Chow.4	4	44672	Chow	692.7919243	389.9732984	2.79709993	10.6207446	<LOD	56.29545264	1346.629221	<LOQ	53.48469684	<LOD	<LOD	<LOD	<LOD	320.3186042	<LOD	19.21104999
Chow.5	5	44672	Chow	342.305122	57.82855936	<LOQ	10.94694953	<LOD	116.6501318	2154.664812	<LOQ	9.637902261	<LOD	<LOD	<LOD	<LOD	606.555712	<LOD	31.0047703
Ctrl.1	6	44672	Ctrl	775.2900161	2053.64755	10.97246455	<LOD	<LOD	<LOD	58.64880736	<LOD	109.700098	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.2	7	44672	Ctrl	3017.21096	4074.44843	39.57464376	203.7286146	<LOD	148.3756985	1377.391684	5.557781284	189.9290605	<LOD	<LOD	23.85177021	<LOD	887.6105913	<LOD	33.70876887
Ctrl.3	8	44672	Ctrl	2786.691116	4399.750708	26.60794613	314.9915262	<LOD	172.8299292	2320.314925	10.44245694	89.25354836	<LOD	<LOD	14.58001825	<LOD	863.5996008	<LOD	53.28141102
Ctrl.4	9	44672	Ctrl	1977.11889	2814.74033	16.81640952	169.4114571	<LOD	104.0989532	1405.76078	6.079342299	168.0073998	<LOD	<LOD	13.42468435	<LOD	691.0364073	<LOD	42.14569165
Ctrl.5	10	44672	Ctrl	2874.17247	5990.398586	23.66625194	35.42057217	<LOD	33.28908798	411.0076404	<LOQ	264.4160339	<LOD	<LOD	<LOD	<LOD	349.1556694	<LOD	16.33305675
WD.1	11	44672	WD	188.08527	121.1333902	1.436918865	32.16180774	<LOD	48.09578022	757.3233086	<LOQ	33.02734228	<LOD	<LOD	<LOD	<LOD	302.1738076	<LOD	10.56450538
WD.2	12	44672	WD	7361.568625	19185.52355	104.9888669	816.6855193	2.902888356	239.5840206	3026.80626	7.720371807	675.3138512	<LOD	0.620898886	47.38196156	<LOD	1031.205457	<LOD	21.35822992
WD.3	13	44672	WD	3107.361248	2696.649506	15.92608313	559.329642	<LOD	285.8171712	5012.402325	16.15335555	67.08283047	<LOD	<LOD	22.1261798	<LOD	1662.818051	<LOD	70.37983185
WD.4	14	44672	WD	2321.686547	3638.33082	18.29650457	558.6924837	<LOD	319.3105523	2960.307887	13.00838342	434.5832526	<LOD	<LOD	44.329425	<LOD	1508.730329	<LOD	41.9956936
WD.5	15	44672	WD	4091.050302	8205.112743	71.01439089	756.7492942	1.793807357	245.4358326	2861.856242	12.68252775	700.422775	<LOD	0.516704011	35.47373053	<LOD	1403.969175	<LOD	57.73568439
Chow.1	16	44687	Chow	1180.854018	2299.017563	6.518500669	6.324191691	<LOD	36.67877554	503.23763	<LOD	175.5290596	<LOD	<LOD	<LOD	<LOD	188.5852496	<LOD	12.64064852
Chow.2	17	44687	Chow	343.2657056	287.0731854	3.359810502	11.58975331	<LOD	91.42159651	1860.487373	<LOQ	58.11932092	<LOD	<LOD	<LOD	<LOD	565.3518387	<LOD	27.04935023
Chow.3	18	44687	Chow	956.7206578	625.7349327	7.847166013	47.45216637	<LOD	151.8704859	1485.13126	1.799220571	62.08373173	<LOD	<LOD	<LOD	<LOD	561.2735552	<LOD	38.13932884
Chow.4	19	44687	Chow	292.0782236	647.3368902	2.998802726	1.629956636	<LOD	<LOD	68.69396346	<LOD	30.9235576	<LOD	<LOD	<LOD	<LOD	42.35615224	<LOD	5.197998584
Ctrl+F.1	20	44687	Ctrl	5.091657987	15.75170767	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl+F.2	21	44687	Ctrl	Insuficient Sample Size for Analysis															
WD+F.1	22	44687	WD+F	12.15740455	53.04803595	<LOQ	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.1	23	44715	Ctrl	1.542397674	5.132157217	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
Ctrl.2	24	44715	Ctrl	1183.25443	1950.194143	11.08786203	<LOD	<LOD	<LOD	37.94927872	<LOD	49.54096002	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD	<LOD
