mouse_id	colon_inflamm_sev	colon_injury_extent	colon_epithelial_regen	colon_crypt_damage	percent_involv	cecum_submuc_edema	cecum_PNM_infil	cecum_num_gobletCells	cecum_epithelial_integrity
9871	0.9	2.6	1.8	0.0	1.8	0.3	0.8	0.6	0.2
9872	0.8	2.4	1.6	0.0	1.6	0.5	0.9	1.7	0.8
9873	0.9	2.8	1.9	0.0	1.9	0.8	0.9	1.1	0.5
9874	1.8	2.7	0.9	0.0	1.8	0.5	1.0	1.2	0.5
9875	1.3	1.9	1.3	0.0	1.3	0.5	1.4	1.1	1.0
9877	1.6	2.3	1.6	0.0	1.6	1.3	1.2	1.7	1.4
9878	2.2	2.2	3.2	0.0	2.2	0.9	0.6	2.0	1.0
9879	2.9	4.3	4.3	0.0	2.9	1.1	0.9	1.5	0.7
9880	1.8	2.6	1.8	0.0	1.8	1.4	0.7	1.2	1.3
9882	0.8	4.5	3.0	1.5	1.5	0.0	0.3	1.8	1.1
9883	0.8	3.5	1.3	0.0	2.7	0.9	0.8	2.3	1.3
9884	1.6	4.8	1.6	0.0	3.2	0.7	0.6	2.4	1.6
9885	0.7	3.7	0.0	0.0	2.5	0.8	0.3	1.8	1.3
9886	0.1	0.5	0.0	0.0	0.5	0.1	0.1	1.1	0.3
9887	0.9	5.8	0.0	0.0	2.9	1.0	1.1	2.2	2.1
9888	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.1
9889	0.2	1.7	0.0	0.0	1.7	0.1	0.2	1.0	1.0
9740	0.1	0.3	0.0	0.0	0.3	0.6	1.2	0.5	0.2
9741	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0
9742	0.4	1.3	0.0	0.0	0.9	0.9	1.4	1.3	0.9
9743	0.0	0.0	0.0	0.0	0.0	0.3	1.0	0.6	0.2
9746	0.4	2.5	0.0	0.0	1.2	1.4	0.5	1.6	0.9
9747	0.0	0.0	0.0	0.0	0.0	0.7	0.3	1.7	1.1
9748	0.6	2.5	0.0	0.0	1.3	1.3	1.1	1.6	0.8
9749	0.8	3.0	0.0	0.0	1.5	1.1	0.6	1.9	1.4
9757	0.4	2.5	0.0	1.2	1.2	1.4	0.6	1.5	0.6
9758	0.4	1.7	0.0	0.4	0.9	1.9	1.2	1.4	1.3
9699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
9698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
9697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
9696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
9695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
9694	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.0
9693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
9692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
9691	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.0
9690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0
9689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
9688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1
9687	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.3	0.0
9686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0
9685	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1
99	1.3	5.2	7.8	2.6	2.6	1.5	0.8	1.6	1.2
102	0.3	1.7	0.9	0.0	0.9	1.7	1.3	2.0	1.6
103	0.5	1.9	0.0	0.0	0.9	0.9	0.8	1.7	1.3
104	1.6	4.0	0.8	0.0	1.6	1.1	0.4	1.6	1.8
106	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.5	0.0
108	0.4	1.5	0.0	0.0	0.7	0.5	0.4	0.8	0.1
109	0.2	1.0	0.0	0.0	0.5	0.1	0.1	0.9	0.3
113	0.7	2.0	0.0	0.0	1.3	0.1	0.3	0.4	0.0
114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0
115	0.2	0.6	0.0	0.0	0.6	0.4	0.6	0.3	0.3
116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0
117	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.0
9890	0.6	1.1	0.0	0.0	0.6	0.5	1.2	1.1	0.5
9831	1.5	6.0	3.0	0.0	3.0	0.4	0.4	0.8	1.3
9832	1.4	5.6	2.8	0.0	2.8	0.9	0.4	1.8	1.0
9833	2.3	4.7	0.0	0.0	2.3	0.7	1.1	1.1	0.7
9834	0.7	2.9	0.0	0.0	1.4	1.3	0.5	1.7	1.2
9835	1.4	5.5	0.0	0.0	2.7	0.3	0.8	0.6	0.5
9836	1.6	3.2	0.0	0.0	1.6	0.2	0.5	0.4	0.5
9837	2.6	5.2	0.0	0.0	2.6	0.3	1.0	0.4	0.6
9838	0.3	1.1	0.0	0.0	0.6	0.7	0.0	1.0	0.7
9839	1.2	2.4	0.0	0.0	2.4	0.8	1.2	0.6	1.1
9841	0.2	1.2	0.8	0.0	0.8	1.4	1.3	1.9	1.5
9842	3.1	4.6	3.1	0.0	3.1	0.9	1.3	1.2	0.7
9846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
9847	1.6	6.3	0.0	0.0	3.2	1.1	1.0	1.8	1.0
9848	1.3	5.3	0.0	0.0	2.7	0.8	1.3	1.8	0.9
9849	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.3
9851	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0
9947	0.8	1.5	1.5	0.0	1.5	1.1	1.5	2.1	1.4
9946	1.3	5.2	2.6	0.0	2.6	0.8	1.0	1.4	1.0
9945	0.7	1.4	1.4	0.7	0.7	1.0	1.1	1.4	1.1
9943	0.7	3.4	0.0	0.0	2.3	0.3	0.9	0.9	1.1
9941	0.0	0.0	0.0	0.0	0.0	0.5	1.3	0.9	1.2
