mouse_id	diet	sampleid	microbe_product	concentration	conc_normalized
103	HF/HF	WD+F.081222	Acetic Acid (ug/g)	215.9	217.9
103	HF/HF	WD+F.081222	Propanoic Acid (ug/g)	29.8	31.8
103	HF/HF	WD+F.081222	n-Butanoic Acid (ug/g)	7.8	9.8
106	LF/LF	Ctrl2.081222	Acetic Acid (ug/g)	206.2	208.2
106	LF/LF	Ctrl2.081222	Propanoic Acid (ug/g)	111.5	113.5
106	LF/LF	Ctrl2.081222	n-Butanoic Acid (ug/g)	43.5	45.5
108	LF/LF	Ctrl3.081222	Acetic Acid (ug/g)	216.7	218.7
108	LF/LF	Ctrl3.081222	Propanoic Acid (ug/g)	100	102
108	LF/LF	Ctrl3.081222	n-Butanoic Acid (ug/g)	1	3
109	LF/LF	Ctrl1.081222	Acetic Acid (ug/g)	251.9	253.9
109	LF/LF	Ctrl1.081222	Propanoic Acid (ug/g)	110.3	112.3
109	LF/LF	Ctrl1.081222	n-Butanoic Acid (ug/g)	8.8	10.8
113	HF/LF	WD+1.081222	Acetic Acid (ug/g)	476.1	478.1
113	HF/LF	WD+1.081222	Propanoic Acid (ug/g)	151.2	153.2
113	HF/LF	WD+1.081222	n-Butanoic Acid (ug/g)	1.7	3.7
114	Chow	Chow4.081222	Acetic Acid (ug/g)	888.9	890.9
114	Chow	Chow4.081222	Propanoic Acid (ug/g)	132.9	134.9
114	Chow	Chow4.081222	n-Butanoic Acid (ug/g)	333.7	335.7
116	Chow	Chow2.081222	Acetic Acid (ug/g)	1043.4	1045.4
116	Chow	Chow2.081222	Propanoic Acid (ug/g)	113.9	115.9
116	Chow	Chow2.081222	n-Butanoic Acid (ug/g)	593.4	595.4
117	Chow	Chow1.081222	Acetic Acid (ug/g)	962.1	964.1
117	Chow	Chow1.081222	Propanoic Acid (ug/g)	57.1	59.1
117	Chow	Chow1.081222	n-Butanoic Acid (ug/g)	723	725
9740	Chow	Chow1.050622	Acetic Acid (ug/g)	1611.8	1613.8
9740	Chow	Chow1.050622	Propanoic Acid (ug/g)	398	400
9740	Chow	Chow1.050622	n-Butanoic Acid (ug/g)	394.9	396.9
9741	Chow	Chow2.050622	Acetic Acid (ug/g)	938.6	940.6
9741	Chow	Chow2.050622	Propanoic Acid (ug/g)	249.9	251.9
9741	Chow	Chow2.050622	n-Butanoic Acid (ug/g)	389.9	391.9
9742	Chow	Chow4.050622	Acetic Acid (ug/g)	810	812
9742	Chow	Chow4.050622	Propanoic Acid (ug/g)	153.8	155.8
9742	Chow	Chow4.050622	n-Butanoic Acid (ug/g)	250	252
9743	Chow	Chow3.050622	Acetic Acid (ug/g)	2271.2	2273.2
9743	Chow	Chow3.050622	Propanoic Acid (ug/g)	467.2	469.2
9743	Chow	Chow3.050622	n-Butanoic Acid (ug/g)	1082.2	1084.2
9747	LF/LF	CtrlF1.050622	Acetic Acid (ug/g)	1353.5	1355.5
9747	LF/LF	CtrlF1.050622	Propanoic Acid (ug/g)	119.6	121.6
9747	LF/LF	CtrlF1.050622	n-Butanoic Acid (ug/g)	77.6	79.6
9831	LF/HF	CtrlF4.060322	Acetic Acid (ug/g)	612.3	614.3
9831	LF/HF	CtrlF4.060322	Propanoic Acid (ug/g)	142.4	144.4
9831	LF/HF	CtrlF4.060322	n-Butanoic Acid (ug/g)	37.1	39.1
9832	LF/HF	CtrlF3.060322	Acetic Acid (ug/g)	195.5	197.5
9832	LF/HF	CtrlF3.060322	Propanoic Acid (ug/g)	59.3	61.3
9832	LF/HF	CtrlF3.060322	n-Butanoic Acid (ug/g)	4.5	6.5
9833	LF/HF	CtrlF1.060322	Acetic Acid (ug/g)	609.7	611.7
9833	LF/HF	CtrlF1.060322	Propanoic Acid (ug/g)	111.2	113.2
9833	LF/HF	CtrlF1.060322	n-Butanoic Acid (ug/g)	50.8	52.8
9834	LF/HF	CtrlF2.060322	Acetic Acid (ug/g)	402	404
9834	LF/HF	CtrlF2.060322	Propanoic Acid (ug/g)	58.6	60.6
9834	LF/HF	CtrlF2.060322	n-Butanoic Acid (ug/g)	0	2
9836	HF/HF	W+F4.060322	Acetic Acid (ug/g)	750.5	752.5
9836	HF/HF	W+F4.060322	Propanoic Acid (ug/g)	295.4	297.4
9836	HF/HF	W+F4.060322	n-Butanoic Acid (ug/g)	40.6	42.6
9837	HF/HF	W+F2.060322	Acetic Acid (ug/g)	378.9	380.9
9837	HF/HF	W+F2.060322	Propanoic Acid (ug/g)	187.9	189.9
9837	HF/HF	W+F2.060322	n-Butanoic Acid (ug/g)	35.5	37.5
9842	LF/LF	Ctrl2.060322	Acetic Acid (ug/g)	235.3	237.3
9842	LF/LF	Ctrl2.060322	Propanoic Acid (ug/g)	26.1	28.1
9842	LF/LF	Ctrl2.060322	n-Butanoic Acid (ug/g)	1.2	3.2
9846	HF/LF	WD3.060322	Acetic Acid (ug/g)	99	101
9846	HF/LF	WD3.060322	Propanoic Acid (ug/g)	3.8	5.8
9846	HF/LF	WD3.060322	n-Butanoic Acid (ug/g)	1.2	3.2
9847	HF/LF	WD1.060322	Acetic Acid (ug/g)	167.8	169.8
9847	HF/LF	WD1.060322	Propanoic Acid (ug/g)	21.2	23.2
9847	HF/LF	WD1.060322	n-Butanoic Acid (ug/g)	11.2	13.2
9848	HF/LF	WD4.060322	Acetic Acid (ug/g)	85.5	87.5
9848	HF/LF	WD4.060322	Propanoic Acid (ug/g)	7.9	9.9
9848	HF/LF	WD4.060322	n-Butanoic Acid (ug/g)	2.9	4.9
9849	HF/LF	WD2.060322	Acetic Acid (ug/g)	56.8	58.8
9849	HF/LF	WD2.060322	Propanoic Acid (ug/g)	3.5	5.5
9849	HF/LF	WD2.060322	n-Butanoic Acid (ug/g)	1.1	3.1
9851	HF/LF	WD5.060322	Acetic Acid (ug/g)	43.6	45.6
9851	HF/LF	WD5.060322	Propanoic Acid (ug/g)	3	5
9851	HF/LF	WD5.060322	n-Butanoic Acid (ug/g)	1.1	3.1
9941	Chow	Chow3.070122	Acetic Acid (ug/g)	769.7	771.7
9941	Chow	Chow3.070122	Propanoic Acid (ug/g)	115.3	117.3
9941	Chow	Chow3.070122	n-Butanoic Acid (ug/g)	27	29
9943	Chow	Chow2.070122	Acetic Acid (ug/g)	590.9	592.9
9943	Chow	Chow2.070122	Propanoic Acid (ug/g)	77.6	79.6
9943	Chow	Chow2.070122	n-Butanoic Acid (ug/g)	23.2	25.2
9945	LF/LF	Ctrl4.070122	Acetic Acid (ug/g)	469.7	471.7
9945	LF/LF	Ctrl4.070122	Propanoic Acid (ug/g)	122.6	124.6
9945	LF/LF	Ctrl4.070122	n-Butanoic Acid (ug/g)	17.1	19.1
9946	LF/LF	Ctrl1.070122	Acetic Acid (ug/g)	242.3	244.3
9946	LF/LF	Ctrl1.070122	Propanoic Acid (ug/g)	55.7	57.7
9946	LF/LF	Ctrl1.070122	n-Butanoic Acid (ug/g)	4.1	6.1
