mouse_id	facility	study
9685	barrier_2	1
9688	barrier_2	1
9690	barrier_2	1
9695	barrier_2	1
9696	barrier_2	1
9740	barrier_2	2
9741	barrier_2	2
9742	barrier_2	2
9743	barrier_2	2
9744	barrier_2	2
9841	barrier_1	3
9843	barrier_1	3
9844	barrier_1	3
9845	barrier_1	3
9842	barrier_1	3
9686	barrier_2	1
9689	barrier_2	1
9692	barrier_2	1
9697	barrier_2	1
9698	barrier_2	1
9745	barrier_2	2
9746	barrier_2	2
9747	barrier_2	2
9748	barrier_2	2
9749	barrier_2	2
9831	barrier_1	3
9832	barrier_1	3
9833	barrier_1	3
9834	barrier_1	3
9835	barrier_1	3
9751	barrier_2	2
9752	barrier_2	2
9753	barrier_2	2
9754	barrier_2	2
9848	barrier_1	3
9846	barrier_1	3
9847	barrier_1	3
9849	barrier_1	3
9851	barrier_1	3
9687	barrier_2	1
9691	barrier_2	1
9693	barrier_2	1
9694	barrier_2	1
9699	barrier_2	1
9750	barrier_2	2
9755	barrier_2	2
9756	barrier_2	2
9757	barrier_2	2
9758	barrier_2	2
9836	barrier_1	3
9837	barrier_1	3
9838	barrier_1	3
9839	barrier_1	3
9840	barrier_1	3
98	barrier_1	7
99	barrier_1	7
100	barrier_1	7
101	barrier_1	7
102	barrier_1	7
103	barrier_1	7
104	barrier_1	7
105	barrier_1	7
106	barrier_1	7
107	barrier_1	7
108	barrier_1	7
109	barrier_1	7
110	barrier_1	7
111	barrier_1	7
112	barrier_1	7
113	barrier_1	7
114	barrier_1	7
115	barrier_1	7
116	barrier_1	7
117	barrier_1	7
118	barrier_1	7
9961	barrier_2	6
9962	barrier_2	6
9963	barrier_2	6
9964	barrier_2	6
9965	barrier_2	6
9966	barrier_2	6
9967	barrier_2	6
9968	barrier_2	6
9969	barrier_2	6
9970	barrier_2	6
9971	barrier_2	6
9972	barrier_2	6
9973	barrier_2	6
9974	barrier_2	6
9975	barrier_2	6
9871	barrier_2	4
9872	barrier_2	4
9873	barrier_2	4
9874	barrier_2	4
9875	barrier_2	4
9876	barrier_2	4
9877	barrier_2	4
9878	barrier_2	4
9879	barrier_2	4
9880	barrier_2	4
9881	barrier_2	4
9882	barrier_2	4
9883	barrier_2	4
9884	barrier_2	4
9885	barrier_2	4
9886	barrier_2	4
9887	barrier_2	4
9888	barrier_2	4
9889	barrier_2	4
9890	barrier_2	4
9939	barrier_2	5
9940	barrier_2	5
9941	barrier_2	5
9942	barrier_2	5
9943	barrier_2	5
9944	barrier_2	5
9945	barrier_2	5
9946	barrier_2	5
9947	barrier_2	5
9948	barrier_2	5
9949	barrier_2	5
9950	barrier_2	5
9951	barrier_2	5
9952	barrier_2	5
9953	barrier_2	5
