mouse_id	diet	sampleid	day_post_inf	sample_type	high_fat	high_fiber	purified_diet	seq_depth	facility	study	tissue	score
103	HF/HF	WD+F.081222	3	cecum	1	1	1	47099	barrier_1	7	cecum	4.7
106	LF/LF	Ctrl2.081222	3	cecum	0	0	1	44192	barrier_1	7	cecum	0.7
108	LF/LF	Ctrl3.081222	3	cecum	0	0	1	45245	barrier_1	7	cecum	1.8
109	LF/LF	Ctrl1.081222	3	cecum	0	0	1	54042	barrier_1	7	cecum	1.4
113	HF/LF	WD+1.081222	3	cecum	1	0	1	67069	barrier_1	7	cecum	0.8
114	Chow	Chow4.081222	3	cecum	0	0	0	59885	barrier_1	7	cecum	0.2
115	Chow	Chow3.081222	3	cecum	0	0	0	52297	barrier_1	7	cecum	1.6
116	Chow	Chow2.081222	3	cecum	0	0	0	40721	barrier_1	7	cecum	0.2
117	Chow	Chow1.081222	3	cecum	0	0	0	59401	barrier_1	7	cecum	0.3
9740	Chow	Chow1.050622	3	cecum	0	0	0	46241	barrier_2	2	cecum	2.5
9741	Chow	Chow2.050622	3	cecum	0	0	0	54150	barrier_2	2	cecum	0.2
9742	Chow	Chow4.050622	3	cecum	0	0	0	52548	barrier_2	2	cecum	4.5
9743	Chow	Chow3.050622	3	cecum	0	0	0	49255	barrier_2	2	cecum	2.1
9747	LF/LF	CtrlF1.050622	3	cecum	0	0	1	37567	barrier_2	2	cecum	3.8
9831	LF/HF	CtrlF4.060322	3	cecum	0	1	1	52367	barrier_1	3	cecum	2.9
9832	LF/HF	CtrlF3.060322	3	cecum	0	1	1	49241	barrier_1	3	cecum	4.1
9833	LF/HF	CtrlF1.060322	3	cecum	0	1	1	39508	barrier_1	3	cecum	3.6
9834	LF/HF	CtrlF2.060322	3	cecum	0	1	1	28228	barrier_1	3	cecum	4.7
9835	LF/HF	CtrlF5.060322	3	cecum	0	1	1	90641	barrier_1	3	cecum	2.2
9836	HF/HF	W+F4.060322	3	cecum	1	1	1	35507	barrier_1	3	cecum	1.6
9837	HF/HF	W+F2.060322	3	cecum	1	1	1	45394	barrier_1	3	cecum	2.3
9842	LF/LF	Ctrl2.060322	3	cecum	0	0	1	49318	barrier_1	3	cecum	4.1
9846	HF/LF	WD3.060322	3	cecum	1	0	1	43097	barrier_1	3	cecum	0.1
9847	HF/LF	WD1.060322	3	cecum	1	0	1	39876	barrier_1	3	cecum	4.9
9848	HF/LF	WD4.060322	3	cecum	1	0	1	45113	barrier_1	3	cecum	4.8
9849	HF/LF	WD2.060322	3	cecum	1	0	1	38606	barrier_1	3	cecum	0.6
9851	HF/LF	WD5.060322	3	cecum	1	0	1	16776	barrier_1	3	cecum	0.1
9871	LF/HF	CtrlF2.061722	3	cecum	0	1	1	45390	barrier_2	4	cecum	1.9
9872	LF/HF	CtrlF3.061722	3	cecum	0	1	1	26272	barrier_2	4	cecum	3.9
9873	LF/HF	CtrlF4.061722	3	cecum	0	1	1	45250	barrier_2	4	cecum	3.3
9875	LF/HF	Ctrl5.061722	3	cecum	0	1	1	43110	barrier_2	4	cecum	4
9877	HF/HF	WDF3.061722	3	cecum	1	1	1	67919	barrier_2	4	cecum	5.6
9878	HF/HF	WDF4.061722	3	cecum	1	1	1	52312	barrier_2	4	cecum	4.5
9879	HF/HF	WDF2.061722	3	cecum	1	1	1	62436	barrier_2	4	cecum	4.2
9882	LF/LF	Ctrl3.061722	3	cecum	0	0	1	58475	barrier_2	4	cecum	3.2
9883	LF/LF	Ctrl2.061722	3	cecum	0	0	1	35805	barrier_2	4	cecum	5.3
9884	LF/LF	Ctrl1.061722	3	cecum	0	0	1	57181	barrier_2	4	cecum	5.3
9886	HF/LF	WD2.061722	3	cecum	1	0	1	53594	barrier_2	4	cecum	1.6
9887	HF/LF	WD-3.061722	3	cecum	1	0	1	62917	barrier_2	4	cecum	6.4
9888	HF/LF	WD5.061722	3	cecum	1	0	1	21191	barrier_2	4	cecum	0.4
9939	Chow	Chow1.070122	3	cecum	0	0	0	33566	barrier_2	5	cecum	4.9
9941	Chow	Chow3.070122	3	cecum	0	0	0	46599	barrier_2	5	cecum	3.9
9943	Chow	Chow2.070122	3	cecum	0	0	0	94765	barrier_2	5	cecum	3.2
9945	LF/LF	Ctrl4.070122	3	cecum	0	0	1	112920	barrier_2	5	cecum	4.6
9946	LF/LF	Ctrl1.070122	3	cecum	0	0	1	57573	barrier_2	5	cecum	4.2
9947	LF/LF	Ctrl3.070122	3	cecum	0	0	1	117102	barrier_2	5	cecum	6.1
9948	LF/LF	Ctrl2.070122	3	cecum	0	0	1	46623	barrier_2	5	cecum	3.7
9949	HF/LF	WD2.070122	3	cecum	1	0	1	47577	barrier_2	5	cecum	2.6
9950	HF/LF	WD3.070122	3	cecum	1	0	1	68711	barrier_2	5	cecum	3.7
9952	HF/LF	WD4.070122	3	cecum	1	0	1	36640	barrier_2	5	cecum	1.5
9953	HF/LF	WD1.070122	3	cecum	1	0	1	45771	barrier_2	5	cecum	0.2
9962	Chow	Chow3.071522	3	cecum	0	0	0	44673	barrier_2	6	cecum	1.9
9965	Chow	Chow2.071522	3	cecum	0	0	0	56664	barrier_2	6	cecum	2.1
9966	LF/LF	Ctrl1.071522	3	cecum	0	0	1	38368	barrier_2	6	cecum	0.9
9968	LF/LF	Ctrl3.071522	3	cecum	0	0	1	71359	barrier_2	6	cecum	3.4
9969	LF/LF	Ctrl2.071522	3	cecum	0	0	1	60968	barrier_2	6	cecum	4.9
9970	LF/LF	Ctrl4.071522	3	cecum	0	0	1	43632	barrier_2	6	cecum	3.3
9971	HF/LF	WD3.071522	3	cecum	1	0	1	45809	barrier_2	6	cecum	0.3
9972	HF/LF	WD2.071522	3	cecum	1	0	1	27316	barrier_2	6	cecum	0.2
9973	HF/LF	WD5.071522	3	cecum	1	0	1	29596	barrier_2	6	cecum	0
9974	HF/LF	WD1.071522	3	cecum	1	0	1	39923	barrier_2	6	cecum	0
9975	HF/LF	WD4.071522	3	cecum	1	0	1	25579	barrier_2	6	cecum	0.1
103	HF/HF	WD+F.081222	3	cecum	1	1	1	47099	barrier_1	7	colon	2.4
106	LF/LF	Ctrl2.081222	3	cecum	0	0	1	44192	barrier_1	7	colon	0.2
108	LF/LF	Ctrl3.081222	3	cecum	0	0	1	45245	barrier_1	7	colon	1.9
109	LF/LF	Ctrl1.081222	3	cecum	0	0	1	54042	barrier_1	7	colon	1.2
113	HF/LF	WD+1.081222	3	cecum	1	0	1	67069	barrier_1	7	colon	2.7
114	Chow	Chow4.081222	3	cecum	0	0	0	59885	barrier_1	7	colon	0
115	Chow	Chow3.081222	3	cecum	0	0	0	52297	barrier_1	7	colon	0.8
116	Chow	Chow2.081222	3	cecum	0	0	0	40721	barrier_1	7	colon	0
117	Chow	Chow1.081222	3	cecum	0	0	0	59401	barrier_1	7	colon	0
9740	Chow	Chow1.050622	3	cecum	0	0	0	46241	barrier_2	2	colon	0.4
9741	Chow	Chow2.050622	3	cecum	0	0	0	54150	barrier_2	2	colon	0
9742	Chow	Chow4.050622	3	cecum	0	0	0	52548	barrier_2	2	colon	1.7
9743	Chow	Chow3.050622	3	cecum	0	0	0	49255	barrier_2	2	colon	0
9747	LF/LF	CtrlF1.050622	3	cecum	0	0	1	37567	barrier_2	2	colon	0
9831	LF/HF	CtrlF4.060322	3	cecum	0	1	1	52367	barrier_1	3	colon	10.5
9832	LF/HF	CtrlF3.060322	3	cecum	0	1	1	49241	barrier_1	3	colon	9.9
9833	LF/HF	CtrlF1.060322	3	cecum	0	1	1	39508	barrier_1	3	colon	7
9834	LF/HF	CtrlF2.060322	3	cecum	0	1	1	28228	barrier_1	3	colon	3.6
9835	LF/HF	CtrlF5.060322	3	cecum	0	1	1	90641	barrier_1	3	colon	6.8
9836	HF/HF	W+F4.060322	3	cecum	1	1	1	35507	barrier_1	3	colon	4.8
9837	HF/HF	W+F2.060322	3	cecum	1	1	1	45394	barrier_1	3	colon	7.8
9842	LF/LF	Ctrl2.060322	3	cecum	0	0	1	49318	barrier_1	3	colon	10.7
9846	HF/LF	WD3.060322	3	cecum	1	0	1	43097	barrier_1	3	colon	0
9847	HF/LF	WD1.060322	3	cecum	1	0	1	39876	barrier_1	3	colon	7.9
9848	HF/LF	WD4.060322	3	cecum	1	0	1	45113	barrier_1	3	colon	6.7
9849	HF/LF	WD2.060322	3	cecum	1	0	1	38606	barrier_1	3	colon	0
9851	HF/LF	WD5.060322	3	cecum	1	0	1	16776	barrier_1	3	colon	0
9871	LF/HF	CtrlF2.061722	3	cecum	0	1	1	45390	barrier_2	4	colon	5.3
9872	LF/HF	CtrlF3.061722	3	cecum	0	1	1	26272	barrier_2	4	colon	4.8
9873	LF/HF	CtrlF4.061722	3	cecum	0	1	1	45250	barrier_2	4	colon	5.6
9875	LF/HF	Ctrl5.061722	3	cecum	0	1	1	43110	barrier_2	4	colon	4.4
9877	HF/HF	WDF3.061722	3	cecum	1	1	1	67919	barrier_2	4	colon	5.5
9878	HF/HF	WDF4.061722	3	cecum	1	1	1	52312	barrier_2	4	colon	7.5
9879	HF/HF	WDF2.061722	3	cecum	1	1	1	62436	barrier_2	4	colon	11.4
9882	LF/LF	Ctrl3.061722	3	cecum	0	0	1	58475	barrier_2	4	colon	9.8
9883	LF/LF	Ctrl2.061722	3	cecum	0	0	1	35805	barrier_2	4	colon	5.6
