mouse_id	diet	sampleid	day_post_inf	sample_type	high_fat	high_fiber	purified_diet	seq_depth	facility	study	neat_toxin	neat_conc
103	HF/HF	WD+F.081222	3	cecum	1	1	1	47099	barrier_1	7	Total TcA Neat	242.37
106	LF/LF	Ctrl2.081222	3	cecum	0	0	1	44192	barrier_1	7	Total TcA Neat	114.86
108	LF/LF	Ctrl3.081222	3	cecum	0	0	1	45245	barrier_1	7	Total TcA Neat	73.35
109	LF/LF	Ctrl1.081222	3	cecum	0	0	1	54042	barrier_1	7	Total TcA Neat	111.86
113	HF/LF	WD+1.081222	3	cecum	1	0	1	67069	barrier_1	7	Total TcA Neat	71.99
114	Chow	Chow4.081222	3	cecum	0	0	0	59885	barrier_1	7	Total TcA Neat	45.16
115	Chow	Chow3.081222	3	cecum	0	0	0	52297	barrier_1	7	Total TcA Neat	314.02
116	Chow	Chow2.081222	3	cecum	0	0	0	40721	barrier_1	7	Total TcA Neat	25.87
117	Chow	Chow1.081222	3	cecum	0	0	0	59401	barrier_1	7	Total TcA Neat	0
9740	Chow	Chow1.050622	3	cecum	0	0	0	46241	barrier_2	2	Total TcA Neat	378.76
9741	Chow	Chow2.050622	3	cecum	0	0	0	54150	barrier_2	2	Total TcA Neat	1.36
9742	Chow	Chow4.050622	3	cecum	0	0	0	52548	barrier_2	2	Total TcA Neat	55.82
9743	Chow	Chow3.050622	3	cecum	0	0	0	49255	barrier_2	2	Total TcA Neat	35.65
9747	LF/LF	CtrlF1.050622	3	cecum	0	0	1	37567	barrier_2	2	Total TcA Neat	451.19
9831	LF/HF	CtrlF4.060322	3	cecum	0	1	1	52367	barrier_1	3	Total TcA Neat	793.53
9832	LF/HF	CtrlF3.060322	3	cecum	0	1	1	49241	barrier_1	3	Total TcA Neat	517.95
9833	LF/HF	CtrlF1.060322	3	cecum	0	1	1	39508	barrier_1	3	Total TcA Neat	431.68
9834	LF/HF	CtrlF2.060322	3	cecum	0	1	1	28228	barrier_1	3	Total TcA Neat	115.81
9835	LF/HF	CtrlF5.060322	3	cecum	0	1	1	90641	barrier_1	3	Total TcA Neat	514.72
9836	HF/HF	W+F4.060322	3	cecum	1	1	1	35507	barrier_1	3	Total TcA Neat	603.16
9837	HF/HF	W+F2.060322	3	cecum	1	1	1	45394	barrier_1	3	Total TcA Neat	466.3
9842	LF/LF	Ctrl2.060322	3	cecum	0	0	1	49318	barrier_1	3	Total TcA Neat	469.05
9846	HF/LF	WD3.060322	3	cecum	1	0	1	43097	barrier_1	3	Total TcA Neat	428.88
9847	HF/LF	WD1.060322	3	cecum	1	0	1	39876	barrier_1	3	Total TcA Neat	470.41
9848	HF/LF	WD4.060322	3	cecum	1	0	1	45113	barrier_1	3	Total TcA Neat	623.63
9849	HF/LF	WD2.060322	3	cecum	1	0	1	38606	barrier_1	3	Total TcA Neat	392.56
9851	HF/LF	WD5.060322	3	cecum	1	0	1	16776	barrier_1	3	Total TcA Neat	368.74
9939	Chow	Chow1.070122	3	cecum	0	0	0	33566	barrier_2	5	Total TcA Neat	271.78
9941	Chow	Chow3.070122	3	cecum	0	0	0	46599	barrier_2	5	Total TcA Neat	480.46
9943	Chow	Chow2.070122	3	cecum	0	0	0	94765	barrier_2	5	Total TcA Neat	819.26
9945	LF/LF	Ctrl4.070122	3	cecum	0	0	1	112920	barrier_2	5	Total TcA Neat	625.7
9946	LF/LF	Ctrl1.070122	3	cecum	0	0	1	57573	barrier_2	5	Total TcA Neat	1299.99
9947	LF/LF	Ctrl3.070122	3	cecum	0	0	1	117102	barrier_2	5	Total TcA Neat	902.48
9948	LF/LF	Ctrl2.070122	3	cecum	0	0	1	46623	barrier_2	5	Total TcA Neat	759.57
9949	HF/LF	WD2.070122	3	cecum	1	0	1	47577	barrier_2	5	Total TcA Neat	469.03
9950	HF/LF	WD3.070122	3	cecum	1	0	1	68711	barrier_2	5	Total TcA Neat	900.12
9952	HF/LF	WD4.070122	3	cecum	1	0	1	36640	barrier_2	5	Total TcA Neat	355.21
9953	HF/LF	WD1.070122	3	cecum	1	0	1	45771	barrier_2	5	Total TcA Neat	369.58
9962	Chow	Chow3.071522	3	cecum	0	0	0	44673	barrier_2	6	Total TcA Neat	411.02
9965	Chow	Chow2.071522	3	cecum	0	0	0	56664	barrier_2	6	Total TcA Neat	1330.94
9966	LF/LF	Ctrl1.071522	3	cecum	0	0	1	38368	barrier_2	6	Total TcA Neat	406.39
9968	LF/LF	Ctrl3.071522	3	cecum	0	0	1	71359	barrier_2	6	Total TcA Neat	411.69
9969	LF/LF	Ctrl2.071522	3	cecum	0	0	1	60968	barrier_2	6	Total TcA Neat	1151.11
9970	LF/LF	Ctrl4.071522	3	cecum	0	0	1	43632	barrier_2	6	Total TcA Neat	315.92
9971	HF/LF	WD3.071522	3	cecum	1	0	1	45809	barrier_2	6	Total TcA Neat	460.76
9972	HF/LF	WD2.071522	3	cecum	1	0	1	27316	barrier_2	6	Total TcA Neat	0.75
9973	HF/LF	WD5.071522	3	cecum	1	0	1	29596	barrier_2	6	Total TcA Neat	0
9974	HF/LF	WD1.071522	3	cecum	1	0	1	39923	barrier_2	6	Total TcA Neat	0
9975	HF/LF	WD4.071522	3	cecum	1	0	1	25579	barrier_2	6	Total TcA Neat	0
103	HF/HF	WD+F.081222	3	cecum	1	1	1	47099	barrier_1	7	Total TcB Neat	226.64
106	LF/LF	Ctrl2.081222	3	cecum	0	0	1	44192	barrier_1	7	Total TcB Neat	103.25
108	LF/LF	Ctrl3.081222	3	cecum	0	0	1	45245	barrier_1	7	Total TcB Neat	103.25
109	LF/LF	Ctrl1.081222	3	cecum	0	0	1	54042	barrier_1	7	Total TcB Neat	83.45
113	HF/LF	WD+1.081222	3	cecum	1	0	1	67069	barrier_1	7	Total TcB Neat	92.81
114	Chow	Chow4.081222	3	cecum	0	0	0	59885	barrier_1	7	Total TcB Neat	4.35
115	Chow	Chow3.081222	3	cecum	0	0	0	52297	barrier_1	7	Total TcB Neat	169.47
116	Chow	Chow2.081222	3	cecum	0	0	0	40721	barrier_1	7	Total TcB Neat	3.57
117	Chow	Chow1.081222	3	cecum	0	0	0	59401	barrier_1	7	Total TcB Neat	0
9740	Chow	Chow1.050622	3	cecum	0	0	0	46241	barrier_2	2	Total TcB Neat	436.61
9741	Chow	Chow2.050622	3	cecum	0	0	0	54150	barrier_2	2	Total TcB Neat	3.89
9742	Chow	Chow4.050622	3	cecum	0	0	0	52548	barrier_2	2	Total TcB Neat	333.69
9743	Chow	Chow3.050622	3	cecum	0	0	0	49255	barrier_2	2	Total TcB Neat	76.5
9747	LF/LF	CtrlF1.050622	3	cecum	0	0	1	37567	barrier_2	2	Total TcB Neat	564.13
9831	LF/HF	CtrlF4.060322	3	cecum	0	1	1	52367	barrier_1	3	Total TcB Neat	867.16
9832	LF/HF	CtrlF3.060322	3	cecum	0	1	1	49241	barrier_1	3	Total TcB Neat	575.27
9833	LF/HF	CtrlF1.060322	3	cecum	0	1	1	39508	barrier_1	3	Total TcB Neat	535.36
9834	LF/HF	CtrlF2.060322	3	cecum	0	1	1	28228	barrier_1	3	Total TcB Neat	228.34
9835	LF/HF	CtrlF5.060322	3	cecum	0	1	1	90641	barrier_1	3	Total TcB Neat	611.53
9836	HF/HF	W+F4.060322	3	cecum	1	1	1	35507	barrier_1	3	Total TcB Neat	559.96
9837	HF/HF	W+F2.060322	3	cecum	1	1	1	45394	barrier_1	3	Total TcB Neat	444.42
9842	LF/LF	Ctrl2.060322	3	cecum	0	0	1	49318	barrier_1	3	Total TcB Neat	446.98
9846	HF/LF	WD3.060322	3	cecum	1	0	1	43097	barrier_1	3	Total TcB Neat	445.06
9847	HF/LF	WD1.060322	3	cecum	1	0	1	39876	barrier_1	3	Total TcB Neat	475.9
9848	HF/LF	WD4.060322	3	cecum	1	0	1	45113	barrier_1	3	Total TcB Neat	699.27
9849	HF/LF	WD2.060322	3	cecum	1	0	1	38606	barrier_1	3	Total TcB Neat	401.58
9851	HF/LF	WD5.060322	3	cecum	1	0	1	16776	barrier_1	3	Total TcB Neat	363.89
9939	Chow	Chow1.070122	3	cecum	0	0	0	33566	barrier_2	5	Total TcB Neat	468.66
9941	Chow	Chow3.070122	3	cecum	0	0	0	46599	barrier_2	5	Total TcB Neat	371.78
9943	Chow	Chow2.070122	3	cecum	0	0	0	94765	barrier_2	5	Total TcB Neat	890.24
9945	LF/LF	Ctrl4.070122	3	cecum	0	0	1	112920	barrier_2	5	Total TcB Neat	664.34
9946	LF/LF	Ctrl1.070122	3	cecum	0	0	1	57573	barrier_2	5	Total TcB Neat	1449.47
9947	LF/LF	Ctrl3.070122	3	cecum	0	0	1	117102	barrier_2	5	Total TcB Neat	845.61
9948	LF/LF	Ctrl2.070122	3	cecum	0	0	1	46623	barrier_2	5	Total TcB Neat	777.2
9949	HF/LF	WD2.070122	3	cecum	1	0	1	47577	barrier_2	5	Total TcB Neat	301.36
9950	HF/LF	WD3.070122	3	cecum	1	0	1	68711	barrier_2	5	Total TcB Neat	845.99
9952	HF/LF	WD4.070122	3	cecum	1	0	1	36640	barrier_2	5	Total TcB Neat	310.63
9953	HF/LF	WD1.070122	3	cecum	1	0	1	45771	barrier_2	5	Total TcB Neat	267.81
9962	Chow	Chow3.071522	3	cecum	0	0	0	44673	barrier_2	6	Total TcB Neat	323.49
9965	Chow	Chow2.071522	3	cecum	0	0	0	56664	barrier_2	6	Total TcB Neat	1204.32
9966	LF/LF	Ctrl1.071522	3	cecum	0	0	1	38368	barrier_2	6	Total TcB Neat	290.31
9968	LF/LF	Ctrl3.071522	3	cecum	0	0	1	71359	barrier_2	6	Total TcB Neat	444.52
9969	LF/LF	Ctrl2.071522	3	cecum	0	0	1	60968	barrier_2	6	Total TcB Neat	862.83
9970	LF/LF	Ctrl4.071522	3	cecum	0	0	1	43632	barrier_2	6	Total TcB Neat	237.38
9971	HF/LF	WD3.071522	3	cecum	1	0	1	45809	barrier_2	6	Total TcB Neat	249.93
9972	HF/LF	WD2.071522	3	cecum	1	0	1	27316	barrier_2	6	Total TcB Neat	3.37
9973	HF/LF	WD5.071522	3	cecum	1	0	1	29596	barrier_2	6	Total TcB Neat	1.5
9974	HF/LF	WD1.071522	3	cecum	1	0	1	39923	barrier_2	6	Total TcB Neat	1.47
