Tube_Label,Collection Date,Sample_Type,Tube-Pre,Tube-Post,Wt (g),Wt (mg),Total Vol,Buffer Added,Actual Dilution,MultiFactor,1:10 MF,Total TcA Neat,Total TcB Neat,Total TcA 1:10,Total TcB 1:10,Extra_Sample
Chow.1,4/21/22,Chow,1.608,1.706,0.098,98.0,980,882.0,0.10,10.0,100,BDL,BDL,Chow,Chow,
Chow.2,4/21/22,Chow,1.609,1.693,0.084,84.3,843,758.7,0.10,10.0,100,BDL,BDL,Chow,Chow,*
Chow.3,4/21/22,Chow,1.613,1.701,0.088,88.3,883,794.7,0.10,10.0,100,BDL,BDL,Chow,Chow,*
Chow.4,4/21/22,Chow,1.613,1.706,0.093,93.4,934,840.6,0.10,10.0,100,BDL,BDL,Chow,Chow,*
Chow.5,4/21/22,Chow,1.596,1.704,0.108,107.5,1075,967.5,0.10,10.0,100,BDL,BDL,Chow,Chow,*
Ctrl.1,4/21/22,Ctrl,1.607,1.672,0.065,65.4,654,588.6,0.10,10.0,100,BDL,BDL,BDL,BDL,*
Ctrl.2,4/21/22,Ctrl,1.610,1.690,0.080,79.8,798,718.2,0.10,10.0,100,BDL,1.87,BDL,BDL,*
Ctrl.3,4/21/22,Ctrl,1.610,1.679,0.069,68.5,685,616.5,0.10,10.0,100,BDL,BDL,BDL,BDL,*
Ctrl.4,4/21/22,Ctrl,1.606,1.702,0.096,95.6,956,860.4,0.10,10.0,100,BDL,7.23,BDL,BDL,
Ctrl.5,4/21/22,Ctrl,1.602,1.690,0.088,88.2,882,793.8,0.10,10.0,100,BDL,BDL,BDL,BDL,*
WD.1,4/21/22,WD,1.611,1.702,0.091,91.2,912,820.8,0.10,10.0,100,BDL,BDL,BDL,BDL,*
WD.2,4/21/22,WD,1.603,1.672,0.069,69.0,690,621.0,0.10,10.0,100,BDL,5.66,BDL,BDL,*
WD.3,4/21/22,WD,1.602,1.674,0.072,71.8,718,646.2,0.10,10.0,100,BDL,0.63,BDL,BDL,*
WD.4,4/21/22,WD,1.605,1.674,0.069,68.6,686,617.4,0.10,10.0,100,BDL,BDL,BDL,BDL,*
WD.5,4/21/22,WD,1.607,1.653,0.046,46.2,496.2,450.0,0.09,10.7,107,BDL,8.54,BDL,BDL,*
Chow.1,5/6/22,Chow,1.614,1.684,0.069,69.5,695,625.5,0.10,10.0,100,378.76,436.61,Chow,Chow,
Chow.2,5/6/22,Chow,1.610,1.700,0.090,89.8,898,808.2,0.10,10.0,100,1.36,3.89,Chow,Chow,*
Chow.3,5/6/22,Chow,1.613,1.677,0.064,64.3,643,578.7,0.10,10.0,100,35.65,76.50,Chow,Chow,
Chow.4,5/6/22,Chow,1.610,1.644,0.034,34.1,484.1,450.0,0.07,14.2,142,55.82,333.69,Chow,Chow,
Ctrl+F.1,5/6/22,Ctrl,1.609,1.656,0.047,46.6,496.6,450.0,0.09,10.7,107,451.19,564.13,1976.88,1546.69,
Ctrl+F.2,5/6/22,Ctrl,1.610,1.625,0.015,14.6,464.6,450.0,0.03,31.8,318,1349.85,1730.86,10988.17,9741.45,
Ctrl+F.3,5/6/22,Ctrl,1.602,1.656,0.054,54.3,543,488.7,0.10,10.0,100,401.80,526.21,2144.50,2563.35,
Ctrl+F.4,5/6/22,Ctrl,1.606,1.633,0.027,26.8,476.8,450.0,0.06,17.8,178,723.98,998.66,3662.17,5743.35,
WD+F.1,5/6/22,WD+F,1.603,1.669,0.066,65.9,659,593.1,0.10,10.0,100,11.05,54.52,#VALUE!,103.40,
WD+F.2,5/6/22,WD+F,1.608,1.643,0.035,35.4,485.4,450.0,0.07,13.7,137,505.04,648.45,529.03,1741.48,
Ctrl.1,6/3/22,Ctrl,1.608,1.643,0.035,35.1,485.1,450.0,0.07,13.8,138,470.11,637.84,7429.02,5263.73,
Ctrl.2,6/3/22,Ctrl,1.609,1.664,0.055,55.1,551,495.9,0.10,10.0,100,469.05,446.98,2123.95,2809.05,
Ctrl+F.1,6/3/22,Ctrl+F,1.607,1.656,0.049,48.8,498.8,450.0,0.10,10.2,102,431.68,535.36,3979.07,4017.02,
Ctrl+F.2,6/3/22,Ctrl+F,1.609,1.637,0.028,27.9,477.9,450.0,0.06,17.1,171,115.81,228.34,139.62,757.36,
Ctrl+F.3,6/3/22,Ctrl+F,1.610,1.654,0.044,43.6,493.6,450.0,0.09,11.3,113,517.95,575.27,2189.71,3245.19,
Ctrl+F.4,6/3/22,Ctrl+F,1.606,1.633,0.027,27.4,477.4,450.0,0.06,17.4,174,793.53,867.16,7607.11,6644.19,
Ctrl+F.5,6/3/22,Ctrl+F,1.611,1.653,0.042,41.9,491.9,450.0,0.09,11.7,117,514.72,611.53,4165.61,4249.79,
WD.1,6/3/22,WD,1.613,1.684,0.071,71.1,711,639.9,0.10,10.0,100,470.41,475.90,5341.55,3860.70,
WD.2,6/3/22,WD,1.609,1.688,0.079,78.5,785,706.5,0.10,10.0,100,392.56,401.58,3167.20,3937.45,*
WD.3,6/3/22,WD,1.609,1.704,0.095,94.5,945,850.5,0.10,10.0,100,428.88,445.06,2351.05,3274.05,
WD.4,6/3/22,WD,1.610,1.643,0.033,33.2,483.2,450.0,0.07,14.6,146,623.63,699.27,5434.49,5573.19,
WD.5,6/3/22,WD,1.611,1.695,0.084,84.4,844,759.6,0.10,10.0,100,368.74,363.89,3597.40,3509.75,*
WD+F.1,6/3/22,WD+F,1.603,1.636,0.033,32.9,482.9,450.0,0.07,14.7,147,495.63,625.96,675.61,1165.56,
WD+F.2,6/3/22,WD+F,1.607,1.679,0.072,72.2,722,649.8,0.10,10.0,100,466.30,444.42,3774.55,3095.30,
